N	2gram	Ircho_Kome_2	Freidism
1	таким образом	6	24
2	и не	14	23
3	не может	3	20
4	точки зрения	4	19
5	прежде всего	4	18
6	в этом	10	15
7	в его	4	15
8	мы можем	3	13
9	может быть	11	13
10	и его	12	12
11	как и	4	11
12	как бы	2	11
13	то что	6	11
14	так и	12	10
15	как мы	4	10
16	его в	4	10
17	но в	3	10
18	с его	5	9
19	и в	26	9
20	во всех	3	9
21	по отношению	3	9
22	что он	5	8
23	отношению к	3	8
24	еще не	6	8
25	в своей	3	8
26	он не	2	8
27	не только	7	8
28	все это	3	8
29	то же	3	8
30	только в	4	8
31	и все	2	8
32	так как	4	8
33	мы знаем	3	7
34	ни в	5	7
35	тот же	2	7
36	к нему	3	7
37	во всяком	2	7
38	один из	5	7
39	отношение к	2	7
40	в самом	4	7
41	всяком случае	2	7
42	вовсе не	2	6
43	и ее	2	6
44	в ней	3	6
45	хотя бы	2	6
46	и с	5	6
47	на протяжении	10	6
48	и к	2	5
49	в период	3	5
50	не в	2	5
51	в этой	3	5
52	в то	6	5
53	что в	9	5
54	но и	10	5
55	для того	5	5
56	а в	3	5
57	и на	7	5
58	с этим	5	5
59	не менее	4	4
60	но не	3	4
61	в котором	3	4
62	связанных с	2	4
63	в этих	4	4
64	то ни	2	4
65	из этих	4	4
66	к тому	12	4
67	об этом	2	4
68	же время	3	4
69	на этом	2	4
70	от того	2	4
71	в нем	6	4
72	все же	4	4
73	и за	2	4
74	на основании	5	4
75	не было	3	4
76	мы находим	2	4
77	того чтобы	6	4
78	с самого	2	4
79	и для	4	4
80	в которой	5	4
81	той же	3	4
82	мы не	2	4
83	с ними	2	4
84	с их	4	4
85	потому что	6	4
86	во время	6	4
87	говорить о	2	4
88	в голову	2	3
89	если бы	9	3
90	и есть	2	3
91	тому что	4	3
92	в них	4	3
93	от всех	2	3
94	и от	4	3
95	на себя	7	3
96	он был	2	3
97	по своему	2	3
98	по поводу	3	3
99	было бы	8	3
100	себя в	3	3
101	бы то	2	3
102	сказать о	2	3
103	жизни и	3	3
104	вместе с	9	3
105	со стороны	2	3
106	как в	3	3
107	и что	2	3
108	на этот	4	3
109	мы имеем	2	3
110	у него	4	3
111	одна из	2	3
112	не является	2	3
113	уже в	4	2
114	человека в	3	2
115	но все	3	2
116	и другие	2	2
117	что это	4	2
118	для всех	3	2
119	в нашем	2	2
120	ничуть не	2	2
121	в какой	2	2
122	того же	3	2
123	по всему	3	2
124	с другой	2	2
125	с которыми	2	2
126	это не	2	2
127	в конце	2	2
128	к этому	5	2
129	для нас	3	2
130	в ее	2	2
131	да и	3	2
132	ни было	2	2
133	том что	9	2
134	одной стороны	2	2
135	из них	7	2
136	но если	3	2
137	в своем	6	2
138	ответ на	3	2
139	в развитии	2	2
140	как не	2	2
141	сих пор	2	2
142	что она	2	2
143	также в	2	2
144	в их	3	2
145	с одной	2	2
146	в отличие	2	2
147	и у	2	2
148	рядом с	2	2
149	отличие от	2	2
150	роль в	2	2
151	здесь в	3	2
152	от этого	2	2
153	и тех	2	2
154	что и	7	2
155	к его	2	2
156	в первом	2	2
157	до сих	2	2
158	тех же	3	2
159	как это	4	2
160	и поэтому	3	2
161	в виду	2	2
162	это было	4	2
