N	2gram	Voloshinov_1	VLabPisa
1	таким образом	12	27
2	в этом	4	26
3	и в	12	25
4	не только	4	22
5	может быть	14	21
6	хотя бы	5	20
7	и не	10	19
8	художественного творчества	3	18
9	не может	16	17
10	в его	2	15
11	в процессе	6	14
12	прежде всего	8	13
13	в том	6	13
14	все это	3	12
15	как это	2	12
16	с другой	4	11
17	о том	3	10
18	в художественном	3	10
19	к этому	2	9
20	что в	2	9
21	для него	3	9
22	и др	5	9
23	но и	3	9
24	то же	5	9
25	все эти	3	8
26	в своем	2	8
27	другой стороны	2	8
28	могут быть	2	8
29	как и	5	7
30	том что	5	7
31	отношению к	11	7
32	вместе с	2	7
33	по отношению	11	7
34	произведения и	3	7
35	а не	5	7
36	это не	2	6
37	художественного произведения	7	6
38	в себе	3	6
39	то что	5	6
40	в основном	2	6
41	в нем	6	6
42	в зависимости	2	6
43	так и	4	6
44	и его	13	6
45	между тем	3	6
46	в то	2	6
47	все же	4	5
48	зависимости от	4	5
49	в пределах	3	5
50	как бы	13	5
51	сказать что	7	5
52	только в	6	5
53	не в	4	5
54	никогда не	5	4
55	с его	2	4
56	можно сказать	5	4
57	художественном произведении	3	4
58	в своей	3	4
59	в самом	4	4
60	когда он	3	4
61	художественное произведение	3	4
62	в них	3	4
63	и к	4	3
64	и ее	3	3
65	в творчестве	3	3
66	что не	4	3
67	в виду	5	3
68	в котором	3	3
69	его в	4	3
70	что и	2	3
71	жизни и	4	3
72	того что	3	3
73	и по	3	3
74	так же	3	3
75	как на	2	3
76	точки зрения	14	3
77	она не	2	3
78	не менее	3	2
79	зависит от	2	2
80	формы и	3	2
81	в жизни	5	2
82	по себе	3	2
83	стороны и	2	2
84	до сих	3	2
85	и потому	2	2
86	но не	2	2
87	но для	3	2
88	художественную форму	6	2
89	еще не	3	2
90	одной стороны	2	2
91	же самое	2	2
92	если бы	9	2
93	мы имеем	2	2
94	подчеркнуть что	2	2
95	к ним	2	2
96	в ней	6	2
97	относится к	2	2
98	отнюдь не	5	2
99	сих пор	3	2
100	все они	2	2
101	от того	4	2
102	рождается из	2	2
103	бы не	2	2
104	в особенности	2	2
105	с одной	2	2
106	этой точки	3	2
107	в словесном	2	2
108	между ними	2	2
109	и для	3	2
110	с другими	2	2
111	он не	2	2
112	к его	2	2
113	что мы	5	2
114	на это	2	2
115	этого положения	2	2
116	в чем	2	2
117	тогда когда	2	2
118	но в	5	2
