N	3gram	Bakhtin_fo_1	Problema
1	по отношению к	3	19
2	и т п	8	13
3	не может быть	3	11
4	с точки зрения	2	6
5	в отличие от	2	5
6	в его целом	2	5
7	и прежде всего	2	5
8	то же время	9	3
9	в то же	6	3
10	с одной стороны	2	3
11	может быть только	3	3
12	в том что	2	3
13	все то что	2	3
14	той или иной	2	2
15	ни в чем	2	2
16	и в то	5	2
17	не только в	2	2
18	в строгом смысле	2	2
19	в чем не	2	2
20	и в частности	2	2
21	в этом отношении	3	2
22	как и для	2	2
23	и др в	2	2
24	но и в	2	2
25	для того чтобы	5	2
