N	2gram	Voloshinov_1	FransuaR
1	и в	13	65
2	и др	2	24
3	как бы	6	22
4	и не	8	22
5	вовсе не	2	18
6	и т.п	7	17
7	в том	2	16
8	в этом	2	15
9	но в	4	14
10	в нем	2	13
11	мы уже	2	12
12	прежде всего	9	11
13	и его	12	10
14	не только	6	10
15	но и	3	10
16	так и	3	10
17	все эти	2	10
18	в его	7	9
19	все это	4	9
20	форм и	2	9
21	за пределы	3	8
22	в области	2	7
23	точки зрения	7	7
24	только в	6	7
25	никогда не	3	6
26	том что	2	6
27	все же	5	6
28	при этом	2	6
29	может быть	8	6
30	в ней	2	6
31	в отношении	2	6
32	тела и	3	6
33	так как	3	6
34	связана с	3	5
35	в одном	3	5
36	в них	2	5
37	превращается в	3	5
38	для него	2	5
39	и пр	7	5
40	в своей	4	5
41	еще и	4	5
42	как в	2	5
43	как и	3	5
44	в своих	2	5
45	между тем	2	5
46	и все	3	5
47	в общем	2	4
48	и к	2	4
49	не в	3	4
50	в самом	2	4
51	в их	3	4
52	входит в	2	4
53	что в	3	3
54	не является	4	3
55	на фоне	4	3
56	в тех	2	3
57	в ее	3	3
58	самом деле	3	3
59	и эта	5	3
60	но для	3	3
61	с точки	5	3
62	то что	6	3
63	от всех	2	3
64	и их	7	3
65	не может	8	3
66	нужно отметить	2	3
67	во всей	2	3
68	с другой	2	3
69	в себе	3	3
70	в искусстве	3	3
71	нет ничего	2	3
72	в книге	2	2
73	к тому	2	2
74	вполне понятно	4	2
75	конечно в	2	2
76	да и	3	2
77	мы видим	2	2
78	более того	2	2
79	от своего	2	2
80	одной стороны	2	2
81	несмотря на	2	2
82	его на	2	2
83	и для	3	2
84	в целом	2	2
85	в процессе	5	2
86	с одной	2	2
87	понятно что	3	2
88	и наконец	5	2
89	роль в	2	2
90	могут быть	2	2
91	во всем	2	2
92	в чем	2	2
