N	2gram	Savitsky_E_1	EvropaiC
1	таким образом	2	32
2	в том	11	31
3	и в	37	24
4	культурных ценностей	6	20
5	том что	6	20
6	не может	9	18
7	то что	6	17
8	может быть	6	15
9	точки зрения	23	13
10	в своем	14	12
11	в этом	12	12
12	между тем	8	11
13	с этим	2	11
14	как бы	6	10
15	культуры в	4	10
16	во всех	6	10
17	так и	10	10
18	культуры и	2	10
19	на то	6	9
20	друг с	3	9
21	в результате	3	9
22	как и	7	9
23	того же	3	9
24	с другом	3	9
25	европейской цивилизации	4	9
26	что в	21	9
27	не в	5	8
28	в самом	4	8
29	так же	9	8
30	если бы	2	8
31	и все	2	8
32	земного шара	9	8
33	с точки	17	8
34	к тому	8	7
35	но и	14	7
36	и не	14	7
37	и что	2	7
38	по своей	2	7
39	о том	3	7
40	европейской культуры	3	7
41	в силу	2	7
42	того чтобы	6	7
43	для того	6	7
44	должна быть	2	6
45	с другой	7	6
46	в этой	2	6
47	в общем	3	6
48	несмотря на	4	6
49	друг от	2	6
50	от друга	2	6
51	того что	7	6
52	как на	3	6
53	и на	6	6
54	народов и	3	6
55	так как	7	6
56	что и	3	6
57	в мире	2	6
58	мы можем	3	6
59	только в	9	6
60	данного народа	3	6
61	вместе с	2	6
62	этих народов	3	5
63	именно в	4	5
64	что это	2	5
65	столь же	5	5
66	и от	3	5
67	что все	2	5
68	другой стороны	2	5
69	и с	2	5
70	потому что	3	5
71	но в	14	5
72	сравнению с	2	5
73	и к	3	5
74	из всех	3	5
75	в то	16	5
76	по своему	7	5
77	бороться с	2	5
78	и если	2	5
79	в его	2	5
80	не только	18	5
81	не будет	3	5
82	по сравнению	2	5
83	и для	3	5
84	в себе	9	5
85	как будто	2	5
86	далеко не	2	5
87	не могут	2	4
88	течением времени	2	4
89	никогда не	3	4
90	чем больше	2	4
91	из того	2	4
92	хотя и	2	4
93	из них	3	4
94	в их	11	4
95	отрицательных последствий	2	4
96	с течением	2	4
97	и то	2	4
98	между собой	2	4
99	мы должны	2	4
100	иначе говоря	2	4
101	он не	2	4
102	не есть	2	4
103	то же	15	4
104	в течение	5	4
105	и сейчас	2	4
106	народ и	3	4
107	значительная часть	3	4
108	хотя бы	15	4
109	в таком	3	4
110	в виде	5	4
111	в европейской	2	4
112	в области	11	4
113	европейской культуре	2	3
114	же как	5	3
115	с одной	8	3
116	но даже	4	3
117	в этих	2	3
118	с в	2	3
119	представление о	2	3
120	с более	3	3
121	вопрос о	4	3
122	для нас	4	3
123	народов которые	2	3
124	очевидно что	3	3
125	уже и	3	3
126	человеческого рода	2	3
127	в культурном	3	3
128	различия в	3	3
129	данном случае	2	3
130	целый ряд	2	3
131	то ни	4	3
132	и других	2	3
133	заключается в	2	3
134	и наконец	2	3
135	и по	5	3
136	а в	2	3
137	в истории	2	3
138	при помощи	2	3
139	и потому	5	3
140	бы в	2	3
141	этой культуры	2	3
142	с тем	3	3
143	но по	2	3
144	прежде всего	9	3
145	и того	2	3
146	чем в	4	3
147	культуру в	2	3
148	что если	2	3
149	другие народы	2	3
150	только те	2	3
151	даже в	4	3
152	случаях когда	2	3
153	в данном	3	3
154	является ли	3	3
155	тем более	4	3
156	в психологии	3	3
157	культуры как	2	3
158	свою очередь	2	2
159	всех культур	3	2
160	но на	3	2
161	независимо от	4	2
162	в сторону	2	2
163	в частности	5	2
164	можно ли	3	2
165	с этой	6	2
166	на долю	3	2
167	что эти	2	2
168	именно потому	2	2
169	что на	2	2
170	как мы	5	2
171	всех прочих	2	2
172	такой же	2	2
173	равноценности и	7	2
174	же время	14	2
175	в свою	3	2
176	от эгоцентризма	5	2
177	одной стороны	8	2
178	и качественной	8	2
179	европейцев над	2	2
180	к нему	2	2
181	или поздно	2	2
182	к ним	3	2
183	в ней	4	2
184	но если	5	2
185	всяком случае	3	2
186	в котором	2	2
187	мы видели	3	2
188	бы то	4	2
189	этот процесс	2	2
190	заключает в	3	2
191	имеет место	2	2
192	культуры с	2	2
193	для удовлетворения	4	2
194	и некоторые	3	2
195	ни было	4	2
196	во втором	2	2
197	в которых	3	2
198	к той	2	2
199	но как	2	2
200	всеми или	2	2
201	также и	7	2
202	в гораздо	2	2
203	во всяком	3	2
204	же мало	2	2
205	то есть	6	2
206	культурной ценности	3	2
207	и более	2	2
208	отнюдь не	9	2
209	в них	3	2
210	культур по	2	2
211	тем меньше	2	2
212	тогда когда	2	2
213	на месте	2	2
214	вовсе не	6	2
215	всеобщей европеизации	3	2
216	в англию	2	2
217	при условии	2	2
218	то которое	2	2
219	то в	4	2
220	но не	5	2
221	она не	2	2
222	было бы	8	2
223	свой народ	3	2
224	жизни и	2	2
225	рано или	2	2
226	между прочим	7	2
227	только одно	2	2
228	как не	2	2
229	в процессе	4	2
230	что же	2	2
231	тех народов	3	2
232	но с	2	2
233	ко всему	2	2
234	тем самым	5	2
235	не более	3	2
236	между ними	2	2
237	меньше чем	2	2
238	этот вопрос	2	2
239	есть в	2	2
240	и только	3	2
241	в эту	2	2
242	качественной несоизмеримости	6	2
243	и поэтому	2	2
