N	2gram	Losev_Dial_1	PoTuStor
1	может быть	17	17
2	и в	18	16
3	и пр	5	12
4	прежде всего	10	9
5	в этом	12	9
6	мы можем	4	9
7	совершенно не	8	8
8	и с	5	8
9	точки зрения	17	8
10	не может	12	8
11	сказать что	10	7
12	не только	13	7
13	и это	2	6
14	с точки	12	6
15	самом деле	3	6
16	для него	2	6
17	конечно не	3	6
18	отношение к	5	5
19	все эти	2	5
20	что такое	10	5
21	в чем	6	5
22	ни в	15	5
23	нуждается в	3	5
24	еще не	2	5
25	как бы	11	5
26	в него	2	5
27	в нем	16	4
28	и их	2	4
29	отнюдь не	9	4
30	но и	7	4
31	так и	9	4
32	все это	11	4
33	хотя бы	6	4
34	и все	3	4
35	мысли и	3	4
36	так как	11	4
37	и не	30	4
38	на самом	3	4
39	как мы	4	4
40	можно сказать	6	4
41	и даже	13	4
42	с ними	2	4
43	и может	2	4
44	только в	3	4
45	но в	6	4
46	в его	3	4
47	в этих	5	3
48	по сравнению	2	3
49	что в	13	3
50	жизни и	3	3
51	и есть	16	3
52	могут быть	3	3
53	сих пор	2	3
54	сравнению с	2	3
55	даже не	3	3
56	отношения к	3	3
57	этом смысле	3	3
58	и вот	6	3
59	учение о	11	3
60	и притом	4	3
61	крайней мере	4	3
62	в том	9	3
63	а в	5	3
64	том что	9	3
65	и как	7	3
66	с другими	2	3
67	то что	13	3
68	в основе	3	3
69	на этом	2	3
70	по крайней	4	3
71	только как	2	3
72	только на	3	3
73	как это	4	3
74	во всяком	4	3
75	и потому	3	3
76	до сих	2	3
77	всяком случае	2	3
78	не существует	7	2
79	не менее	2	2
80	поэтому и	2	2
81	может иметь	3	2
82	один из	3	2
83	что и	3	2
84	не нуждается	5	2
85	не есть	40	2
86	ни было	2	2
87	же как	2	2
88	нем нет	3	2
89	сознания и	3	2
90	другими словами	2	2
91	как не	2	2
92	в частности	2	2
93	никогда не	9	2
94	что не	7	2
95	для этого	2	2
96	в них	3	2
97	если мы	2	2
98	с этой	2	2
99	и так	2	2
100	из этих	2	2
101	с этим	2	2
102	то же	10	2
103	быть может	4	2
104	что оно	5	2
105	к этому	2	2
106	не знает	2	2
107	только и	4	2
108	что он	11	2
109	в науке	3	2
110	можем сказать	2	2
111	и для	2	2
112	меньше всего	3	2
113	как и	2	2
114	мы видим	4	2
115	так же	4	2
116	но это	8	2
117	и всех	3	2
118	он не	3	2
119	и говорить	2	2
120	как с	2	2
121	есть и	5	2
122	между собою	2	2
123	в каком	8	2
124	говорить о	5	2
125	и вообще	4	2
126	об его	2	2
127	было бы	12	2
128	что это	11	2
129	и мы	5	2
130	связанные с	2	2
131	о том	4	2
132	в самом	3	2
133	но как	2	2
134	в своей	2	2
135	только то	4	2
136	и о	3	2
137	с ним	6	2
138	к ним	2	2
139	почти не	2	2
140	для меня	4	2
