N	2gram	Nazirov_Tv_1	formyVre
1	и в	21	50
2	то есть	12	33
3	в романе	10	32
4	в этом	6	25
5	в нем	3	24
6	человека в	6	17
7	и его	6	16
8	в литературе	2	16
9	прежде всего	4	15
10	и не	7	14
11	вовсе не	5	13
12	в его	13	13
13	так и	2	12
14	человека и	4	11
15	может быть	5	11
16	таким образом	5	11
17	то же	13	11
18	и как	4	10
19	времени и	4	10
20	но в	7	10
21	в том	7	9
22	же время	12	9
23	в то	15	9
24	не только	7	9
25	с его	11	9
26	в самом	3	8
27	и т	3	8
28	но и	3	8
29	и на	7	8
30	жизни в	6	8
31	как и	12	8
32	того же	2	8
33	жизни и	3	8
34	т п	2	8
35	это время	2	7
36	времени в	13	7
37	героя и	2	7
38	так сказать	2	7
39	все же	5	6
40	в частности	2	6
41	это не	4	6
42	в дальнейшем	3	6
43	с ее	3	6
44	в их	3	6
45	не может	4	6
46	так же	3	6
47	так как	3	6
48	у него	7	6
49	и все	6	6
50	в жизни	2	6
51	и того	2	6
52	то что	8	6
53	время в	3	6
54	как в	8	6
55	что в	12	5
56	и другие	3	5
57	не в	2	5
58	в основе	2	5
59	отнюдь не	5	5
60	в пространстве	2	5
61	но не	3	5
62	он не	8	5
63	в основном	4	5
64	и у	2	5
65	могут быть	2	5
66	в своем	4	4
67	до конца	2	4
68	в котором	6	4
69	все это	10	4
70	влияние на	2	4
71	потому что	5	4
72	и с	3	4
73	в ней	2	4
74	пространства и	2	4
75	на площади	2	4
76	том что	11	4
77	только в	5	4
78	в этих	2	3
79	к тому	2	3
80	при этом	7	3
81	не имеют	4	3
82	хотя и	3	3
83	в виду	2	3
84	здесь нет	2	3
85	мира в	2	3
86	один из	4	3
87	со всеми	3	3
88	именно в	2	3
89	и других	3	3
90	в одно	2	3
91	а в	6	3
92	сказать что	2	3
93	подхода к	3	3
94	а как	2	3
95	был бы	2	3
96	не знает	2	3
97	к этому	2	3
98	есть не	2	3
99	в качестве	2	3
100	одной из	4	3
101	по преимуществу	2	3
102	что и	2	3
103	вместе с	2	3
104	только на	2	3
105	во всей	2	3
106	еще более	2	3
107	во времени	3	3
108	а не	5	3
109	что не	2	3
110	или в	2	3
111	героев и	3	3
112	в себе	2	3
113	место в	3	2
114	уже в	3	2
115	этом романе	2	2
116	самого начала	3	2
117	никогда не	3	2
118	с другой	3	2
119	что все	3	2
120	с самого	3	2
121	в глаза	2	2
122	в свою	7	2
123	для него	6	2
124	к жизни	2	2
125	в целом	4	2
126	мы находим	2	2
127	по природе	6	2
128	того что	3	2
129	и даже	3	2
130	и по	3	2
131	самим собой	4	2
132	с большой	4	2
133	личности и	2	2
134	же и	2	2
135	но он	2	2
136	человек по	4	2
137	с ним	3	2
138	в романах	13	2
139	во многом	7	2
140	и время	2	2
141	об этом	2	2
142	в соответствии	3	2
143	время не	2	2
144	в чем	2	2
145	ее по	2	2
146	одна из	2	2
147	по самому	2	2
148	к ней	2	2
149	но она	2	2
150	в своей	4	2
151	как бы	17	2
152	ее в	3	2
153	в отличие	2	2
154	этой проблемы	2	2
155	уже не	3	2
156	хотя бы	5	2
157	в которой	3	2
158	той же	3	2
159	в данном	2	2
160	соответствии с	3	2
161	ту же	3	2
162	далеко не	3	2
163	дело в	3	2
164	отличие от	2	2
