N	2gram	Berdyaev_N_1	Myslijsy
1	потому что	4	46
2	в том	8	32
3	и в	16	30
4	может быть	7	28
5	не только	5	21
6	но и	3	19
7	том что	2	18
8	то что	4	18
9	что в	9	17
10	не есть	3	17
11	в себе	2	16
12	не в	6	15
13	и не	11	15
14	а не	17	15
15	вместе с	2	12
16	а в	2	12
17	так и	2	11
18	как и	7	10
19	как в	3	10
20	и что	2	10
21	в этом	7	10
22	в то	2	10
23	в нем	5	9
24	мы не	2	9
25	в ней	5	8
26	с другой	3	7
27	к тому	3	7
28	с тем	3	7
29	но не	2	7
30	с одной	2	7
31	зависит от	2	6
32	но это	6	6
33	с этим	2	6
34	не может	16	6
35	уже не	2	6
36	не имеет	4	6
37	в них	4	5
38	думать что	2	5
39	человека и	3	5
40	еще не	3	5
41	не менее	4	5
42	должно быть	4	5
43	тому как	3	5
44	сказать что	3	5
45	перестает быть	4	4
46	и от	2	4
47	в смысле	2	4
48	все это	5	4
49	не к	2	4
50	другой стороны	2	4
51	он не	8	4
52	не было	4	4
53	и это	2	4
54	и потому	4	4
55	место в	2	3
56	не существует	3	3
57	быть может	4	3
58	жизни не	3	3
59	и есть	10	3
60	могут быть	2	3
61	прежде всего	4	3
62	и все	4	3
63	что все	2	3
64	есть в	2	3
65	не будет	7	3
66	одной стороны	2	3
67	к содержанию	2	3
68	что она	2	3
69	того чтобы	2	3
70	так же	2	3
71	и на	2	3
72	не знает	6	3
73	это было	3	3
74	в ее	3	2
75	по своему	4	2
76	у него	2	2
77	она не	3	2
78	и мы	4	2
79	не могла	2	2
80	том чтобы	2	2
81	должно было	2	2
82	за пределы	3	2
83	в новом	2	2
84	жизни и	8	2
85	в своей	3	2
86	в природе	2	2
87	мысли и	2	2
88	это и	2	2
89	что такое	3	2
90	и даже	2	2
91	перейти от	3	2
92	ни в	6	2
93	подобно тому	3	2
94	о том	4	2
95	когда мы	2	2
96	и с	2	2
