N	2gram	Propp_Morf_1	Myshleni
1	точки зрения	2	26
2	таким образом	21	26
3	в том	6	24
4	и в	13	23
5	том что	4	21
6	в целом	3	20
7	с точки	2	18
8	того чтобы	3	17
9	то что	8	17
10	в этом	14	17
11	так же	3	16
12	не только	4	16
13	того что	3	15
14	для того	2	15
15	что в	8	14
16	может быть	52	14
17	но и	4	14
18	как и	3	14
19	не может	14	12
20	как бы	3	11
21	сказать что	2	11
22	представляет собой	17	11
23	с другой	8	10
24	прежде всего	9	10
25	в качестве	5	9
26	не является	3	9
27	другой стороны	4	9
28	и не	12	9
29	между тем	5	9
30	в ходе	4	8
31	то же	7	8
32	нашей работы	2	8
33	вопрос о	7	7
34	как уже	2	7
35	в этой	2	7
36	по отношению	4	7
37	в то	3	7
38	так как	16	7
39	с тем	2	7
40	что он	4	7
41	отношению к	4	7
42	мы не	8	7
43	и ее	3	7
44	в другом	2	7
45	независимо от	3	6
46	и тем	2	6
47	от того	3	6
48	потому что	3	6
49	с этим	11	6
50	о том	2	6
51	в сущности	3	6
52	мы можем	2	6
53	тем что	4	6
54	только в	2	6
55	тому что	4	5
56	в какой	3	5
57	перед нами	10	5
58	то время	3	5
59	в собственном	3	5
60	можно сказать	2	5
61	и как	5	5
62	на то	2	5
63	что мы	2	5
64	мы должны	3	5
65	если бы	2	5
66	но в	2	5
67	между собой	4	5
68	а затем	4	5
69	и что	2	5
70	он не	3	5
71	собственном смысле	3	5
72	так и	6	5
73	как мы	6	5
74	но не	4	4
75	только что	2	4
76	не в	3	4
77	что она	2	4
78	время как	3	4
79	целый ряд	3	4
80	все эти	2	4
81	в результате	7	4
82	с его	2	4
83	это положение	2	4
84	к этому	3	4
85	и к	4	4
86	по существу	12	4
87	было бы	3	4
88	к тому	4	4
89	как в	3	4
90	приводит к	2	4
91	а с	2	4
92	хотя бы	4	4
93	мы видим	13	4
94	в самых	2	3
95	что они	2	3
96	смысле слова	4	3
97	который в	2	3
98	ход и	2	3
99	в которых	2	3
100	вовсе не	4	3
101	этот вопрос	2	3
102	всяком случае	2	3
103	об этом	4	3
104	тем и	2	3
105	учение о	3	3
106	во всех	4	3
107	она не	2	3
108	все же	7	3
109	самом деле	4	3
110	а не	11	3
111	из которых	3	3
112	можно было	2	3
113	во всяком	2	3
114	могут быть	16	3
115	в каком	2	3
116	связи с	10	3
117	в которой	3	3
118	ничего не	4	3
119	связана с	3	2
120	на вопрос	2	2
121	в основу	2	2
122	в частности	2	2
123	в нашем	3	2
124	как таковой	2	2
125	что его	2	2
126	но все	3	2
127	на этом	3	2
128	несмотря на	4	2
129	вслед за	5	2
130	хотя и	3	2
131	не имеет	2	2
132	один из	5	2
133	не с	2	2
134	лишь после	2	2
135	и таким	2	2
136	а в	7	2
137	говорить о	3	2
138	что эти	2	2
139	в первом	3	2
140	в этих	13	2
141	тех же	4	2
142	как это	3	2
143	главным образом	4	2
144	он может	2	2
145	в море	5	2
146	он должен	2	2
147	с собой	3	2
148	ясно что	5	2
149	на первый	3	2
150	иначе чем	2	2
151	тех случаях	2	2
152	в один	3	2
153	и другим	3	2
154	на него	3	2
155	нами в	2	2
156	того как	2	2
157	если мы	5	2
158	уже не	2	2
159	и пр	37	2
160	можно назвать	3	2
161	в виде	2	2
162	с двумя	2	2
163	как таковая	2	2
164	показать что	4	2
165	представляют собой	11	2
166	что эта	2	2
167	к другу	2	2
168	там где	5	2
169	заметить что	8	2
170	если это	3	2
