N	2gram	Potebnia_M_1	FransuaR
1	и в	39	65
2	то есть	42	45
3	как бы	6	22
4	и не	18	22
5	вовсе не	5	18
6	в сущности	2	16
7	в том	26	16
8	в этом	15	15
9	но в	9	14
10	в нем	20	13
11	прежде всего	4	11
12	и его	5	10
13	и потому	5	10
14	не только	21	10
15	но и	20	10
16	так и	13	10
17	в его	5	9
18	во всех	5	9
19	в своем	3	8
20	и даже	4	8
21	за пределы	2	8
22	жизни и	2	7
23	влияние на	2	7
24	точки зрения	8	7
25	только в	25	7
26	никогда не	4	6
27	том что	16	6
28	все же	6	6
29	как мы	2	6
30	времени и	2	6
31	еще не	6	6
32	при этом	6	6
33	может быть	27	6
34	в ней	7	6
35	сказать что	3	6
36	одно из	3	6
37	так как	21	6
38	в одном	8	5
39	еще более	2	5
40	в них	3	5
41	потому что	52	5
42	есть в	2	5
43	для него	4	5
44	в своей	3	5
45	связь с	2	5
46	как в	10	5
47	как и	9	5
48	в своих	4	5
49	между тем	5	5
50	и все	3	5
51	связи с	3	4
52	не в	15	4
53	в этой	3	4
54	в самом	3	4
55	мысли и	9	4
56	в их	2	4
57	для нас	9	4
58	так сказать	2	4
59	в жизни	3	4
60	не могут	4	3
61	мы будем	2	3
62	но на	2	3
63	что в	22	3
64	в состоянии	3	3
65	это не	7	3
66	и во	3	3
67	эти формы	2	3
68	но все	2	3
69	но это	5	3
70	в самой	3	3
71	не были	2	3
72	с точки	3	3
73	то что	10	3
74	и их	3	3
75	не может	22	3
76	и других	4	3
77	уже не	2	3
78	применении к	2	3
79	с другой	7	3
80	по его	7	3
81	в применении	2	3
82	друг друга	5	3
83	в других	2	3
84	в более	4	3
85	даже и	2	3
86	в себе	13	3
87	и вообще	3	3
88	нет ничего	2	3
89	но как	3	3
90	с ним	3	3
91	и с	3	3
92	в виду	2	3
93	но не	8	2
94	к тому	4	2
95	и без	3	2
96	из основных	2	2
97	людьми и	2	2
98	или даже	3	2
99	и от	3	2
100	из этих	4	2
101	стремление к	2	2
102	но при	3	2
103	во многих	2	2
104	на все	2	2
105	значение и	2	2
106	его к	2	2
107	бы ни	4	2
108	так например	3	2
109	же в	2	2
110	мы видим	4	2
111	от него	4	2
112	а его	3	2
113	одной стороны	3	2
114	несмотря на	5	2
115	значительной степени	2	2
116	между прочим	2	2
117	от того	4	2
118	хотя и	3	2
119	он не	3	2
120	на что	2	2
121	его на	2	2
122	в таких	2	2
123	и для	5	2
124	видеть в	2	2
125	в целом	2	2
126	на него	3	2
127	только на	3	2
128	с одной	3	2
129	того что	8	2
130	что не	10	2
131	при таком	4	2
132	что мы	4	2
133	на этот	2	2
134	и по	6	2
135	есть только	11	2
136	одним из	2	2
137	в таком	5	2
138	или в	2	2
139	этот вопрос	2	2
140	в этих	7	2
141	речи и	10	2
142	быть только	5	2
143	но с	2	2
144	могут быть	9	2
145	во всем	4	2
146	о том	2	2
147	и это	3	2
148	дело в	2	2
149	бы быть	4	2
150	еще только	2	2
