N	2gram	Bakhtin_Fr_6	StatiiOP
1	и в	41	44
2	в том	2	36
3	что в	7	30
4	том что	7	29
5	в этом	12	21
6	вовсе не	7	19
7	то что	10	18
8	не только	10	18
9	было бы	3	17
10	а в	4	17
11	о том	9	17
12	и не	3	16
13	а не	2	16
14	может быть	2	15
15	в данном	3	14
16	в области	2	14
17	как в	4	13
18	не в	4	12
19	в первой	3	12
20	у нас	4	11
21	в этой	8	11
22	самом деле	4	11
23	того чтобы	4	11
24	точки зрения	2	11
25	что он	6	10
26	но и	13	10
27	но в	8	10
28	только в	3	10
29	с другой	4	9
30	в то	6	9
31	как и	7	9
32	того что	3	9
33	также и	6	9
34	так и	5	9
35	в его	7	9
36	например в	6	8
37	во всех	17	8
38	все же	4	8
39	из них	5	8
40	не может	4	8
41	и его	13	8
42	с точки	2	8
43	прежде всего	10	7
44	в самом	10	7
45	для нас	2	7
46	сих пор	3	7
47	до сих	3	7
48	другой стороны	2	7
49	таким образом	17	7
50	этом отношении	3	7
51	сказать что	6	7
52	что они	2	7
53	потому что	3	6
54	из этих	2	6
55	так что	2	6
56	но это	3	6
57	в своей	2	6
58	данном случае	2	6
59	именно в	4	6
60	в той	5	6
61	того времени	2	5
62	никогда не	8	5
63	так же	5	5
64	что мы	2	5
65	в котором	4	5
66	в нем	16	5
67	жизни и	3	5
68	все это	11	5
69	той же	5	5
70	то же	5	5
71	и даже	4	5
72	и то	2	5
73	тем что	5	5
74	нужно сказать	2	5
75	все эти	11	5
76	так как	10	5
77	там где	5	5
78	и очень	2	4
79	что это	5	4
80	в частности	2	4
81	представление о	2	4
82	мы находим	2	4
83	в ее	5	4
84	это и	2	4
85	же время	5	4
86	тем более	2	4
87	и что	5	4
88	никто не	2	4
89	как раз	2	4
90	но если	2	4
91	как бы	7	4
92	в новом	2	4
93	еще более	2	4
94	и сейчас	2	4
95	заключается в	2	4
96	во втором	3	4
97	как это	2	4
98	в основе	4	3
99	во время	9	3
100	этой главы	2	3
101	и с	16	3
102	с этой	3	3
103	в конце	2	3
104	должна быть	2	3
105	он был	4	3
106	в начале	3	3
107	но не	2	3
108	а на	2	3
109	того же	4	3
110	кажется что	2	3
111	что не	3	3
112	и для	3	3
113	в ней	4	3
114	даже в	4	3
115	должен быть	2	3
116	в истории	2	3
117	а именно	2	3
118	внимание на	2	3
119	с одной	4	3
120	но с	2	3
121	лишь в	2	3
122	возможно что	2	3
123	в чем	3	3
124	конечно и	4	3
125	в результате	4	3
126	ведь и	2	3
127	в другом	4	3
128	и вообще	4	3
129	между тем	2	3
130	с этим	3	3
131	что все	2	2
132	уже в	4	2
133	которая была	2	2
134	всех этих	2	2
135	втором случае	3	2
136	в этих	2	2
137	в своем	5	2
138	превращается в	2	2
139	как о	2	2
140	и во	2	2
141	раз в	2	2
142	литературы и	2	2
143	есть в	3	2
144	при этом	3	2
145	одной стороны	4	2
146	и сам	3	2
147	со всеми	2	2
148	в сущности	8	2
149	за пределы	2	2
150	и потому	2	2
151	а также	5	2
152	в первом	3	2
153	подчеркнуть что	5	2
154	конечно не	3	2
155	и их	3	2
156	всех трех	2	2
157	для этого	2	2
158	начиная с	2	2
159	из того	2	2
160	в эпоху	6	2
161	и у	2	2
162	есть только	3	2
163	другом месте	4	2
164	и те	2	2
165	на которой	2	2
166	мы не	2	2
167	их в	2	2
168	у него	7	2
169	он не	2	2
170	но он	5	2
171	в себе	5	2
172	говорить о	2	2
173	о котором	4	2
174	и все	9	2
175	к нему	3	2
176	только с	3	2
177	это прежде	2	2
178	отметить что	2	2
179	то есть	24	2
