N	2gram	Berdyaev_V_1	Hudozhes
1	в мире	5	23
2	и не	20	16
3	в том	3	15
4	и в	16	15
5	не только	2	15
6	а в	2	12
7	но не	2	11
8	в этом	4	11
9	как бы	5	10
10	но и	5	10
11	так и	4	10
12	а не	7	10
13	в его	4	9
14	но в	3	7
15	с его	3	6
16	что в	3	6
17	том что	2	6
18	не в	3	6
19	могут быть	2	5
20	ни в	3	5
21	только в	2	5
22	того что	5	5
23	в нем	4	5
24	то что	9	5
25	уже не	2	5
26	в этих	3	4
27	прежде всего	2	4
28	к тому	3	4
29	для него	2	4
30	еще не	8	4
31	хотя и	5	4
32	в своей	3	4
33	в форме	2	4
34	по пути	5	4
35	и то	2	4
36	между тем	2	4
37	говорить о	4	4
38	личности и	3	3
39	это не	2	3
40	что он	4	3
41	не будет	2	3
42	как и	4	3
43	лишь в	3	3
44	и что	3	3
45	и для	3	3
46	их в	3	3
47	потому что	4	3
48	во мне	4	2
49	ведет по	2	2
50	тому что	3	2
51	в них	3	2
52	превращается в	3	2
53	человека и	6	2
54	одна из	2	2
55	и сам	2	2
56	мира в	2	2
57	во всех	3	2
58	и потому	7	2
59	оно не	3	2
60	к бытию	3	2
61	а с	2	2
62	все эти	3	2
63	в себя	2	2
64	того чтобы	2	2
65	я думаю	2	2
66	с ним	2	2
67	и это	2	2
68	в чем	3	2
