N	3gram	Vygotskiy__2	Dialekti
1	и т д	2	23
2	это значит что	2	21
3	с точки зрения	10	14
4	тем не менее	4	10
5	не может быть	8	6
6	о том что	4	5
7	в самом деле	11	5
8	сам по себе	4	5
9	само по себе	3	5
10	в то время	3	4
11	подобно тому как	2	4
12	то время как	2	4
13	ни в каком	2	3
14	в том что	17	3
15	как и в	2	3
16	сами по себе	3	3
17	на то что	6	3
18	он не может	2	2
19	к тому что	2	2
20	так же как	4	2
21	точно так же	3	2
22	того или иного	2	2
23	с другой стороны	2	2
24	это было бы	2	2
25	том что у	2	2
26	во всяком случае	2	2
27	этой точки зрения	2	2
