N	3gram	Bakhtin_fo_1	FransuaR
1	мы уже говорили	3	11
2	как мы уже	8	6
3	то же время	9	5
4	в то же	6	5
5	все то что	2	4
6	с одной стороны	2	4
7	в этом отношении	3	3
8	мы уже сказали	2	3
9	до сих пор	3	3
10	в последующие эпохи	2	2
11	вполне понятно что	4	2
12	можно прямо сказать	2	2
13	в xvii веке	2	2
14	а также и	2	2
15	существенную роль в	2	2
16	с точки зрения	2	2
17	и прежде всего	2	2
18	и в особенности	2	2
19	одной стороны и	2	2
20	в том что	2	2
21	прямо сказать что	2	2
22	но и в	2	2
23	со всеми его	2	2
