N	2gram	Tiupa_Anal_1	Mirosoze
1	может быть	29	30
2	не только	15	29
3	и в	18	28
4	не может	22	28
5	но и	17	25
6	а не	17	25
7	он не	3	24
8	в этом	13	20
9	не в	14	16
10	потому что	2	16
11	в своей	6	15
12	и есть	3	14
13	никогда не	2	14
14	в нем	3	13
15	для него	2	11
16	в самом	6	11
17	и не	21	11
18	что в	5	10
19	в мире	8	10
20	прежде всего	6	10
21	и все	3	10
22	что он	3	10
23	было бы	2	10
24	и потому	2	10
25	человек в	3	9
26	в его	13	9
27	не есть	8	9
28	и его	5	9
29	но не	10	8
30	в котором	3	8
31	быть может	2	7
32	того что	4	7
33	но в	8	7
34	нет ничего	2	7
35	к нему	3	7
36	в себе	11	7
37	в том	27	6
38	в этой	5	6
39	лишь в	5	6
40	ведет к	3	6
41	и на	5	6
42	вместе с	4	6
43	только в	6	6
44	в которой	2	6
45	не могут	3	5
46	это не	6	5
47	как и	13	5
48	то что	6	5
49	нет и	2	5
50	не к	2	4
51	отношение к	2	4
52	ни с	3	4
53	в их	5	4
54	отношения к	2	4
55	и по	2	4
56	а в	9	4
57	точки зрения	6	4
58	один из	2	4
59	за пределы	2	4
60	что и	3	4
61	есть не	8	4
62	уже не	4	4
63	себя и	4	3
64	к тому	7	3
65	должно быть	2	3
66	особенно в	2	3
67	так как	2	3
68	то есть	11	3
69	и с	2	3
70	на этом	2	3
71	с его	3	3
72	том что	12	3
73	себя в	6	3
74	будто бы	3	3
75	хотя бы	3	3
76	место в	3	2
77	вопрос о	2	2
78	человека к	4	2
79	для того	4	2
80	одним из	3	2
81	могут быть	4	2
82	отличается от	2	2
83	по отношению	6	2
84	быть не	3	2
85	все эти	2	2
86	также и	2	2
87	в начале	2	2
88	по своей	6	2
89	как бы	5	2
90	о том	5	2
91	как он	3	2
92	с ним	4	2
93	в основе	6	2
94	а как	2	2
95	если бы	3	2
96	личности в	3	2
97	отношению к	5	2
98	в то	9	2
99	о предопределении	2	2
100	как будто	3	2
101	никто не	3	2
102	и к	3	2
103	душевной жизни	2	2
104	о нем	3	2
105	еще в	2	2
106	должен быть	6	2
107	все же	4	2
108	не остается	2	2
109	она может	3	2
110	разного рода	3	2
111	бы не	2	2
112	в той	8	2
113	того чтобы	3	2
114	и как	5	2
115	не все	2	2
