N	2gram	Losev_Vesc_1	EvropaiC
1	таким образом	8	32
2	в том	8	31
3	и в	21	24
4	том что	8	20
5	все эти	3	19
6	не может	17	18
7	то что	27	17
8	может быть	16	15
9	все же	4	15
10	точки зрения	5	13
11	в своем	6	12
12	самом деле	4	12
13	в этом	4	12
14	все это	5	11
15	с этим	3	11
16	как бы	12	10
17	из себя	3	10
18	во всех	2	10
19	так и	3	10
20	на то	4	9
21	в результате	3	9
22	как и	8	9
23	того же	5	9
24	что в	9	9
25	не в	5	8
26	в самом	9	8
27	если бы	5	8
28	и все	5	8
29	ясно что	8	8
30	мы говорили	2	8
31	а и	9	8
32	с точки	3	8
33	не менее	3	7
34	для этого	4	7
35	к тому	3	7
36	но и	18	7
37	и не	29	7
38	и что	15	7
39	по своей	2	7
40	о том	6	7
41	по существу	2	7
42	в силу	3	7
43	того чтобы	3	7
44	для того	2	7
45	должна быть	4	6
46	с другой	6	6
47	так что	5	6
48	в этой	3	6
49	отличается от	7	6
50	того что	8	6
51	так как	7	6
52	с ним	8	6
53	еще не	8	6
54	что и	3	6
55	мы можем	4	6
56	только в	14	6
57	что это	13	5
58	и без	3	5
59	и от	3	5
60	что все	2	5
61	у него	2	5
62	и их	7	5
63	другой стороны	2	5
64	как к	4	5
65	и с	8	5
66	потому что	16	5
67	его в	2	5
68	между собою	6	5
69	но в	5	5
70	ничем не	3	5
71	сравнению с	6	5
72	в то	3	5
73	и если	2	5
74	в его	2	5
75	не только	36	5
76	не будет	12	5
77	по сравнению	7	5
78	и для	9	5
79	в себе	14	5
80	тех кто	2	4
81	никогда не	2	4
82	в конце	2	4
83	из того	2	4
84	тем не	3	4
85	это есть	7	4
86	хотя и	4	4
87	из них	4	4
88	должно быть	6	4
89	и то	10	4
90	мы должны	2	4
91	мы уже	3	4
92	конце концов	2	4
93	не есть	49	4
94	совершенно не	5	4
95	то же	6	4
96	а с	3	4
97	если мы	8	4
98	в в	2	4
99	и у	3	4
100	хотя бы	6	4
101	может не	2	3
102	с одной	3	3
103	но даже	3	3
104	с в	2	3
105	для нас	2	3
106	не вполне	2	3
107	так или	4	3
108	в нем	2	3
109	данном случае	2	3
110	от того	3	3
111	в разных	4	3
112	то ни	4	3
113	что оно	8	3
114	а в	4	3
115	это не	5	3
116	что только	3	3
117	что мы	14	3
118	при помощи	2	3
119	и потому	5	3
120	бы в	5	3
121	с тем	5	3
122	прежде всего	9	3
123	на нас	2	3
124	в жизни	3	3
125	и того	2	3
126	у нас	7	3
127	тот же	3	3
128	и может	2	3
129	только что	2	3
130	в с	2	3
131	должны быть	4	3
132	или иначе	4	3
133	в данном	5	3
134	и это	14	3
135	не то	4	3
136	свою очередь	4	2
137	но на	2	2
138	независимо от	5	2
139	можно ли	7	2
140	себя и	4	2
141	тому что	2	2
142	из предыдущего	2	2
143	что у	5	2
144	с этой	4	2
145	что на	2	2
146	как мы	4	2
147	сводится к	2	2
148	всех прочих	3	2
149	для него	4	2
150	совершенно ясно	2	2
151	что они	6	2
152	это может	2	2
153	на этом	2	2
154	в свою	4	2
155	одной стороны	3	2
156	но для	2	2
157	в ней	12	2
158	но если	8	2
159	в виду	2	2
160	всяком случае	2	2
161	в котором	3	2
162	только один	2	2
163	с ее	6	2
164	бы то	4	2
165	другими словами	5	2
166	что она	15	2
167	то и	4	2
168	в самой	2	2
169	ни было	4	2
170	во втором	2	2
171	с ними	3	2
172	говорить о	6	2
173	также и	6	2
174	а это	4	2
175	во всяком	3	2
176	однако это	2	2
177	в основе	3	2
178	говорить что	3	2
179	только не	2	2
180	отнюдь не	5	2
181	от нее	2	2
182	только мы	2	2
183	тогда когда	5	2
184	чтобы быть	3	2
185	этих двух	2	2
186	должен быть	2	2
187	вовсе не	10	2
188	а затем	2	2
189	только тогда	3	2
190	то в	4	2
191	так чтобы	2	2
192	одна из	5	2
193	но не	5	2
194	только то	2	2
195	она не	4	2
196	было бы	14	2
197	жизни и	2	2
198	в сущности	4	2
199	между прочим	3	2
200	только одно	2	2
201	что же	8	2
202	почти все	2	2
203	но с	2	2
204	в себя	13	2
205	о которой	2	2
206	между ними	3	2
207	то с	3	2
208	и ее	18	2
209	в другом	2	2
210	ту же	2	2
211	если это	2	2
212	и только	3	2
213	веры в	2	2
