N	2gram	Nazirov_Tr_1	Problemy
1	и в	18	43
2	и не	7	29
3	может быть	7	23
4	как бы	7	22
5	не может	5	18
6	у достоевского	5	14
7	но и	4	14
8	как и	5	14
9	в этом	9	13
10	что он	6	13
11	в нем	4	12
12	в одном	2	12
13	не в	2	11
14	не только	8	11
15	прежде всего	4	10
16	и на	7	10
17	но в	6	10
18	в его	3	10
19	никогда не	2	9
20	еще не	4	9
21	он не	2	9
22	для него	3	8
23	то же	5	8
24	и его	6	8
25	перед нами	2	7
26	и сам	3	7
27	в самом	2	7
28	в то	5	7
29	то что	4	7
30	в том	2	6
31	при этом	3	6
32	и все	4	6
33	у него	6	6
34	что я	4	6
35	так что	2	5
36	же время	6	5
37	к нему	3	5
38	все это	4	5
39	все эти	3	5
40	и с	7	5
41	а что	2	5
42	о том	2	5
43	и что	4	5
44	и он	3	5
45	в себе	4	5
46	я не	4	4
47	не могут	2	4
48	что в	4	4
49	в своем	3	4
50	к тому	2	4
51	до конца	2	4
52	но это	4	4
53	я ведь	2	4
54	должно быть	3	4
55	то есть	3	4
56	а как	2	4
57	с его	2	4
58	и до	2	4
59	достоевского в	3	4
60	в отличие	2	4
61	достоевский в	7	4
62	и это	2	4
63	отличие от	2	4
64	это не	5	3
65	он сам	7	3
66	он был	2	3
67	не за	2	3
68	и даже	4	3
69	он и	2	3
70	для достоевского	2	3
71	и здесь	2	3
72	его в	2	3
73	с ним	3	3
74	но при	2	3
75	в романе	10	3
76	что и	2	3
77	все же	5	3
78	так и	5	3
79	уже не	2	3
80	ничего не	2	3
81	в рассказе	2	3
82	тем что	2	3
83	в виде	2	3
84	и ее	2	3
85	уже в	3	2
86	не был	2	2
87	романах достоевского	2	2
88	в конце	3	2
89	в образе	6	2
90	вопрос о	2	2
91	как же	2	2
92	ни в	2	2
93	и как	3	2
94	но все	2	2
95	знает что	2	2
96	в глаза	2	2
97	что это	5	2
98	в целом	4	2
99	отношение к	2	2
100	то и	2	2
101	но эта	2	2
102	так же	4	2
103	в первом	2	2
104	раз и	2	2
105	на меня	2	2
106	об этом	4	2
107	одна из	2	2
108	достоевский не	4	2
109	ивана карамазова	2	2
110	бы и	2	2
111	как в	3	2
112	том что	4	2
113	на суде	3	2
114	в таком	2	2
115	что этот	2	2
116	и то	2	2
117	что говорит	2	2
