N	2gram	Tiupa_Hudo_1	slovoVRo
1	в романе	3	46
2	и в	19	39
3	может быть	14	37
4	и его	12	33
5	то есть	18	26
6	не только	16	24
7	и не	15	22
8	но и	10	21
9	не может	7	20
10	в нем	5	19
11	все это	2	16
12	в этом	11	16
13	так и	11	15
14	а не	9	14
15	слова в	2	13
16	как в	2	13
17	отличие от	7	13
18	в пределах	3	13
19	во всех	3	12
20	в отличие	7	12
21	вовсе не	2	10
22	не в	7	9
23	прежде всего	4	8
24	себя в	7	8
25	слова и	2	8
26	таким образом	3	8
27	точки зрения	10	8
28	с его	6	7
29	при этом	13	7
30	для него	4	7
31	еще не	3	7
32	в его	9	7
33	как бы	9	7
34	никогда не	2	7
35	в этих	3	7
36	и потому	2	7
37	могут быть	4	7
38	с ним	2	7
39	в них	2	6
40	и к	3	6
41	как и	2	6
42	в своем	2	6
43	языка в	4	6
44	но не	11	6
45	все эти	2	6
46	в слове	3	6
47	но в	7	6
48	с другой	7	5
49	это не	2	5
50	и для	2	5
51	по себе	2	5
52	том что	8	5
53	или иной	7	5
54	одной стороны	2	5
55	только в	5	5
56	в том	18	5
57	например в	3	5
58	той или	4	5
59	один из	2	5
60	с одной	2	5
61	уже не	4	5
62	героя и	5	5
63	мира и	2	5
64	не менее	3	4
65	и др	2	4
66	себя и	2	4
67	ни в	5	4
68	отношению к	9	4
69	же время	5	4
70	одна из	2	4
71	в узком	3	4
72	на почве	3	4
73	в отношении	3	4
74	по отношению	9	4
75	входит в	4	4
76	отношения к	2	4
77	то же	10	4
78	в той	3	4
79	а в	12	4
80	с другими	4	4
81	и на	2	4
82	в основе	4	4
83	в то	6	4
84	отношении к	2	4
85	отношение к	5	4
86	его в	2	4
87	здесь не	2	4
88	истории литературы	2	3
89	что в	6	3
90	не столько	3	3
91	в состав	6	3
92	не с	2	3
93	в свою	3	3
94	сама по	2	3
95	что и	2	3
96	и как	3	3
97	с их	2	3
98	как к	2	3
99	к нему	3	3
100	быть и	2	3
101	в контексте	3	3
102	лишь в	4	3
103	а также	5	3
104	с точки	3	3
105	или даже	3	3
106	сказать что	4	3
107	между тем	4	3
108	речи и	3	3
109	говорить о	3	3
110	в чем	2	3
111	как это	5	3
112	в данном	4	2
113	с языком	3	2
114	и более	2	2
115	ни к	2	2
116	и другие	2	2
117	и существенно	2	2
118	хотя и	3	2
119	однако в	4	2
120	в нашем	2	2
121	но она	2	2
122	жизни в	2	2
123	но он	3	2
124	говорит и	3	2
125	как уже	2	2
126	только о	2	2
127	в себе	9	2
128	что он	3	2
129	с ее	5	2
130	в одно	2	2
131	более или	5	2
132	свою очередь	2	2
133	материала в	2	2
134	роман и	2	2
135	за пределы	2	2
136	известной степени	3	2
137	слова как	5	2
138	даже в	3	2
139	и особенно	2	2
140	не все	2	2
141	то что	4	2
142	или менее	5	2
143	а именно	2	2
144	в их	5	2
145	в форме	4	2
146	отличается от	2	2
147	так в	4	2
148	именно в	2	2
149	в себя	2	2
150	и т.п	4	2
151	того чтобы	2	2
152	для того	2	2
153	в единое	3	2
154	или в	2	2
155	автора и	3	2
156	он не	4	2
157	далеко не	2	2
158	к его	2	2
159	но как	2	2
160	в другом	3	2
161	не знает	3	2
162	о том	2	2
163	в области	6	2
164	в одном	2	2
