N	2gram	Vinokur_Vv_1	Dialekti
1	не есть	4	54
2	т е	38	48
3	и не	13	27
4	а не	3	26
5	точки зрения	7	25
6	и в	27	24
7	и т	43	24
8	не только	21	23
9	т д	37	23
10	что такое	10	21
11	по себе	9	20
12	не может	13	19
13	не просто	4	18
14	ничего не	2	17
15	и есть	3	16
16	и что	4	15
17	то что	17	14
18	с точки	2	14
19	может быть	24	13
20	таким образом	19	13
21	и даже	5	13
22	что он	4	13
23	вовсе не	6	13
24	что это	3	12
25	того что	12	12
26	есть только	2	12
27	есть и	4	12
28	не менее	8	11
29	не имеет	4	11
30	что же	3	11
31	тем не	8	10
32	она есть	5	10
33	не существует	2	10
34	в сущности	3	10
35	то это	3	9
36	но и	5	9
37	что она	3	9
38	есть не	3	9
39	учение о	2	8
40	прежде всего	8	8
41	так что	5	8
42	и как	9	8
43	это есть	2	8
44	что мы	2	8
45	том что	26	8
46	в этом	34	8
47	в виде	4	8
48	если же	2	8
49	что в	11	7
50	никогда не	3	7
51	но что	3	7
52	в самом	12	7
53	в особенности	4	7
54	что оно	2	7
55	потому что	14	7
56	даже и	3	7
57	в виду	4	7
58	ясно что	9	7
59	как и	5	7
60	только на	3	7
61	как раз	4	7
62	иное как	5	6
63	должна быть	2	6
64	но если	3	6
65	все это	6	6
66	и с	2	6
67	что иное	4	6
68	о том	15	6
69	так как	13	6
70	если бы	2	6
71	история и	3	6
72	не что	4	6
73	об этом	5	6
74	что и	3	6
75	то же	8	6
76	самом деле	6	6
77	с этой	4	5
78	в том	31	5
79	только как	6	5
80	хотя и	3	5
81	жизни и	2	5
82	и его	5	5
83	как на	11	5
84	одно из	5	5
85	в то	5	5
86	как это	5	5
87	само по	3	5
88	в них	4	5
89	по крайней	4	5
90	вопрос о	8	5
91	тогда когда	3	5
92	было бы	5	5
93	крайней мере	4	5
94	и тогда	3	5
95	уже не	5	5
96	что не	5	5
97	мы не	2	5
98	только в	13	5
99	тому что	2	4
100	с другой	8	4
101	это не	8	4
102	не могут	5	4
103	сама по	3	4
104	к тому	4	4
105	как о	4	4
106	от себя	3	4
107	хотя бы	5	4
108	можно только	2	4
109	так же	3	4
110	сказать что	5	4
111	у нас	2	4
112	говорить о	3	4
113	в истории	9	4
114	истории и	4	4
115	говорит о	3	4
116	от того	3	4
117	только что	4	4
118	в чем	4	4
119	е не	2	4
120	и то	5	4
121	е в	4	4
122	и это	6	4
123	что нет	2	4
124	все же	8	3
125	и без	2	3
126	в своем	3	3
127	что именно	2	3
128	не в	8	3
129	особого рода	4	3
130	же время	5	3
131	одной стороны	4	3
132	из двух	2	3
133	тем более	2	3
134	в нем	13	3
135	из них	3	3
136	с одной	4	3
137	все эти	3	3
138	должно быть	2	3
139	и на	3	3
140	мере в	4	3
141	с этим	2	3
142	именно как	3	3
143	он и	2	3
144	во всем	2	3
145	при помощи	2	3
146	как целое	3	3
147	ни к	2	3
148	тем что	6	3
149	есть еще	2	3
150	уже и	7	3
151	в силу	3	3
152	только о	2	3
153	одна из	2	3
154	как бы	5	3
155	быть и	2	3
156	или же	3	3
157	для того	21	3
158	из которых	2	3
159	к нему	2	3
160	той же	4	3
161	на свои	2	3
162	и ее	4	3
163	а если	2	3
164	в нечто	2	3
165	зависит от	3	2
166	же как	3	2
167	что если	2	2
168	в частности	3	2
169	вообще не	3	2
170	из этих	5	2
171	точно так	2	2
172	есть действительно	2	2
173	из того	2	2
174	оказалось что	2	2
175	лишь как	2	2
176	на этом	3	2
177	еще не	4	2
178	к истории	6	2
179	при этом	3	2
180	несмотря на	2	2
181	например в	2	2
182	не вполне	4	2
183	всяком случае	3	2
184	так или	4	2
185	говоря уже	2	2
186	и тем	5	2
187	и уже	3	2
188	не говоря	2	2
189	а именно	6	2
190	другой стороны	5	2
191	она была	2	2
192	для этого	3	2
193	как например	5	2
194	мы говорим	2	2
195	еще и	3	2
196	именно в	8	2
197	и вот	3	2
198	а в	5	2
199	в своих	2	2
200	также и	16	2
201	ее от	2	2
202	в ней	3	2
203	в первом	5	2
204	когда мы	2	2
205	в чисто	4	2
206	но в	10	2
207	истории не	2	2
208	этого не	2	2
209	тех или	3	2
210	что время	2	2
211	на котором	2	2
212	в их	11	2
213	что можно	2	2
214	но как	2	2
215	по существу	2	2
216	так чтобы	3	2
217	но не	7	2
218	во внимание	2	2
219	однако не	4	2
220	со стороны	12	2
221	себя в	2	2
222	на основании	5	2
223	что история	6	2
224	как мы	9	2
225	целое и	2	2
226	и для	4	2
227	или иначе	4	2
228	в данном	11	2
229	во всяком	3	2
230	могут быть	4	2
231	в себе	4	2
232	и вообще	3	2
233	иной раз	2	2
234	в его	10	2
