N	2gram	Propp_Russ_1	Literetu
1	не только	22	24
2	при этом	6	19
3	в качестве	3	17
4	но и	16	17
5	а не	2	16
6	в том	17	16
7	в частности	2	15
8	том что	19	14
9	может быть	8	13
10	тогда как	2	13
11	в году	2	13
12	и не	6	12
13	в этом	12	12
14	состоит в	8	11
15	в своем	3	11
16	своего рода	3	11
17	то что	6	10
18	в целом	2	8
19	и в	36	8
20	только в	4	8
21	как это	8	8
22	не менее	3	7
23	в его	2	7
24	как бы	5	7
25	уже не	6	7
26	в жизни	2	6
27	как и	10	6
28	связи с	4	6
29	того что	4	6
30	точки зрения	3	6
31	то есть	3	6
32	а также	3	5
33	как в	5	5
34	не может	4	5
35	то же	3	5
36	для этого	2	4
37	это не	10	4
38	в силу	2	4
39	представляет собой	4	4
40	но не	2	4
41	еще не	4	4
42	еще в	4	4
43	все же	5	4
44	из них	8	4
45	так и	7	4
46	в связи	4	4
47	в своих	2	4
48	с собой	4	4
49	не было	2	3
50	что в	19	3
51	одна из	4	3
52	что ему	2	3
53	например в	2	3
54	несмотря на	3	3
55	у него	2	3
56	том же	2	3
57	один из	8	3
58	и др	4	3
59	в их	4	3
60	приводит к	3	3
61	а в	9	3
62	таким образом	6	3
63	потому что	10	3
64	одно из	5	3
65	но в	2	3
66	далеко не	3	3
67	в области	3	3
68	на этом	3	2
69	для них	3	2
70	по этому	3	2
71	отнюдь не	2	2
72	в равной	2	2
73	та же	2	2
74	из этих	4	2
75	их не	2	2
76	к тому	4	2
77	тем не	3	2
78	в поле	3	2
79	в москве	3	2
80	е годы	2	2
81	следующим образом	4	2
82	вплоть до	4	2
83	так называемый	2	2
84	в нем	2	2
85	в е	2	2
86	только на	3	2
87	не на	2	2
88	все эти	2	2
89	с точки	3	2
90	во многих	5	2
91	не случайно	2	2
92	между тем	7	2
93	тем что	4	2
94	могут быть	2	2
95	и м	14	2
96	на себя	2	2
97	как будто	5	2
98	как правило	3	2
99	о том	8	2
100	как он	2	2
101	в россии	4	2
