N	2gram	Tiupa_Hudo_1	formyVre
1	и в	14	50
2	в этом	11	25
3	в нем	3	24
4	человека в	6	17
5	и его	5	16
6	в литературе	3	16
7	прежде всего	11	15
8	и не	2	14
9	как мы	3	14
10	как раз	4	13
11	в его	8	13
12	так и	13	12
13	может быть	5	11
14	мы уже	4	11
15	то же	9	11
16	но в	5	10
17	в конце	4	9
18	в том	12	9
19	же время	8	9
20	все эти	3	9
21	в то	8	9
22	не только	12	9
23	с его	5	9
24	ничего не	8	9
25	в самом	4	8
26	его жизни	2	8
27	и т	11	8
28	но и	5	8
29	и на	3	8
30	жизни в	6	8
31	как и	9	8
32	жизни и	5	8
33	ни в	5	8
34	т п	8	8
35	не было	4	7
36	характер и	2	7
37	для себя	3	7
38	героя и	5	7
39	так сказать	2	7
40	все же	3	6
41	в частности	5	6
42	это не	7	6
43	например в	2	6
44	с ее	2	6
45	в их	2	6
46	не может	7	6
47	лишь в	3	6
48	в результате	2	6
49	у него	9	6
50	с этим	3	6
51	и все	4	6
52	связи с	4	6
53	то что	8	6
54	в ее	3	6
55	как в	8	6
56	человеческой жизни	4	6
57	что в	6	5
58	не в	7	5
59	в пределах	3	5
60	в связи	3	5
61	точки зрения	5	5
62	если бы	3	5
63	отнюдь не	3	5
64	романа в	3	5
65	но не	3	5
66	еще не	7	5
67	он не	4	5
68	отношению к	8	5
69	того чтобы	3	5
70	в своем	4	4
71	своей жизни	2	4
72	до конца	2	4
73	все это	2	4
74	влияние на	2	4
75	не имеет	2	4
76	для других	2	4
77	потому что	5	4
78	и с	4	4
79	в ней	4	4
80	к себе	5	4
81	нет ничего	2	4
82	раз в	2	4
83	себе самому	3	4
84	том что	16	4
85	и для	3	4
86	только в	5	4
87	и это	4	4
88	здесь не	2	4
89	человек в	2	3
90	себя и	2	3
91	в этих	5	3
92	к тому	7	3
93	да и	2	3
94	при этом	12	3
95	не имеют	3	3
96	себе и	2	3
97	хотя и	2	3
98	один из	4	3
99	в форме	2	3
100	по отношению	8	3
101	этом отношении	3	3
102	именно в	7	3
103	они не	2	3
104	друг друга	5	3
105	а в	7	3
106	в начале	2	3
107	его в	3	3
108	ни к	2	3
109	поэтому и	2	3
110	не знает	2	3
111	на фоне	2	3
112	же в	3	3
113	в качестве	9	3
114	одной из	2	3
115	по преимуществу	3	3
116	и потому	2	3
117	сих пор	2	3
118	только на	2	3
119	а не	12	3
120	что не	2	3
121	своей собственной	2	3
122	мы не	2	3
123	в таком	3	3
124	чужой жизни	2	3
125	совершенно иной	2	3
126	в себе	11	3
127	до сих	2	3
128	же как	2	2
129	никогда не	6	2
130	о своей	2	2
131	вопрос о	2	2
132	а только	4	2
133	для него	10	2
134	характера в	3	2
135	не о	2	2
136	к жизни	5	2
137	в целом	2	2
138	как по	2	2
139	к своему	2	2
140	на основе	2	2
141	того что	4	2
142	и даже	3	2
143	и по	3	2
144	или не	3	2
145	личности и	2	2
146	но он	3	2
147	отсюда и	2	2
148	как он	2	2
149	с ним	4	2
150	к другому	4	2
151	ясно что	2	2
152	по себе	2	2
153	и к	4	2
154	об этом	5	2
155	одна из	2	2
156	было бы	6	2
157	в это	2	2
158	в данной	2	2
159	а также	3	2
160	в своей	10	2
161	как бы	7	2
162	в центре	4	2
163	жизни на	2	2
164	уже не	7	2
165	в значительной	2	2
166	с точки	3	2
167	той же	2	2
168	как она	2	2
169	автора и	2	2
170	тем что	3	2
171	характер в	2	2
