N	2gram	Bakhtin_fo_1	Problema
1	и не	14	28
2	то есть	33	27
3	не только	9	24
4	только в	4	23
5	вовсе не	13	21
6	в том	9	20
7	и в	50	20
8	ни в	8	17
9	все эти	9	16
10	смысле слова	2	15
11	то что	6	15
12	потому что	4	15
13	было бы	2	14
14	той или	2	14
15	но и	8	14
16	точки зрения	5	14
17	или иной	2	13
18	не в	5	13
19	также и	2	13
20	в нашем	2	12
21	в себе	3	12
22	том что	4	12
23	прежде всего	15	11
24	по себе	2	11
25	с точки	2	11
26	отнюдь не	5	10
27	в качестве	3	10
28	не является	2	10
29	так и	12	10
30	и его	16	10
31	может быть	11	9
32	все это	4	9
33	и даже	2	9
34	в этом	25	9
35	если бы	5	8
36	таким образом	11	8
37	в той	4	8
38	в результате	6	8
39	во всяком	3	8
40	и все	6	8
41	но в	10	8
42	с другой	2	7
43	это не	6	7
44	ясно что	2	7
45	есть в	2	7
46	еще не	5	7
47	мы не	3	7
48	и потому	3	7
49	то же	11	7
50	именно в	3	7
51	а не	3	7
52	сказать что	3	7
53	и с	4	7
54	в ней	4	7
55	здесь не	4	7
56	хотя бы	2	7
57	об этом	2	6
58	всех этих	5	6
59	а только	2	6
60	а также	2	6
61	для нас	2	6
62	как и	8	6
63	есть не	3	6
64	при этом	3	6
65	в виду	3	6
66	в одно	3	6
67	в таком	3	6
68	в данном	2	6
69	в каком	2	6
70	и вообще	2	6
71	но не	5	5
72	хотя и	3	5
73	в нем	24	5
74	здесь в	2	5
75	в ее	6	5
76	да и	3	5
77	человеческой жизни	6	5
78	жизни и	8	5
79	вместе с	3	5
80	как в	6	5
81	так же	6	5
82	не может	6	5
83	в них	4	5
84	только и	5	5
85	так как	6	5
86	если мы	2	5
87	уже не	2	5
88	или в	3	5
89	в этих	3	5
90	уже в	2	4
91	времени и	10	4
92	с тем	3	4
93	в отношении	3	4
94	и для	4	4
95	и во	7	4
96	в одном	3	4
97	и ее	3	4
98	в самой	2	4
99	кроме того	4	4
100	одной из	3	4
101	в своей	2	4
102	как бы	2	4
103	не имеет	4	4
104	и т	8	4
105	же в	3	4
106	и образ	3	4
107	во всех	6	4
108	ни с	2	4
109	с этим	6	4
110	в разных	5	4
111	а в	3	4
112	что не	3	4
113	жизнь и	4	4
114	как раз	13	4
115	в то	9	4
116	здесь как	2	4
117	с ним	2	4
118	в связи	5	3
119	человека в	17	3
120	к тому	3	3
121	для всех	2	3
122	вообще не	3	3
123	само собой	2	3
124	в жизни	6	3
125	в условиях	7	3
126	и к	2	3
127	как мы	14	3
128	для него	2	3
129	и как	10	3
130	но все	5	3
131	в начале	3	3
132	связи с	6	3
133	в истории	2	3
134	себе и	3	3
135	совершенно не	2	3
136	конечно не	4	3
137	же и	2	3
138	и является	2	3
139	в его	13	3
140	только к	3	3
141	здесь нет	3	3
142	но она	2	3
143	что и	3	3
144	что в	5	3
145	в новое	3	3
146	в своем	4	3
147	не было	7	3
148	еще и	2	3
149	в буквальном	2	3
150	всякого рода	2	3
151	для того	5	3
152	что мы	2	3
153	с другими	3	3
154	и на	8	3
155	тем что	2	3
156	мы должны	2	3
157	нет ничего	4	3
158	не обязательно	2	2
159	но они	3	2
160	в частности	6	2
161	со своей	3	2
162	между собой	4	2
163	есть именно	2	2
164	в конце	9	2
165	была бы	2	2
166	здесь также	2	2
167	в литературе	16	2
168	для себя	7	2
169	стороны и	2	2
170	с его	9	2
171	нет и	2	2
172	новое и	2	2
173	тому же	2	2
174	этого произведения	2	2
175	то время	4	2
176	для них	3	2
177	в пределах	5	2
178	и может	2	2
179	со всеми	3	2
180	в это	2	2
181	не являются	2	2
182	нет в	2	2
183	здесь на	4	2
184	в самом	8	2
185	по преимуществу	3	2
186	он не	5	2
187	к ней	2	2
188	здесь конечно	2	2
189	время как	5	2
190	никто не	2	2
191	в котором	4	2
192	все же	6	2
193	с ее	6	2
194	на этой	4	2
195	не к	2	2
196	можно назвать	2	2
197	только на	3	2
198	и прежде	2	2
199	жизни в	8	2
200	можно только	2	2
201	мы находим	2	2
202	но эта	3	2
203	того чтобы	5	2
204	и по	2	2
205	есть только	2	2
206	ни к	3	2
207	друг друга	3	2
208	в других	9	2
209	в значительной	2	2
210	и то	4	2
211	во всем	2	2
212	во все	2	2
213	далеко не	2	2
214	его в	3	2
215	и это	4	2
216	дело в	2	2
217	к своему	2	2
218	в чем	2	2
219	буквальном смысле	2	2
220	в которой	2	2
221	того же	8	2
222	у гесиода	3	2
223	но по	2	2
224	еще более	3	2
225	в романах	2	2
