N	2gram	Vinokur_Ku_2	Hudozhes
1	в качестве	8	19
2	состоит в	2	16
3	и не	16	16
4	в том	19	15
5	и в	23	15
6	не только	20	15
7	в частности	2	13
8	может быть	15	13
9	при этом	2	12
10	а в	3	12
11	и его	3	12
12	но не	6	11
13	в этом	18	11
14	как бы	4	10
15	но и	7	10
16	так и	4	10
17	то же	6	10
18	а не	10	10
19	в его	5	9
20	точки зрения	14	9
21	своего рода	4	8
22	сводится к	3	8
23	с другой	8	7
24	в отличие	2	7
25	в то	4	7
26	отличие от	2	7
27	но в	11	7
28	что в	10	6
29	том что	11	6
30	не в	8	6
31	же время	3	6
32	приводит к	5	6
33	не может	9	6
34	могут быть	4	5
35	можно сказать	4	5
36	а также	3	5
37	ни в	4	5
38	только в	5	5
39	тем самым	2	5
40	в самом	12	5
41	того что	3	5
42	в нем	4	5
43	то что	9	5
44	другой стороны	7	5
45	в их	2	5
46	уже не	8	5
47	а на	2	4
48	прежде всего	8	4
49	к тому	4	4
50	а только	3	4
51	в другом	2	4
52	еще не	5	4
53	хотя и	4	4
54	он не	3	4
55	и тем	5	4
56	в своей	2	4
57	со стороны	4	4
58	в форме	3	4
59	отношения к	2	4
60	и то	5	4
61	сказать что	4	4
62	между тем	6	4
63	речи и	5	4
64	мы имеем	5	4
65	говорить о	4	4
66	не знает	3	4
67	как это	5	4
68	не менее	7	3
69	если бы	12	3
70	конечном счете	2	3
71	в отношении	2	3
72	это не	6	3
73	этом смысле	5	3
74	была бы	4	3
75	или иного	2	3
76	что он	5	3
77	тем не	6	3
78	в пределах	4	3
79	того же	3	3
80	в свою	2	3
81	того или	2	3
82	как раз	3	3
83	в конечном	2	3
84	к нему	2	3
85	так в	3	3
86	не на	2	3
87	таким образом	5	3
88	как и	2	3
89	в той	2	3
90	лишь в	5	3
91	и что	8	3
92	с точки	8	3
93	и для	2	3
94	не следует	5	3
95	потому что	25	3
96	что можно	3	3
97	в данном	4	3
98	всего лишь	3	3
99	в области	11	3
100	в виду	3	3
101	слова в	6	2
102	на этом	3	2
103	я не	5	2
104	речь идет	2	2
105	и более	2	2
106	ни к	15	2
107	так или	2	2
108	в нашем	7	2
109	в своем	2	2
110	в них	4	2
111	превращается в	2	2
112	не как	2	2
113	вовсе не	9	2
114	по себе	10	2
115	только о	2	2
116	роль в	2	2
117	об этом	5	2
118	данный момент	3	2
119	есть в	3	2
120	свою очередь	2	2
121	слова не	3	2
122	могла бы	2	2
123	несмотря на	5	2
124	и о	4	2
125	и потому	2	2
126	оно не	2	2
127	не все	3	2
128	по преимуществу	2	2
129	дело не	2	2
130	как в	3	2
131	а именно	2	2
132	слова как	3	2
133	здесь не	3	2
134	с одной	2	2
135	именно в	3	2
136	все эти	12	2
137	это и	3	2
138	в году	2	2
139	этого термина	2	2
140	того чтобы	11	2
141	для того	9	2
142	из которых	3	2
143	и по	3	2
144	или в	4	2
145	так же	4	2
146	или иначе	3	2
147	и на	6	2
148	в силу	7	2
149	у него	3	2
150	языка в	3	2
151	в этой	6	2
152	и это	3	2
