N	3gram	Voloshinov_1	PoTuStor
1	с точки зрения	10	6
2	по ту сторону	3	4
3	с самого начала	5	4
4	на самом деле	2	4
5	во всяком случае	3	3
6	можно сказать что	3	3
7	не может быть	3	3
8	и его ученики	3	3
9	к матери и	2	3
10	в большинстве случаев	4	3
11	фрейд и его	3	3
12	в чем не	2	3
13	ни в чем	2	3
14	до сих пор	3	3
15	на протяжении всей	5	2
16	я и оно	3	2
17	метод свободного фантазирования	4	2
18	пробиться в сознание	2	2
19	связанных с ними	2	2
20	мы можем сказать	2	2
21	и может быть	2	2
22	на две группы	2	2
23	с вытесненным представлением	2	2
24	явные образы сновидения	2	2
25	все то что	2	2
26	не могут быть	3	2
27	его все позволено	2	2
28	чувств и желаний	3	2
29	рассеяно по всему	2	2
30	а потому и	2	2
31	мысли и образы	3	2
32	фрейд и фрейдисты	2	2
33	является по ранку	2	2
34	всей жизни человека	3	2
35	испытание с точки	2	2
36	в систему бессознательного	2	2
37	в самом деле	5	2
38	протяжении всей жизни	4	2
39	с его все	2	2
40	всей последующей жизни	2	2
41	абстрактный биологический организм	2	2
