N	2gram	Tiupa_Anal_3	DiskursI
1	в себе	2	19
2	при этом	11	17
3	состоит в	4	16
4	в качестве	12	16
5	и в	18	16
6	может быть	9	16
7	как и	14	16
8	в этом	14	16
9	и не	12	15
10	а не	9	14
11	в частности	12	12
12	и т.п	5	12
13	в отличие	2	12
14	отличие от	2	12
15	то есть	10	12
16	в мире	5	11
17	представляет собой	5	11
18	но и	13	11
19	тогда как	20	11
20	но в	2	11
21	том что	12	10
22	не только	22	10
23	своего рода	8	10
24	со стороны	9	10
25	такого рода	5	9
26	так и	14	9
27	не может	2	9
28	в том	9	8
29	а также	2	8
30	как в	3	8
31	в рамках	3	7
32	не менее	4	7
33	прежде всего	5	7
34	в нем	2	7
35	но не	7	7
36	картины мира	4	7
37	в лирике	2	7
38	в данном	4	7
39	с его	8	6
40	отнюдь не	4	6
41	себя в	4	6
42	еще не	6	6
43	все же	4	6
44	данном случае	3	6
45	то же	3	6
46	тем самым	4	6
47	по своей	2	6
48	анекдота и	2	6
49	в противоположность	2	5
50	что в	9	5
51	в своем	4	5
52	с другой	7	5
53	в противовес	2	5
54	же время	3	5
55	для него	6	5
56	то что	2	5
57	и на	4	5
58	коммуникативного события	11	5
59	в то	3	5
60	я в	5	5
61	притчи о	4	4
62	в одном	4	4
63	к этому	3	4
64	жанровая стратегия	3	4
65	в пределах	4	4
66	художественного целого	6	4
67	одной стороны	2	4
68	как бы	10	4
69	отношению к	7	4
70	по отношению	7	4
71	этом отношении	3	4
72	с одной	2	4
73	ни для	2	4
74	картина мира	4	4
75	роль в	3	4
76	точки зрения	3	4
77	в этой	6	4
78	о том	6	4
79	мира и	2	4
80	не является	5	4
81	я и	3	4
82	перед нами	4	3
83	очевидным образом	2	3
84	подход к	2	3
85	могут быть	2	3
86	восходит к	3	3
87	в них	2	3
88	столь же	4	3
89	это не	2	3
90	не столько	3	3
91	из этих	3	3
92	и все	2	3
93	или иной	5	3
94	уже не	5	3
95	и того	3	3
96	и как	4	3
97	не в	6	3
98	в контексте	2	3
99	о блудном	12	3
100	можно сказать	4	3
101	мысль о	3	3
102	внутренней мерой	2	3
103	например в	2	3
104	он не	6	3
105	той или	3	3
106	в его	7	3
107	в становлении	2	3
108	героем анекдота	2	3
109	в русской	7	3
110	к жизни	3	3
111	блудном сыне	11	3
112	принадлежит к	4	3
113	и ее	2	3
114	в тексте	9	3
115	из барышни-крестьянки	3	3
116	приводит к	4	3
117	в анекдоте	2	3
118	жизненной позиции	2	3
119	не было	3	3
120	однако при	2	3
121	иначе говоря	2	3
122	все эти	2	3
123	жанровой стратегии	2	3
124	жанровой традиции	2	3
125	и его	13	3
126	следует признать	3	3
127	одного и	3	3
128	только в	2	3
129	его в	3	3
130	художественное целое	6	2
131	или анекдота	2	2
132	лирическое я	2	2
133	никогда не	5	2
134	белкина в	4	2
135	в большинстве	2	2
136	станционного смотрителя	8	2
137	у пушкина	3	2
138	в целом	3	2
139	повестях белкина	7	2
140	художественной целостности	4	2
141	личности в	3	2
142	как уже	2	2
143	к анекдоту	2	2
144	ср из	2	2
145	в той	2	2
146	что он	4	2
147	который не	2	2
148	сказания или	3	2
149	в соответствии	2	2
150	вследствие которого	2	2
151	картине мира	2	2
152	того же	5	2
153	цикла в	3	2
154	с их	3	2
155	о чем	4	2
156	в повестях	8	2
157	свое время	2	2
158	ивана петровича	10	2
159	в ней	2	2
160	далеко не	4	2
161	в свое	2	2
162	ситуации рассказывания	2	2
163	петровича белкина	8	2
164	я с	2	2
165	по сути	2	2
166	сочетании с	3	2
167	не с	2	2
168	что и	5	2
169	с ее	3	2
170	с точки	2	2
171	или из	2	2
172	вместе с	2	2
173	русской литературе	4	2
174	в притче	4	2
175	и прежде	2	2
176	входит в	2	2
177	именно в	3	2
178	жанровых стратегий	2	2
179	на языке	3	2
180	жанровые стратегии	2	2
181	по преимуществу	2	2
182	себе самому	2	2
183	в себя	2	2
184	дистанция между	2	2
185	сводится к	2	2
186	все это	3	2
187	не более	2	2
188	более чем	2	2
189	в принципе	2	2
190	героем притчи	2	2
191	другой стороны	5	2
192	и для	2	2
193	а в	10	2
194	той же	5	2
195	повести белкина	9	2
196	сверхличной заданности	3	2
197	тому как	2	2
198	являет собой	3	2
199	в результате	5	2
200	пока еще	3	2
201	герой анекдота	2	2
202	речь пойдет	2	2
203	в сочетании	3	2
204	подобно тому	3	2
205	эстетическая модальность	2	2
206	говорить о	3	2
207	анекдота о	2	2
208	притчи и	4	2
209	коммуникативным событием	2	2
210	дело в	2	2
211	на примере	2	2
212	здесь не	3	2
213	мы имеем	5	2
214	между тем	5	2
215	произведения как	2	2
