N	2gram	Tiupa_Narr_2	Marksizm
1	может быть	10	28
2	и в	13	19
3	как бы	6	19
4	и не	14	19
5	не может	8	18
6	в процессе	2	18
7	точки зрения	5	17
8	то же	4	16
9	и его	3	16
10	в этом	13	15
11	таким образом	5	14
12	так сказать	3	14
13	не только	26	13
14	с точки	2	13
15	в нем	5	11
16	если бы	4	11
17	вовсе не	2	11
18	не в	8	10
19	но и	15	10
20	том что	13	10
21	так и	9	10
22	и т.п	6	10
23	для него	4	9
24	при этом	14	9
25	как и	4	9
26	самом деле	3	9
27	а не	17	9
28	отнюдь не	4	8
29	же время	3	8
30	не является	4	8
31	по отношению	5	8
32	в то	5	8
33	с его	3	8
34	отношению к	5	8
35	только в	11	8
36	никогда не	6	7
37	высказывания как	2	7
38	в том	14	7
39	но в	6	7
40	и более	2	7
41	прежде всего	6	7
42	одна из	3	7
43	внутренней речи	3	7
44	на самом	2	7
45	и для	3	7
46	в таком	3	7
47	к тому	9	6
48	в свою	2	6
49	того чтобы	3	6
50	в самом	2	6
51	в направлении	2	6
52	и все	4	6
53	между тем	3	6
54	хотя бы	2	6
55	или иной	3	5
56	в форме	5	5
57	так же	2	5
58	и здесь	2	5
59	к другому	2	5
60	и того	3	5
61	в его	6	5
62	все же	6	5
63	в той	5	5
64	в данном	10	5
65	тем более	2	5
66	в душе	2	4
67	должна быть	2	4
68	тому что	3	4
69	это не	3	4
70	на то	2	4
71	той или	3	4
72	все те	2	4
73	то что	8	4
74	и тем	5	4
75	того что	6	4
76	с ними	3	4
77	сказать что	3	4
78	бы в	2	4
79	а как	3	4
80	как раз	3	4
81	что он	5	4
82	было бы	2	4
83	для себя	3	4
84	только на	2	4
85	в слове	3	4
86	в себе	8	4
87	и т.д	4	4
88	ничего не	6	4
89	перед нами	4	3
90	в какой	4	3
91	столь же	2	3
92	с другой	5	3
93	да и	3	3
94	в этой	4	3
95	одной стороны	5	3
96	в ней	2	3
97	в котором	5	3
98	а в	9	3
99	с одной	5	3
100	все эти	3	3
101	в другом	4	3
102	не имеет	2	3
103	для других	3	3
104	о том	5	3
105	в ее	4	3
106	у нас	2	3
107	в качестве	14	3
108	еще не	2	3
109	не к	4	3
110	он не	5	3
111	что и	2	3
112	не будет	2	3
113	в своей	4	3
114	только что	2	3
115	в отличие	5	3
116	той же	2	3
117	отличие от	5	3
118	место в	5	2
119	что в	4	2
120	что это	4	2
121	в нашем	2	2
122	точку зрения	3	2
123	тому же	4	2
124	что они	3	2
125	как о	2	2
126	о чем	2	2
127	и у	4	2
128	жизни и	4	2
129	в своем	6	2
130	именно в	2	2
131	они не	2	2
132	и даже	3	2
133	как на	2	2
134	не следует	3	2
135	но для	2	2
136	к его	3	2
137	в начале	2	2
138	все то	2	2
139	того или	3	2
140	то есть	9	2
141	у него	6	2
142	в жизни	6	2
143	или иного	3	2
144	но не	3	2
145	содержания сознания	2	2
146	себя в	2	2
147	а с	2	2
148	сводится к	9	2
149	и он	2	2
150	мы не	2	2
151	свидетельствует о	4	2
152	вступает в	2	2
153	себя с	2	2
154	в виде	2	2
155	на протяжении	5	2
156	все его	4	2
157	далеко не	5	2
158	бытия в	2	2
159	ответ на	5	2
