N	2gram	Medvedev_V_1	FransuaR
1	и в	26	40
2	и его	6	17
3	прежде всего	13	16
4	в романе	4	15
5	в этом	26	15
6	не только	25	13
7	и не	19	13
8	в его	14	13
9	что в	10	12
10	вовсе не	3	12
11	как и	7	11
12	но и	10	11
13	таким образом	31	10
14	в них	4	9
15	может быть	22	9
16	он не	2	9
17	во время	3	8
18	в том	15	8
19	у него	6	8
20	все эти	6	8
21	но в	2	8
22	в своем	8	7
23	в одном	4	7
24	и др	9	7
25	до нас	2	7
26	то же	10	7
27	он и	2	7
28	в виду	4	7
29	к этому	9	6
30	же время	5	6
31	в самом	4	6
32	во всех	6	6
33	в своей	4	6
34	связи с	4	6
35	в то	6	6
36	он говорит	5	6
37	в году	6	5
38	как раз	3	5
39	в нем	6	5
40	то что	6	5
41	в связи	3	5
42	не было	7	5
43	а не	7	5
44	и для	2	5
45	в своих	2	5
46	так сказать	2	5
47	в особенности	2	5
48	для него	8	5
49	у нас	2	4
50	том что	8	4
51	смысле слова	2	4
52	было бы	7	4
53	в ней	2	4
54	в основном	5	4
55	из них	9	4
56	и потому	2	4
57	даже в	5	4
58	один из	5	4
59	жизни и	3	4
60	в их	5	4
61	все это	10	4
62	роль в	4	4
63	о том	10	4
64	того чтобы	3	4
65	и даже	2	4
66	также и	2	4
67	в области	2	4
68	том числе	2	3
69	с его	3	3
70	всех этих	2	3
71	если бы	3	3
72	в частности	11	3
73	не подлежит	2	3
74	и от	3	3
75	и к	3	3
76	об этом	9	3
77	в ее	4	3
78	мы видели	3	3
79	в этой	4	3
80	одна из	4	3
81	большей или	3	3
82	еще не	2	3
83	и есть	5	3
84	вплоть до	2	3
85	как бы	5	3
86	и наконец	2	3
87	что и	3	3
88	вместе с	7	3
89	так и	5	3
90	во всей	2	3
91	по отношению	7	3
92	не может	17	3
93	а в	3	3
94	начиная с	2	3
95	в значительной	3	3
96	для того	3	3
97	между ними	3	3
98	и как	3	3
99	можно было	2	3
100	или меньшей	3	3
101	сказать что	5	3
102	между тем	5	3
103	же и	2	3
104	они не	2	3
105	в себе	6	3
106	в другом	2	3
107	только в	7	3
108	в конце	3	3
109	их в	6	3
110	не менее	2	2
111	связана с	2	2
112	в книге	2	2
113	и этот	2	2
114	еще и	2	2
115	о чем	2	2
116	и образов	5	2
117	хотя бы	19	2
118	в течение	2	2
119	с другой	11	2
120	это не	7	2
121	из этих	7	2
122	образов в	2	2
123	с нею	2	2
124	образом в	3	2
125	что он	4	2
126	или иной	2	2
127	можно сказать	4	2
128	момент в	3	2
129	мы знаем	3	2
130	все же	5	2
131	это и	6	2
132	но не	2	2
133	в последнем	2	2
134	как известно	2	2
135	в большей	2	2
136	например в	3	2
137	меньшей степени	2	2
138	одним из	5	2
139	том же	6	2
140	в котором	3	2
141	отношению к	7	2
142	в целом	4	2
143	вот как	4	2
144	образов и	4	2
145	в форме	3	2
146	в нашей	4	2
147	этом отношении	13	2
148	именно в	2	2
149	года и	2	2
150	лишь в	2	2
151	в системе	2	2
152	должны быть	2	2
153	и у	2	2
154	что для	3	2
155	на основе	5	2
156	числе и	2	2
157	с этим	3	2
158	даже и	3	2
159	точки зрения	3	2
160	и ее	4	2
161	но как	3	2
162	далеко не	2	2
163	как он	2	2
164	одном из	3	2
165	в которой	2	2
166	говорит об	2	2
167	в плане	5	2
168	как о	2	2
