N	2gram	Savitsky_P_1	Myshleni
1	в том	9	33
2	том что	4	27
3	точки зрения	3	26
4	то что	4	20
5	в этом	10	19
6	с точки	3	18
7	того что	2	17
8	и в	14	15
9	не только	17	15
10	что в	4	14
11	но и	6	10
12	было бы	6	10
13	для того	3	10
14	мы не	3	10
15	в своем	4	9
16	может быть	5	9
17	не может	4	9
18	что мы	3	9
19	не в	5	8
20	заключается в	3	8
21	если бы	4	8
22	одной стороны	3	7
23	с одной	3	7
24	и не	12	7
25	потому что	3	7
26	как бы	4	7
27	по себе	4	7
28	тот же	3	7
29	в частности	2	6
30	в отношении	10	6
31	с другой	5	6
32	мы должны	4	6
33	но в	9	6
34	и к	4	6
35	это не	3	5
36	по сравнению	2	5
37	то же	9	5
38	во всей	2	5
39	прежде всего	3	4
40	для нас	2	4
41	переход от	2	4
42	все это	2	4
43	в них	2	4
44	а в	4	4
45	и с	2	4
46	в начале	2	4
47	в качестве	9	4
48	как раз	2	4
49	хотя бы	8	4
50	только в	7	4
51	в эту	2	4
52	том числе	2	3
53	в общем	2	3
54	из них	2	3
55	со стороны	2	3
56	в которых	5	3
57	с этим	2	3
58	тем более	2	3
59	но не	3	3
60	тем самым	3	3
61	а не	2	3
62	и это	2	3
63	быть может	6	2
64	и есть	2	2
65	столь же	3	2
66	с с	2	2
67	и как	3	2
68	и мы	2	2
69	в котором	4	2
70	и тем	2	2
71	могут быть	3	2
72	есть нечто	2	2
73	и других	2	2
74	которую мы	2	2
75	должно быть	2	2
76	теперь в	2	2
77	говорить о	2	2
78	а также	4	2
79	отнюдь не	2	2
80	бы ни	2	2
81	стороны и	2	2
82	именно в	2	2
83	наряду с	3	2
84	в его	2	2
85	во всех	2	2
86	к чему	2	2
87	в силу	2	2
88	в себе	3	2
