N	2gram	Losev_Prob_5	Literetu
1	не только	18	24
2	при этом	4	19
3	в качестве	4	17
4	но и	13	17
5	а не	5	16
6	в том	12	16
7	в частности	4	15
8	том что	17	14
9	может быть	7	13
10	в году	5	13
11	и не	12	12
12	в этом	17	12
13	прежде всего	6	11
14	в своем	11	11
15	такого рода	2	10
16	то что	18	10
17	в русской	3	10
18	не в	7	8
19	и в	30	8
20	только в	9	8
21	не менее	5	7
22	я не	2	7
23	в его	12	7
24	как бы	6	7
25	уже не	6	7
26	в себе	4	7
27	как и	7	6
28	и сам	4	6
29	связи с	7	6
30	того что	3	6
31	точки зрения	10	6
32	то есть	21	6
33	с этой	2	5
34	что он	7	5
35	же в	3	5
36	а также	3	5
37	для себя	5	5
38	русской литературе	3	5
39	как в	2	5
40	не может	5	5
41	то же	2	5
42	уже в	2	5
43	в данном	2	5
44	в то	4	5
45	в стихотворении	14	4
46	это не	2	4
47	о себе	2	4
48	в конце	8	4
49	в силу	5	4
50	но не	7	4
51	еще не	3	4
52	еще в	5	4
53	и тем	3	4
54	все же	9	4
55	из них	2	4
56	в своей	22	4
57	данном случае	2	4
58	так и	7	4
59	никогда не	7	4
60	в связи	7	4
61	и его	6	4
62	как раз	5	4
63	в этой	10	4
64	что в	5	3
65	с другой	6	3
66	да и	2	3
67	что его	3	3
68	художественного творчества	8	3
69	в самом	5	3
70	несмотря на	6	3
71	не мог	4	3
72	у него	11	3
73	один из	2	3
74	жизни и	2	3
75	ли не	2	3
76	при всем	2	3
77	по отношению	2	3
78	бы не	3	3
79	а в	6	3
80	таким образом	13	3
81	еще и	4	3
82	тем же	3	3
83	и даже	14	3
84	свое собственное	2	3
85	потому что	13	3
86	во всяком	2	3
87	он и	5	3
88	но в	9	3
89	по своей	2	3
90	также и	12	3
91	далеко не	4	3
92	его в	6	3
93	дело в	2	3
94	в области	2	3
95	в виду	3	3
96	мира в	3	3
97	для них	3	2
98	это уже	2	2
99	по этому	2	2
100	отнюдь не	4	2
101	однако в	3	2
102	по мысли	2	2
103	раз и	2	2
104	и нет	2	2
105	человека и	4	2
106	к тому	2	2
107	тем не	5	2
108	в другом	3	2
109	в нашей	2	2
110	того же	4	2
111	одной стороны	3	2
112	было бы	4	2
113	по поводу	2	2
114	о своем	2	2
115	и самого	3	2
116	и является	2	2
117	всяком случае	2	2
118	в нем	6	2
119	отношению к	2	2
120	не к	2	2
121	то и	2	2
122	и только	2	2
123	человеческого духа	2	2
124	с одной	3	2
125	все эти	2	2
126	самом деле	2	2
127	во втором	2	2
128	что не	2	2
129	бы на	2	2
130	хотя бы	2	2
131	и вполне	4	2
132	с точки	8	2
133	можно было	2	2
134	и то	5	2
135	между тем	2	2
136	нового времени	4	2
137	тем что	2	2
138	является по	2	2
139	как будто	3	2
140	о том	12	2
141	здесь как	2	2
