N	2gram	Tiupa_Lite_3	Mirosoze
1	и в	16	46
2	в нем	2	22
3	может быть	12	21
4	в этом	14	20
5	никогда не	4	18
6	для него	2	18
7	и не	22	18
8	не только	14	18
9	но и	14	15
10	не может	8	15
11	человека в	2	14
12	как и	5	13
13	а не	12	13
14	прежде всего	3	12
15	потому что	3	12
16	у нас	2	11
17	но в	3	10
18	в себе	6	10
19	не в	10	9
20	не знает	2	9
21	как бы	8	8
22	отношение к	2	8
23	в мире	16	7
24	в этой	8	7
25	что он	5	7
26	и к	3	7
27	и потому	2	7
28	как в	5	7
29	и для	4	7
30	вопрос о	2	6
31	так же	2	6
32	того что	9	6
33	жизни и	3	6
34	не могу	2	6
35	то же	9	5
36	я не	2	5
37	бы и	3	5
38	и вот	2	5
39	в самом	3	5
40	один из	2	5
41	человеческого духа	3	5
42	это не	5	5
43	в конце	2	5
44	к тому	6	5
45	то что	12	5
46	в своей	7	5
47	для того	2	5
48	и его	6	5
49	в его	6	5
50	что в	2	4
51	до конца	4	4
52	что у	2	4
53	свободы и	2	4
54	с его	6	4
55	в жизни	8	4
56	в свою	2	4
57	том что	8	4
58	что и	2	4
59	себя в	7	4
60	так и	9	4
61	уже не	3	4
62	того чтобы	2	4
63	себя и	2	3
64	в том	12	3
65	и перед	2	3
66	жизни в	4	3
67	в своих	2	3
68	и на	2	3
69	и с	2	3
70	по своей	3	3
71	о том	6	3
72	его в	2	3
73	если бы	2	3
74	и тогда	2	3
75	в глубине	2	3
76	на смену	3	3
77	той же	3	3
78	тем что	2	3
79	он в	2	3
80	только в	7	3
81	жизни не	2	2
82	место в	4	2
83	а лишь	2	2
84	быть может	2	2
85	не всегда	2	2
86	или иной	2	2
87	все время	3	2
88	я и	10	2
89	как у	4	2
90	и если	4	2
91	на его	3	2
92	такого рода	10	2
93	жизни а	2	2
94	хотя и	4	2
95	отношением к	2	2
96	по отношению	4	2
97	отношения к	3	2
98	лишь в	5	2
99	должно быть	4	2
100	а в	5	2
101	к себе	8	2
102	в основе	5	2
103	точки зрения	7	2
104	не случайно	3	2
105	между тем	3	2
106	не означает	2	2
107	личности в	3	2
108	по себе	2	2
109	то в	3	2
110	связи с	2	2
111	во всех	2	2
112	еще в	3	2
113	оно не	2	2
114	отношению к	4	2
115	вместе с	5	2
116	ее в	2	2
117	другого в	4	2
118	но с	2	2
119	что не	2	2
120	тому как	3	2
121	не надо	2	2
122	подобно тому	2	2
123	сознания и	2	2
124	как будто	4	2
