N	2gram	Medvedev_U_1	Sovremen
1	не может	7	17
2	может быть	6	12
3	таким образом	2	11
4	мы не	2	9
5	в этом	7	7
6	и в	14	7
7	и не	8	6
8	как и	3	6
9	ничего не	2	6
10	прежде всего	8	5
11	это не	3	4
12	не только	10	4
13	в том	2	4
14	в системе	2	3
15	все же	3	3
16	при таком	2	3
17	все это	5	3
18	в конце	2	3
19	то же	5	3
20	мы получаем	2	3
21	а не	10	3
22	у нас	3	3
23	не в	2	3
24	в этой	4	3
25	было бы	3	3
26	и т.д	3	3
27	в себе	2	3
28	в области	3	3
29	что она	2	3
30	но в	3	3
31	не могут	2	2
32	в некоторых	2	2
33	что все	2	2
34	самом деле	2	2
35	что такое	4	2
36	то ни	3	2
37	могут быть	2	2
38	же самое	2	2
39	в самом	2	2
40	в его	2	2
