N	2gram	Tiupa_Vved_1	Vvedenie
1	и в	13	32
2	в том	10	31
3	в этом	21	30
4	может быть	18	26
5	том что	7	26
6	не только	20	22
7	таким образом	4	19
8	также и	4	18
9	то что	6	16
10	потому что	5	15
11	но также	2	14
12	не может	7	14
13	в самом	2	13
14	в нем	5	13
15	о том	5	13
16	со стороны	5	13
17	того что	6	12
18	и не	12	12
19	представляет собой	15	12
20	в его	4	12
21	только в	6	12
22	как мы	3	11
23	что такое	18	11
24	в данном	13	11
25	что в	3	10
26	но в	6	9
27	по себе	2	9
28	то же	5	9
29	в той	4	9
30	не менее	4	8
31	с другой	5	8
32	это не	6	8
33	тем не	3	8
34	не в	6	8
35	прежде всего	7	7
36	о котором	2	7
37	но не	5	7
38	было бы	4	7
39	все же	6	7
40	дело с	2	7
41	самом деле	3	7
42	можно было	2	7
43	из этих	3	6
44	же время	3	6
45	том чтобы	2	6
46	один из	3	6
47	но и	19	6
48	в то	4	6
49	как он	2	6
50	представить себе	2	6
51	как и	11	6
52	в качестве	8	6
53	и его	5	6
54	тем что	2	6
55	в какой	4	5
56	как бы	4	5
57	и тем	2	5
58	в целом	3	5
59	данном случае	6	5
60	другой стороны	2	5
61	одним из	5	5
62	мере в	2	5
63	в них	2	5
64	той мере	2	5
65	об этом	4	5
66	по своему	2	5
67	а не	15	5
68	могут быть	4	5
69	представляют собой	3	5
70	язык как	2	4
71	времени и	7	4
72	как о	2	4
73	одной стороны	5	4
74	о чем	2	4
75	в котором	8	4
76	в тексте	10	4
77	по отношению	7	4
78	этом отношении	4	4
79	с одной	5	4
80	не имеет	2	4
81	а в	6	4
82	в первом	2	4
83	мы имеем	5	4
84	еще не	7	4
85	отношению к	7	4
86	в своей	5	4
87	внимание на	3	4
88	как раз	2	4
89	это только	2	4
90	уже не	5	4
91	и для	3	4
92	или иначе	2	4
93	в себе	5	4
94	и т.д	5	4
95	зависит от	2	3
96	в частности	13	3
97	в этих	3	3
98	бы и	4	3
99	можно сказать	4	3
100	к тому	6	3
101	до конца	3	3
102	при этом	26	3
103	такого рода	16	3
104	хотя и	7	3
105	в ней	4	3
106	не вполне	3	3
107	мы видели	2	3
108	отношение к	2	3
109	в своем	5	3
110	и на	3	3
111	в результате	3	3
112	говорить о	2	3
113	в начале	3	3
114	если бы	7	3
115	однако в	4	3
116	не как	2	3
117	к этому	2	3
118	и к	2	3
119	своей природе	2	3
120	текста и	3	3
121	а также	8	3
122	как оно	2	3
123	что и	2	3
124	своего рода	10	3
125	что же	3	3
126	в текстах	2	3
127	может служить	4	3
128	времени в	3	3
129	в центре	2	3
130	как будто	4	3
131	в области	3	3
132	должна быть	2	2
133	никогда не	4	2
134	или иной	3	2
135	но это	3	2
136	соответствии с	6	2
137	истории в	5	2
138	не к	4	2
139	не было	2	2
140	о них	3	2
141	во втором	2	2
142	этих случаях	2	2
143	возникает и	2	2
144	не столько	4	2
145	не следует	3	2
146	и с	2	2
147	он и	2	2
148	той или	3	2
149	бы в	3	2
150	так и	8	2
151	могло бы	3	2
152	не существует	2	2
153	для них	3	2
154	состоит в	10	2
155	большей части	3	2
156	не с	3	2
157	в соответствии	6	2
158	во всех	2	2
159	что мы	2	2
160	жизни и	7	2
161	в этот	2	2
162	быть и	2	2
163	тогда как	10	2
164	о которой	2	2
165	котором он	2	2
166	мы не	4	2
167	тому как	2	2
168	в силу	2	2
169	мы можем	2	2
170	подобно тому	2	2
171	будто бы	3	2
172	здесь не	2	2
173	она была	2	2
174	одна из	4	2
175	нашего времени	2	2
