N	2gram	Losev_Vesc_1	Formalny
1	т е	55	34
2	и в	21	24
3	в его	2	23
4	прежде всего	9	22
5	и не	29	20
6	так и	3	18
7	и пр	6	17
8	не может	17	16
9	точки зрения	5	16
10	в этом	4	15
11	в нем	2	14
12	может быть	16	14
13	с точки	3	13
14	таким образом	8	13
15	и т	19	12
16	в своем	6	11
17	не менее	3	11
18	как и	8	11
19	должно быть	6	11
20	в своей	5	11
21	вовсе не	10	10
22	и ее	18	10
23	и их	7	10
24	то же	6	10
25	в ней	12	10
26	а не	19	10
27	и его	2	10
28	и потому	5	9
29	все это	5	9
30	социальной действительности	4	9
31	в то	3	9
32	в ее	7	8
33	в свою	4	8
34	то что	27	8
35	т д	19	8
36	не в	5	8
37	и с	8	8
38	должна быть	4	7
39	и от	3	7
40	не только	36	7
41	с ее	6	7
42	жизни и	2	7
43	но и	18	7
44	отнюдь не	5	6
45	и все	5	6
46	и здесь	4	6
47	было бы	14	6
48	в том	8	6
49	в этой	3	6
50	самом деле	4	6
51	свою очередь	4	6
52	она не	4	6
53	еще не	8	6
54	как бы	12	6
55	а в	4	6
56	все эти	3	6
57	как это	2	6
58	хотя бы	6	5
59	должен быть	2	5
60	по себе	13	5
61	бы ни	2	5
62	у нас	7	5
63	только на	3	5
64	во всех	2	5
65	в самом	9	5
66	со стороны	5	5
67	как мы	4	5
68	того что	8	5
69	должны быть	4	5
70	с другой	6	5
71	но в	5	5
72	независимо от	5	4
73	никогда не	2	4
74	стороны и	2	4
75	с другими	8	4
76	для этого	4	4
77	одной стороны	3	4
78	и может	2	4
79	если бы	5	4
80	всяком случае	2	4
81	оно не	3	4
82	что в	9	4
83	с одной	3	4
84	только и	2	4
85	не из	2	4
86	с этой	4	4
87	во всяком	3	4
88	но не	5	3
89	в отношении	4	3
90	вещей и	4	3
91	она должна	2	3
92	перестает быть	3	3
93	то ни	4	3
94	в жизни	3	3
95	бы то	4	3
96	ясно что	8	3
97	к тому	3	3
98	для него	4	3
99	это и	6	3
100	и как	8	3
101	но это	10	3
102	ни на	3	3
103	действительности и	5	3
104	но для	2	3
105	один из	3	3
106	все же	4	3
107	каждой из	2	3
108	отличается от	7	3
109	в россии	2	3
110	сводится к	2	3
111	мы не	6	3
112	и даже	6	3
113	между ними	3	3
114	его в	2	3
115	со всем	5	3
116	от всех	4	3
117	ничем не	3	3
118	в основе	3	3
119	как она	4	3
120	в себе	14	3
121	как к	4	3
122	со всей	2	3
123	бы в	5	3
124	и чем	3	3
125	сама по	3	2
126	нисколько не	4	2
127	замечаем что	3	2
128	с тем	5	2
129	его и	2	2
130	сами по	3	2
131	это не	5	2
132	она является	3	2
133	с этим	3	2
134	в одном	2	2
135	она есть	8	2
136	а только	3	2
137	ни было	4	2
138	в самой	2	2
139	уже не	9	2
140	по существу	2	2
141	от чего	2	2
142	отличии от	2	2
143	одна из	5	2
144	если мы	8	2
145	не сможет	2	2
146	только в	14	2
147	в действительности	7	2
148	и если	2	2
149	действительности в	2	2
150	общения и	2	2
151	от того	3	2
152	к ней	2	2
153	как раз	9	2
154	на их	2	2
155	только не	2	2
156	была бы	2	2
157	однако не	2	2
158	не с	7	2
159	что и	3	2
160	не есть	49	2
161	действительности как	2	2
162	для всякого	2	2
163	от нее	2	2
164	она была	2	2
165	уже предполагает	2	2
166	ее к	2	2
167	и вот	2	2
168	применении к	2	2
169	и что	15	2
170	действительности не	2	2
171	есть лишь	2	2
172	или иначе	4	2
173	в результате	3	2
174	от этого	2	2
175	чем же	3	2
176	даже и	4	2
177	как ее	2	2
178	могла бы	3	2
179	ничего не	3	2
180	но ведь	2	2
181	и это	14	2
182	к действительности	2	2
183	с ним	8	2
184	как с	4	2
185	что такое	12	2
