N	2gram	Tiupa_Teor_1	Russkaja
1	не может	4	22
2	и не	13	19
3	в том	16	17
4	в этом	8	17
5	и в	18	14
6	то что	3	13
7	самим собой	3	12
8	таким образом	3	11
9	то же	7	11
10	точки зрения	9	11
11	же время	5	10
12	но и	9	10
13	в то	6	10
14	том что	9	9
15	не только	16	9
16	в себе	9	9
17	с точки	3	9
18	может быть	17	9
19	прежде всего	2	8
20	ни к	3	7
21	отнюдь не	3	7
22	к тому	2	7
23	не будет	2	7
24	в данном	8	7
25	если бы	3	6
26	и к	3	6
27	для него	2	6
28	если в	2	6
29	все это	2	6
30	в своем	4	6
31	и для	2	6
32	между собой	3	5
33	жизни в	2	5
34	он должен	2	5
35	или иной	4	5
36	при этом	12	5
37	в своей	6	5
38	он не	3	5
39	никогда не	4	5
40	в нем	4	5
41	а в	13	5
42	потому что	3	5
43	только в	6	5
44	между тем	5	5
45	но не	9	4
46	не могут	2	4
47	что в	9	4
48	в мире	19	4
49	как и	4	4
50	более или	2	4
51	как бы	5	4
52	себя в	6	4
53	вместе с	2	4
54	со стороны	2	4
55	или менее	2	4
56	в их	2	4
57	приводит к	5	4
58	не в	7	4
59	и то	2	4
60	в этой	3	4
61	в его	6	4
62	и т.д	3	4
63	его в	2	4
64	именно в	3	3
65	в большинстве	2	3
66	из этих	3	3
67	в конце	2	3
68	что может	2	3
69	и как	2	3
70	в другом	3	3
71	то в	2	3
72	лишь в	6	3
73	в качестве	24	3
74	еще не	4	3
75	в самом	4	3
76	одной из	2	3
77	и потому	2	3
78	что и	2	3
79	данном случае	5	3
80	сводится к	5	3
81	того что	4	3
82	и по	2	3
83	или в	3	3
84	говорить о	3	3
85	в порядке	3	2
86	место в	5	2
87	а с	3	2
88	в частности	16	2
89	состоит в	17	2
90	или иного	3	2
91	ни в	2	2
92	уже не	4	2
93	отличается от	2	2
94	и о	4	2
95	и является	2	2
96	к чему	2	2
97	отношении к	2	2
98	на почве	4	2
99	и тем	3	2
100	быть и	2	2
101	но она	2	2
102	ее в	2	2
103	– не	4	2
104	тому что	2	2
105	по отношению	4	2
106	тогда как	15	2
107	отношения к	2	2
108	все эти	2	2
109	и вот	3	2
110	и что	3	2
111	тем самым	4	2
112	а не	9	2
113	в единое	3	2
114	и даже	2	2
115	так же	2	2
116	их в	3	2
117	на себя	2	2
118	говоря о	3	2
119	того или	3	2
120	как будто	2	2
121	в этих	3	2
122	в области	4	2
123	но в	9	2
