N	2gram	Bakhtin_KF_1	VerxiiNi
1	и в	24	26
2	с тем	2	18
3	в этом	14	15
4	точки зрения	12	13
5	как бы	9	12
6	в том	6	11
7	может быть	45	10
8	не только	5	10
9	что в	4	9
10	но и	9	9
11	в области	2	9
12	но не	12	8
13	и не	26	8
14	том что	4	7
15	но все	5	7
16	к нему	12	7
17	то что	7	7
18	а с	2	7
19	потому что	2	7
20	но в	5	7
21	и потому	2	6
22	что и	7	6
23	все же	5	6
24	так и	2	6
25	все это	10	6
26	все эти	10	6
27	с точки	9	6
28	в себе	21	6
29	и т.д	2	6
30	о том	3	6
31	отношение к	5	5
32	в его	40	5
33	никогда не	5	5
34	лишь в	8	5
35	а не	17	5
36	того чтобы	2	5
37	для того	3	5
38	не имеет	5	5
39	и для	9	5
40	в мире	6	5
41	что он	2	4
42	в нем	28	4
43	в смысле	6	4
44	из которых	2	4
45	в котором	24	4
46	не может	27	4
47	и только	6	4
48	а в	4	4
49	то же	5	4
50	в виде	2	4
51	он не	6	4
52	в то	3	4
53	только в	16	4
54	в этой	2	4
55	не менее	3	3
56	что это	3	3
57	если бы	8	3
58	хотя бы	4	3
59	к этому	2	3
60	ясно что	3	3
61	для него	8	3
62	и как	2	3
63	культура в	2	3
64	в своем	16	3
65	в качестве	2	3
66	к ним	4	3
67	тем не	2	3
68	отношению к	22	3
69	при этом	4	3
70	культуры и	5	3
71	уже не	7	3
72	того что	3	3
73	в одном	4	3
74	или иное	2	2
75	ни было	4	2
76	именно в	5	2
77	из себя	8	2
78	не как	4	2
79	и мир	2	2
80	тогда когда	3	2
81	прежде всего	2	2
82	в свою	3	2
83	или иной	2	2
84	ему в	2	2
85	и здесь	7	2
86	то ни	2	2
87	по своему	3	2
88	культурные ценности	3	2
89	же время	2	2
90	ли это	2	2
91	еще не	4	2
92	со всеми	2	2
93	конечно не	7	2
94	выход из	2	2
95	той или	3	2
96	один из	2	2
97	бы то	2	2
98	жизни и	8	2
99	то или	2	2
100	во всех	11	2
101	в процессе	2	2
102	быть и	3	2
103	для этого	2	2
104	ни у	2	2
105	не было	8	2
106	если не	2	2
107	мы имеем	5	2
108	ко всему	5	2
109	и на	3	2
110	людей и	2	2
111	не в	12	2
112	ничего общего	2	2
113	этот факт	2	2
114	и все	7	2
115	и это	12	2
116	не потому	2	2
117	и действительно	6	2
118	между тем	4	2
119	в виду	3	2
120	из него	3	2
