N	3gram	Ircho_Kome_3	Vvedenie
1	для того чтобы	6	20
2	о том что	4	12
3	в том что	9	12
4	тем не менее	3	8
5	то же время	4	6
6	в самом деле	6	6
7	в то же	4	6
8	до сих пор	9	6
9	и т п	3	5
10	с другой стороны	2	5
11	т е в	2	4
12	с одной стороны	3	4
13	по сравнению с	2	4
14	в этом случае	2	4
15	в этом отношении	2	4
16	во всяком случае	3	4
17	по отношению к	3	4
18	так или иначе	2	4
19	и в самом	3	3
20	вместе с тем	3	3
21	но все же	2	3
22	в конце концов	2	2
23	с точки зрения	3	2
24	то же самое	3	2
25	в связи с	3	2
26	состоит в том	2	2
