N	3gram	Voloshinov_2	Vvedenie
1	для того чтобы	6	20
2	о том что	3	12
3	в том что	6	12
4	не может быть	10	8
5	то же время	8	6
6	в самом деле	5	6
7	в то же	8	6
8	до сих пор	3	6
9	по крайней мере	2	4
10	с одной стороны	3	4
11	во всяком случае	2	4
12	по отношению к	8	4
13	одной стороны и	2	3
14	в собственном смысле	2	3
15	как мы видели	3	3
16	но в то	5	3
17	смысле этого слова	4	2
18	той или иной	4	2
19	на этой почве	5	2
20	с точки зрения	13	2
21	то же самое	5	2
22	языка и его	3	2
23	в связи с	7	2
24	может быть и	5	2
25	как мы уже	3	2
26	того чтобы понять	2	2
27	мы уже знаем	2	2
