N	2gram	Bakhtin_Pr_1	Russkaja
1	не может	12	22
2	и не	31	19
3	в том	8	17
4	в этом	22	17
5	и в	29	14
6	друг с	2	14
7	то что	15	13
8	таким образом	12	11
9	то же	14	11
10	точки зрения	19	11
11	же время	9	10
12	но и	14	10
13	в то	10	10
14	том что	7	9
15	не только	15	9
16	в себе	7	9
17	с точки	13	9
18	может быть	24	9
19	во всяком	5	9
20	прежде всего	7	8
21	как на	3	8
22	самом деле	6	7
23	в данном	2	7
24	мы должны	3	7
25	и с	4	7
26	если бы	9	6
27	на самом	5	6
28	что он	8	6
29	и к	2	6
30	для него	18	6
31	всяком случае	3	6
32	все это	6	6
33	в своем	8	6
34	и для	4	6
35	в своих	3	6
36	в россии	2	6
37	себя и	2	5
38	хотя бы	2	5
39	вопрос о	2	5
40	и на	7	5
41	при этом	2	5
42	до сих	2	5
43	было бы	5	5
44	конечно не	2	5
45	в своей	8	5
46	он не	5	5
47	никогда не	3	5
48	в нем	19	5
49	сих пор	2	5
50	по существу	3	5
51	а потому	2	5
52	из которых	2	5
53	а в	7	5
54	потому что	8	5
55	только в	10	5
56	между тем	5	5
57	а лишь	2	4
58	но не	9	4
59	не могут	6	4
60	что в	8	4
61	то ни	2	4
62	в мире	6	4
63	как и	12	4
64	все что	3	4
65	как бы	19	4
66	себе и	3	4
67	все же	9	4
68	бы то	2	4
69	жизни и	2	4
70	от того	4	4
71	что же	4	4
72	в их	3	4
73	приводит к	3	4
74	точку зрения	6	4
75	не в	7	4
76	можно было	2	4
77	в этой	4	4
78	в его	24	4
79	его в	6	4
80	так как	6	4
81	он сам	3	3
82	именно в	5	3
83	в большинстве	2	3
84	в конце	6	3
85	что может	2	3
86	таким же	3	3
87	всех этих	2	3
88	и как	7	3
89	так чтобы	4	3
90	должно быть	4	3
91	ибо в	2	3
92	лучшем случае	2	3
93	еще не	5	3
94	несмотря на	6	3
95	в самом	10	3
96	и потому	6	3
97	точке зрения	3	3
98	что и	4	3
99	не есть	2	3
100	и т	4	3
101	данном случае	2	3
102	не было	4	3
103	что оно	2	3
104	во что	2	3
105	друг друга	3	3
106	в лучшем	2	3
107	тем что	4	3
108	и во	2	3
109	связи с	2	3
110	конце концов	5	3
111	одна из	3	3
112	в сознании	2	3
113	в мировоззрении	3	2
114	нисколько не	2	2
115	должна быть	5	2
116	и есть	2	2
117	у него	5	2
118	друг другу	2	2
119	были бы	4	2
120	его и	2	2
121	и от	2	2
122	с этим	2	2
123	этот вопрос	2	2
124	к себе	2	2
125	по себе	8	2
126	ни в	3	2
127	уже не	13	2
128	следовательно и	2	2
129	так что	2	2
130	но это	4	2
131	ее он	2	2
132	является не	2	2
133	именно на	2	2
134	есть и	2	2
135	отличается от	3	2
136	она не	7	2
137	и о	5	2
138	в ней	2	2
139	в котором	2	2
140	отношении к	3	2
141	на почве	3	2
142	если же	3	2
143	для себя	2	2
144	благодаря этому	2	2
145	чтобы в	2	2
146	тому что	3	2
147	по отношению	8	2
148	отношения к	3	2
149	все эти	9	2
150	и что	2	2
151	а не	22	2
152	и наконец	4	2
153	и даже	2	2
154	к нему	6	2
155	так же	6	2
156	в результате	4	2
157	их в	4	2
158	не о	2	2
159	на себя	2	2
160	мы уже	2	2
161	и человек	2	2
162	как будто	3	2
163	большинстве случаев	2	2
164	с ним	5	2
165	себя как	2	2
166	но в	7	2
