N	2gram	Tiupa_Anal_1	Sotsiolo
1	истории литературы	4	10
2	в том	27	5
3	в этом	13	5
4	не в	14	3
5	о литературе	3	3
6	в его	13	3
7	более чем	4	3
8	и в	18	3
9	не только	15	3
10	по отношению	6	2
11	еще не	3	2
12	было бы	2	2
13	как будто	3	2
14	она может	3	2
15	только в	6	2
16	таким образом	3	2
17	том что	12	2
18	далеко не	6	2
19	в литературоведении	2	2
20	то же	9	2
21	отношению к	5	2
22	то что	6	2
23	тем более	2	2
24	может быть	29	2
25	за пределы	2	2
26	в частности	19	2
27	но и	17	2
28	дело не	3	2
29	и заключается	2	2
30	по природе	3	2
31	как бы	5	2
32	что в	5	2
