N	2gram	Potebnia_M_1	EvropaiC
1	таким образом	13	32
2	в том	26	31
3	и в	39	24
4	том что	16	20
5	не может	22	18
6	то что	10	17
7	может быть	27	15
8	все же	6	15
9	точки зрения	8	13
10	в своем	3	12
11	в этом	15	12
12	между тем	5	11
13	с этим	7	11
14	отношению к	13	10
15	как бы	6	10
16	из себя	5	10
17	по отношению	13	10
18	все что	2	10
19	во всех	5	10
20	так и	13	10
21	на то	2	9
22	при этом	6	9
23	как и	9	9
24	того же	3	9
25	что в	22	9
26	не в	15	8
27	в самом	3	8
28	так же	5	8
29	если бы	14	8
30	и все	3	8
31	с точки	3	8
32	не менее	6	7
33	для этого	2	7
34	к тому	4	7
35	но и	20	7
36	и не	18	7
37	и что	10	7
38	из этих	4	7
39	о котором	3	7
40	о том	2	7
41	о которых	2	7
42	того чтобы	2	7
43	для того	3	7
44	из этого	2	7
45	а между	3	7
46	должна быть	3	6
47	все они	2	6
48	с другой	7	6
49	так что	16	6
50	в этой	3	6
51	несмотря на	5	6
52	друг от	2	6
53	от друга	2	6
54	того что	8	6
55	как на	3	6
56	так как	21	6
57	с ним	3	6
58	в сознании	3	6
59	и при	3	6
60	еще не	6	6
61	что и	6	6
62	тогда как	2	6
63	в мире	3	6
64	мы можем	2	6
65	только в	25	6
66	вместе с	8	6
67	что это	3	5
68	и без	3	5
69	столь же	3	5
70	и от	3	5
71	на все	2	5
72	что все	3	5
73	в целом	2	5
74	и их	3	5
75	другой стороны	5	5
76	и с	3	5
77	потому что	52	5
78	между собою	6	5
79	но в	9	5
80	в то	4	5
81	что при	5	5
82	и если	2	5
83	в его	5	5
84	не только	21	5
85	не будет	2	5
86	и для	5	5
87	но все	2	5
88	в себе	13	5
89	как будто	2	5
90	в которой	2	5
91	не могут	4	4
92	никогда не	4	4
93	самого себя	4	4
94	из того	2	4
95	тем не	6	4
96	что как	3	4
97	одним из	2	4
98	хотя и	3	4
99	в их	2	4
100	а потому	10	4
101	не так	3	4
102	должно быть	7	4
103	и то	3	4
104	в состоянии	3	4
105	связи с	3	4
106	мы должны	3	4
107	том же	2	4
108	он не	3	4
109	не есть	10	4
110	то же	6	4
111	в течение	2	4
112	если мы	3	4
113	в народе	2	4
114	хотя бы	2	4
115	в таком	5	4
116	мы будем	2	3
117	с одной	3	3
118	в этих	7	3
119	каждое поколение	2	3
120	с в	5	3
121	одного и	2	3
122	вопрос о	4	3
123	для нас	9	3
124	очевидно что	3	3
125	указывают на	2	3
126	в нем	20	3
127	различия в	2	3
128	от того	4	3
129	в разных	2	3
130	то ни	3	3
131	что оно	2	3
132	и других	4	3
133	заключается в	3	3
134	и по	6	3
135	а в	5	3
136	это не	7	3
137	в начале	2	3
138	в истории	7	3
139	что мы	4	3
140	при помощи	2	3
141	и потому	5	3
142	бы в	4	3
143	с тем	5	3
144	прежде всего	4	3
145	в жизни	3	3
146	таким же	2	3
147	и того	2	3
148	у нас	2	3
149	во всем	4	3
150	от него	4	3
151	чем в	2	3
152	и может	2	3
153	что если	3	3
154	только что	2	3
155	должны быть	7	3
156	ко всем	2	3
157	что по	3	3
158	которые не	2	3
159	тем более	2	3
160	и вообще	3	3
161	ничего общего	2	3
162	и это	3	3
163	свою очередь	4	2
164	но на	2	2
165	независимо от	6	2
166	тому что	3	2
167	с этой	2	2
168	что на	6	2
169	как мы	2	2
170	все в	2	2
171	для него	4	2
172	же время	4	2
173	в свою	4	2
174	одной стороны	3	2
175	к ним	2	2
176	в ней	7	2
177	но если	2	2
178	в виду	2	2
179	с ее	2	2
180	мы видели	4	2
181	бы то	2	2
182	по его	7	2
183	образом и	2	2
184	заключает в	2	2
185	то и	7	2
186	имеет место	2	2
187	что для	3	2
188	вытекают из	3	2
189	в самой	3	2
190	в одно	2	2
191	ни было	2	2
192	во втором	5	2
193	над всеми	2	2
194	в глазах	3	2
195	не следует	5	2
196	одно из	3	2
197	только при	2	2
198	но как	3	2
199	не было	4	2
200	более как	3	2
201	все то	2	2
202	в один	2	2
203	во всяком	3	2
204	то есть	42	2
205	том и	2	2
206	и более	2	2
207	только не	2	2
208	при таком	4	2
209	от нее	6	2
210	в них	3	2
211	он должен	2	2
212	тогда когда	9	2
213	представить себе	3	2
214	вовсе не	5	2
215	только тогда	5	2
216	то в	5	2
217	что до	2	2
218	но не	8	2
219	только то	2	2
220	она не	3	2
221	было бы	12	2
222	жизни и	2	2
223	на себе	2	2
224	никто не	3	2
225	в сущности	2	2
226	между прочим	2	2
227	во внимание	3	2
228	тем как	3	2
229	на него	3	2
230	что же	2	2
231	из одного	3	2
232	но с	2	2
233	одной и	3	2
234	тем самым	4	2
235	не более	4	2
236	этот вопрос	2	2
237	если же	5	2
238	есть в	2	2
239	и только	2	2
240	из него	2	2
