N	2gram	Tiupa_Narr_1	KulturaY
1	и в	19	23
2	точки зрения	10	23
3	в том	18	22
4	не только	32	17
5	было бы	4	16
6	в этом	17	16
7	с точки	2	16
8	в области	2	14
9	может быть	25	14
10	самом деле	2	14
11	что в	3	13
12	не менее	3	12
13	том что	14	11
14	а не	12	11
15	в его	9	11
16	можно было	2	11
17	и не	20	10
18	прежде всего	4	9
19	тем не	3	9
20	еще не	7	9
21	хотя бы	4	9
22	уже не	5	8
23	с другой	8	7
24	или иной	5	7
25	те же	4	7
26	в данном	5	7
27	сказать что	4	7
28	все эти	2	7
29	как это	6	7
30	по себе	5	6
31	что он	6	6
32	в силу	4	6
33	при этом	9	6
34	и тем	4	6
35	так и	9	6
36	не может	10	6
37	то же	4	6
38	могут быть	3	6
39	говорить о	2	6
40	связи с	4	6
41	только в	4	6
42	о том	6	6
43	ничего не	2	6
44	в рамках	12	5
45	независимо от	2	5
46	как и	7	5
47	не в	14	5
48	совершенно не	2	5
49	хотя и	3	5
50	как бы	4	5
51	все же	7	5
52	в связи	2	5
53	как мы	3	5
54	а в	11	5
55	тем более	2	5
56	тем что	3	5
57	той или	4	5
58	из этих	3	5
59	далеко не	5	5
60	в первом	3	5
61	один из	3	4
62	этого слова	2	4
63	а также	7	4
64	одной стороны	7	4
65	не случайно	2	4
66	столь же	3	4
67	в сущности	3	4
68	в ее	3	4
69	точка зрения	6	4
70	то что	11	4
71	данном случае	4	4
72	как в	7	4
73	как раз	2	4
74	в своем	2	4
75	не было	2	4
76	с одной	7	4
77	в той	6	4
78	тем самым	6	4
79	что не	4	4
80	в таком	2	4
81	не столько	4	4
82	между тем	3	4
83	уже в	3	3
84	что это	3	3
85	отнюдь не	5	3
86	это не	2	3
87	должна быть	2	3
88	именно в	6	3
89	или иного	2	3
90	к тому	7	3
91	что на	2	3
92	ни в	3	3
93	но как	2	3
94	по существу	2	3
95	это и	3	3
96	то в	6	3
97	что именно	2	3
98	но не	5	3
99	в какой	2	3
100	он не	3	3
101	речь идет	4	3
102	не есть	3	3
103	отношение к	2	3
104	зрения на	2	3
105	время в	2	3
106	но и	23	3
107	на него	3	3
108	а именно	3	3
109	по отношению	7	3
110	другой стороны	4	3
111	тому же	5	3
112	а с	3	3
113	они не	2	3
114	в ней	3	3
115	не имеет	2	3
116	и с	4	3
117	в результате	2	3
118	в то	3	3
119	и только	2	3
120	она не	2	3
121	в структуре	2	3
122	того или	2	3
123	бы не	2	3
124	когда мы	2	3
125	том числе	6	2
126	или иное	2	2
127	в известном	2	2
128	но все	4	2
129	о чем	2	2
130	в частности	14	2
131	на том	3	2
132	точку зрения	4	2
133	может оказаться	2	2
134	первом случае	2	2
135	не как	2	2
136	совершенно иной	2	2
137	можно сказать	5	2
138	было как	4	2
139	точек зрения	2	2
140	состоит в	13	2
141	известном смысле	2	2
142	и как	5	2
143	что они	3	2
144	более или	2	2
145	и тот	2	2
146	в качестве	21	2
147	мог бы	3	2
148	к другому	2	2
149	иначе говоря	6	2
150	не о	3	2
151	все те	4	2
152	однако в	2	2
153	его в	2	2
154	не все	5	2
155	не с	3	2
156	отношению к	6	2
157	в пределах	2	2
158	себя внимание	3	2
159	в область	2	2
160	своего рода	12	2
161	когда он	3	2
162	или менее	2	2
163	надо полагать	2	2
164	отличается от	4	2
165	языка и	2	2
166	в отличие	5	2
167	как к	2	2
168	в особенности	4	2
169	в двух	2	2
170	к другой	2	2
171	то или	3	2
172	так же	2	2
173	на себя	3	2
174	только о	2	2
175	на протяжении	6	2
176	что мы	2	2
177	тому как	2	2
178	таком случае	2	2
179	здесь не	4	2
180	не то	2	2
181	она может	2	2
182	отличие от	5	2
183	мы имеем	2	2
184	но в	6	2
