N	2gram	Bakhtin_fo_2	FransuaR
1	и в	46	41
2	то есть	10	20
3	таким образом	3	19
4	у рабле	18	18
5	в этом	22	15
6	и все	6	14
7	как и	8	14
8	в этой	2	13
9	то же	8	13
10	все эти	5	13
11	мы уже	9	12
12	в его	8	12
13	прежде всего	14	11
14	в том	10	11
15	как мы	6	11
16	в себе	4	11
17	так и	7	10
18	все это	6	10
19	в то	5	10
20	в качестве	3	9
21	и его	12	9
22	не в	9	9
23	же время	4	9
24	но и	9	9
25	и т.п	2	9
26	в своем	5	9
27	что в	5	9
28	рабле и	5	9
29	в конце	2	8
30	и от	2	8
31	по существу	5	8
32	то что	7	8
33	но в	10	8
34	в них	7	7
35	вовсе не	13	7
36	человеческого тела	12	7
37	в романе	13	7
38	как бы	10	7
39	в нем	5	7
40	и не	9	7
41	в эпоху	4	7
42	у него	9	6
43	романе рабле	5	6
44	все они	3	6
45	это не	2	6
46	мы видим	2	6
47	для него	3	6
48	и до	2	6
49	с помощью	3	6
50	только в	11	6
51	о том	4	6
52	уже в	4	5
53	рабле не	5	5
54	рабле в	11	5
55	к этому	3	5
56	не только	11	5
57	и к	2	5
58	на этом	2	5
59	вместе с	9	5
60	что и	3	5
61	мы видели	2	5
62	эпизоде с	4	5
63	всего в	3	5
64	как в	4	5
65	елисейских полях	2	5
66	в елисейских	2	5
67	и у	5	5
68	а в	3	5
69	и для	9	5
70	так же	2	5
71	божественной бутылки	2	5
72	точки зрения	10	5
73	рабле но	2	5
74	и это	2	5
75	в эпизоде	7	5
76	потому что	8	5
77	на земле	2	4
78	место в	4	4
79	том числе	3	4
80	хотя и	3	4
81	но он	2	4
82	в образе	4	4
83	iii гл	4	4
84	кн iii	4	4
85	том что	4	4
86	в средние	3	4
87	все что	2	4
88	было бы	2	4
89	картины мира	2	4
90	средние века	3	4
91	в сущности	2	4
92	может быть	7	4
93	он не	5	4
94	в виду	3	4
95	уже говорили	4	4
96	о загробном	2	4
97	целый ряд	3	4
98	влияние на	2	4
99	и наконец	6	4
100	мира и	9	4
101	должно быть	5	4
102	при виде	3	4
103	рядом с	2	4
104	и на	7	4
105	та же	3	4
106	и с	6	4
107	романа рабле	5	4
108	одном из	2	4
109	мира в	3	4
110	из самых	2	3
111	связанных с	3	3
112	и другие	3	3
113	от смеха	5	3
114	и есть	2	3
115	в отношении	2	3
116	того же	3	3
117	игра с	3	3
118	во время	10	3
119	в одном	7	3
120	и потому	2	3
121	очень часто	2	3
122	в мире	4	3
123	тела в	4	3
124	он был	2	3
125	но это	2	3
126	совсем не	2	3
127	есть и	4	3
128	смерти в	11	3
129	кроме того	3	3
130	при этом	6	3
131	в это	3	3
132	из них	8	3
133	и их	4	3
134	рабле дает	2	3
135	в главе	7	3
136	ii гл	12	3
137	в гротескном	3	3
138	что он	3	3
139	жизни и	8	3
140	во всех	11	3
141	в форме	3	3
142	в их	3	3
143	человеческое тело	6	3
144	не может	2	3
145	не было	3	3
146	в той	2	3
147	с точки	8	3
148	и по	3	3
149	тем что	3	3
150	не на	3	3
151	пространстве и	4	3
152	не знает	2	3
153	связанные с	5	3
154	его в	6	3
155	так сказать	7	3
156	так как	6	3
157	все его	4	3
158	от этого	2	3
159	умер от	4	2
160	что все	2	2
161	для рабле	2	2
162	на небе	2	2
163	именно в	2	2
164	а на	2	2
165	и др	5	2
166	никогда не	6	2
167	числе и	2	2
168	в этих	3	2
169	и образов	2	2
170	характерно что	2	2
171	характер носит	4	2
172	и так	2	2
173	и во	6	2
174	в одной	2	2
175	с этим	5	2
176	а следовательно	3	2
177	человека в	6	2
178	времени он	2	2
179	переходим к	3	2
180	к тому	3	2
181	виде осла	2	2
182	в историческом	2	2
183	следовательно и	3	2
184	и как	3	2
185	образ смерти	3	2
186	и самая	2	2
187	по своему	2	2
188	явления и	2	2
189	точка зрения	3	2
190	четвертой книги	7	2
191	в большинстве	3	2
192	в себя	2	2
193	до конца	2	2
194	отношение к	3	2
195	особое значение	2	2
196	тот же	3	2
197	еще не	6	2
198	того что	3	2
199	со всеми	2	2
200	отсюда и	2	2
201	новой жизни	3	2
202	в реальном	3	2
203	в заключение	2	2
204	картина мира	2	2
205	а также	3	2
206	загробном мире	4	2
207	и времени	6	2
208	всего романа	2	2
209	же в	4	2
210	на землю	2	2
211	и всегда	2	2
212	во времени	3	2
213	задний проход	2	2
214	в связи	8	2
215	в особенности	6	2
216	этом отношении	2	2
217	еще более	4	2
218	и других	2	2
219	находится в	2	2
220	и вот	2	2
221	не мог	2	2
222	рабле мы	2	2
223	а не	4	2
224	уже не	3	2
225	особенно в	2	2
226	роль в	3	2
227	представлений о	2	2
228	жизнь и	3	2
229	у них	2	2
230	в данном	2	2
231	их в	4	2
232	во всяком	2	2
233	развития человечества	2	2
234	в литературе	2	2
235	имеем в	3	2
236	кн ii	14	2
237	в которых	3	2
238	во все	2	2
239	ту же	2	2
240	которой он	2	2
241	также и	4	2
242	далеко не	2	2
243	явлений и	2	2
244	эти образы	2	2
245	как он	2	2
246	большинстве случаев	3	2
247	пространства и	2	2
248	с ним	4	2
249	мы имеем	2	2
250	исторического времени	3	2
251	оно было	2	2
252	том как	3	2
