N	2gram	Berdyaev_O_1	SlovoVZh
1	не может	4	16
2	может быть	11	14
3	и его	4	13
4	как бы	3	13
5	и в	19	12
6	и не	13	10
7	так как	2	9
8	прежде всего	9	8
9	сказать что	2	7
10	в нем	10	6
11	в том	5	6
12	то что	5	5
13	никогда не	9	5
14	а не	11	5
15	хотя бы	3	5
16	как и	6	5
17	том что	2	5
18	но в	2	5
19	и к	2	4
20	все же	2	4
21	отношение к	5	4
22	так и	2	4
23	что не	4	4
24	не в	11	4
25	в этом	12	4
26	и на	2	4
27	его в	2	4
28	в самом	5	4
29	к нему	3	4
30	не только	11	4
31	когда он	3	3
32	в своей	2	3
33	все это	6	3
34	как к	2	3
35	все эти	4	3
36	по себе	2	3
37	но и	13	3
38	того что	3	3
39	и с	2	3
40	о том	3	3
41	и ее	3	3
42	в себе	3	3
43	для него	5	3
44	еще не	3	3
45	и для	2	3
46	в творчестве	5	3
47	с ним	3	3
48	уже в	2	2
49	с его	4	2
50	что и	2	2
51	в душе	2	2
52	что в	4	2
53	в этих	3	2
54	в своем	2	2
55	нет ничего	7	2
56	это не	3	2
57	и все	10	2
58	к этому	2	2
59	ко всем	2	2
60	не есть	2	2
61	и то	2	2
62	могут быть	3	2
63	до конца	7	2
64	ничего не	2	2
65	он не	7	2
66	в его	7	2
67	и потому	2	2
