N	2gram	Voloshinov_2	TeoriaLi
1	– это	4	20
2	не только	13	18
3	в качестве	3	17
4	и не	19	16
5	– в	4	14
6	а в	3	14
7	и в	19	13
8	может быть	28	12
9	так и	10	12
10	то есть	2	12
11	при этом	9	11
12	в этом	15	11
13	в том	7	11
14	но не	2	10
15	а не	9	10
16	и его	16	10
17	в его	5	9
18	то же	16	9
19	в душе	4	8
20	сводится к	2	8
21	что в	2	8
22	отношению к	8	8
23	но и	10	8
24	по отношению	8	8
25	себя в	2	7
26	в себе	4	7
27	том что	10	7
28	в отличие	3	7
29	в данном	5	7
30	точки зрения	17	7
31	в то	8	7
32	только в	8	7
33	отличие от	3	7
34	место в	2	6
35	с его	8	6
36	же время	8	6
37	еще не	3	6
38	лишь в	14	6
39	как бы	19	6
40	но в	7	6
41	– с	3	5
42	в своем	2	5
43	или иного	2	5
44	или иной	5	5
45	в ее	3	5
46	как и	9	5
47	не в	10	5
48	в пределах	10	5
49	между ними	2	5
50	в самом	6	5
51	того или	2	5
52	в нем	11	5
53	он не	3	5
54	с другой	3	5
55	между тем	6	5
56	в свою	6	4
57	ни в	6	4
58	более или	2	4
59	в своей	3	4
60	то что	4	4
61	в форме	5	4
62	или менее	2	4
63	в их	5	4
64	приводит к	2	4
65	и т.п	10	4
66	не может	18	4
67	высказывания в	7	4
68	в слове	4	4
69	сказать что	4	4
70	и ее	4	4
71	не знает	2	4
72	слова в	8	3
73	перед нами	3	3
74	никогда не	7	3
75	в нашем	2	3
76	в этих	3	3
77	в отношении	4	3
78	прежде всего	7	3
79	свою очередь	5	3
80	для него	9	3
81	того что	4	3
82	– на	3	3
83	той или	4	3
84	и потому	2	3
85	этого слова	5	3
86	на почве	9	3
87	– не	6	3
88	как раз	4	3
89	таким образом	14	3
90	а с	2	3
91	именно в	2	3
92	в другом	3	3
93	или в	2	3
94	и то	3	3
95	в основе	9	3
96	речи и	13	3
97	в этой	3	3
98	и т.д	4	3
99	отношении к	5	3
100	и внешней	2	3
101	его в	7	3
102	все эти	3	3
103	о чем	2	2
104	если бы	11	2
105	могут быть	3	2
106	за пределы	3	2
107	в следующей	2	2
108	высказывания как	7	2
109	того же	5	2
110	это не	4	2
111	одного и	4	2
112	вовсе не	11	2
113	по себе	3	2
114	что он	4	2
115	к тому	6	2
116	но как	2	2
117	и того	5	2
118	и как	6	2
119	– и	5	2
120	что они	2	2
121	всех без	2	2
122	одной стороны	3	2
123	в противном	2	2
124	в большинстве	5	2
125	одно и	3	2
126	внутренней и	2	2
127	внутреннего мира	2	2
128	одной из	3	2
129	к его	2	2
130	здесь мы	3	2
131	слова как	2	2
132	его внешней	2	2
133	и особенно	2	2
134	и тем	4	2
135	не с	2	2
136	к нему	5	2
137	в диалоге	2	2
138	во всех	6	2
139	вместе с	2	2
140	– может	2	2
141	не на	2	2
142	соединении с	2	2
143	и для	7	2
144	– как	5	2
145	с одной	3	2
146	в той	5	2
147	и о	2	2
148	с точки	13	2
149	и даже	2	2
150	высказывания и	11	2
151	так же	5	2
152	форм высказывания	2	2
153	высказывания не	2	2
154	как такой	3	2
155	у него	2	2
156	и здесь	5	2
157	без исключения	2	2
158	не следует	2	2
159	о том	3	2
160	и это	3	2
161	отношения к	2	2
162	случае это	2	2
163	противном случае	2	2
164	это было	2	2
