N	2gram	Losev_Vlad_3	Sovremen
1	не может	14	17
2	точки зрения	13	12
3	может быть	8	12
4	таким образом	11	11
5	мы не	2	9
6	не можем	2	7
7	в этом	16	7
8	и в	40	7
9	и не	25	6
10	как и	7	6
11	в результате	4	6
12	ничего не	5	6
13	что же	9	5
14	прежде всего	10	5
15	все эти	5	5
16	и наконец	2	5
17	с точки	6	5
18	как бы	3	4
19	мы видели	3	4
20	если мы	4	4
21	в целом	2	4
22	вместе с	7	4
23	это не	3	4
24	а в	7	4
25	вопрос о	4	4
26	не только	25	4
27	же это	2	4
28	в том	18	4
29	в дальнейшем	4	4
30	из них	2	4
31	мы должны	4	4
32	так как	7	4
33	уже в	3	3
34	но мы	2	3
35	все же	4	3
36	отнюдь не	5	3
37	отличается от	3	3
38	в конце	12	3
39	то же	4	3
40	в нем	3	3
41	а не	8	3
42	и к	2	3
43	для нас	5	3
44	у нас	5	3
45	не в	3	3
46	в этой	8	3
47	еще не	4	3
48	при этом	3	3
49	было бы	4	3
50	в одном	5	3
51	и все	4	3
52	в себе	9	3
53	что она	2	3
54	но в	4	3
55	и потому	10	3
56	совершенно не	2	2
57	в настоящее	3	2
58	не могут	2	2
59	что это	9	2
60	не менее	9	2
61	в виде	13	2
62	у него	24	2
63	быть и	2	2
64	в нашем	2	2
65	то и	2	2
66	в отличие	3	2
67	из этих	3	2
68	о значении	2	2
69	что все	7	2
70	с одной	3	2
71	как мы	8	2
72	уже не	9	2
73	№ с	6	2
74	и что	8	2
75	роль в	2	2
76	и даже	6	2
77	и по	2	2
78	тем не	10	2
79	мы знаем	3	2
80	то ни	3	2
81	в таком	3	2
82	но все	3	2
83	такой же	4	2
84	во всяком	3	2
85	знаем что	2	2
86	с этим	2	2
87	что в	17	2
88	настоящее время	3	2
89	же самое	3	2
90	такого рода	4	2
91	по мнению	4	2
92	в самом	4	2
93	в которой	2	2
94	отличие от	3	2
95	в его	14	2
96	всяком случае	3	2
