N	2gram	Tiupa_Anal_2	VeschiIm
1	не есть	2	49
2	т е	2	42
3	не может	4	33
4	не только	16	31
5	может быть	6	29
6	и не	12	28
7	и в	16	26
8	то что	7	24
9	а не	10	20
10	что она	2	14
11	только в	4	14
12	того что	2	13
13	по себе	2	13
14	было бы	3	12
15	но и	12	12
16	сказать что	2	12
17	в себя	4	12
18	и то	3	12
19	таким образом	2	11
20	то же	4	10
21	уже не	4	10
22	как бы	10	10
23	в том	12	9
24	в самом	6	9
25	прежде всего	3	9
26	на то	2	8
27	с ее	2	8
28	в себе	7	8
29	ничего не	9	8
30	со своим	3	7
31	говорить о	6	7
32	в то	2	7
33	его в	2	7
34	том что	12	7
35	себя в	2	7
36	и их	2	7
37	как раз	4	7
38	в этом	18	7
39	так что	3	6
40	что в	2	6
41	для него	4	6
42	ни с	2	6
43	со стороны	3	6
44	в результате	3	6
45	точки зрения	4	6
46	но в	6	6
47	по крайней	3	6
48	она не	2	6
49	крайней мере	3	6
50	с ним	2	6
51	можно было	3	6
52	не менее	4	5
53	содержит в	3	5
54	ведь и	2	5
55	вообще не	2	5
56	тем не	3	5
57	не в	4	5
58	еще не	2	5
59	и до	2	5
60	а в	3	5
61	если бы	3	5
62	отнюдь не	8	5
63	но не	4	5
64	того же	4	5
65	в сущности	4	5
66	и для	2	5
67	на себя	5	5
68	в своем	4	4
69	с другой	6	4
70	же время	2	4
71	из них	3	4
72	в их	3	4
73	и даже	9	4
74	о том	7	4
75	и все	3	4
76	как и	14	4
77	во всех	4	4
78	на себе	3	4
79	что и	3	4
80	собственно говоря	2	4
81	с точки	2	4
82	в данном	8	4
83	тем что	3	4
84	же не	2	4
85	никогда не	3	3
86	можно сказать	4	3
87	к тому	7	3
88	несмотря на	3	3
89	на этом	4	3
90	как о	3	3
91	и сам	3	3
92	все это	4	3
93	отношения к	2	3
94	мы имеем	3	3
95	в одном	2	3
96	один из	2	3
97	ни о	3	3
98	себе не	2	3
99	в своей	2	3
100	вместе с	2	3
101	так и	15	3
102	только на	3	3
103	бы в	3	3
104	тому как	3	3
105	подобно тому	3	3
106	с самим	3	3
107	я в	3	3
108	казалось бы	3	2
109	в частности	16	2
110	может ли	2	2
111	была бы	2	2
112	что на	3	2
113	и если	3	2
114	и тем	4	2
115	в первой	3	2
116	данном случае	5	2
117	тех или	2	2
118	не мог	3	2
119	так же	2	2
120	как это	6	2
121	то есть	9	2
122	на него	2	2
123	о чем	2	2
124	превращается в	2	2
125	и во	2	2
126	в одну	2	2
127	не с	4	2
128	а затем	2	2
129	на этой	2	2
130	в качестве	11	2
131	для нее	2	2
132	никак не	2	2
133	он не	2	2
134	как в	4	2
135	приводит к	3	2
136	здравого смысла	2	2
137	тогда как	19	2
138	еще более	2	2
139	как мы	3	2
140	и его	4	2
141	той же	2	2
142	из его	2	2
143	не случайно	8	2
144	это именно	2	2
145	это было	2	2
