N	2gram	Losev_Prob_1	UchenyiS
1	и в	32	14
2	а не	15	10
3	не только	17	10
4	и не	31	8
5	прежде всего	10	8
6	то что	42	7
7	в этом	19	7
8	не может	8	7
9	в искусстве	3	6
10	может быть	14	6
11	хотя бы	3	5
12	все это	7	5
13	и только	4	5
14	то же	10	5
15	но и	9	4
16	в этой	10	4
17	в их	4	4
18	с другой	3	4
19	что такое	6	4
20	как такового	2	3
21	но в	14	3
22	как и	3	3
23	и то	6	3
24	в своей	8	3
25	для этого	3	3
26	другой стороны	3	3
27	для него	2	3
28	это не	6	3
29	в то	6	3
30	не как	2	3
31	было бы	8	3
32	этой области	2	3
33	в области	2	3
34	не о	2	3
35	у нас	14	3
36	тех или	3	2
37	том что	12	2
38	но не	9	2
39	в том	9	2
40	является в	2	2
41	по существу	2	2
42	мы не	2	2
43	с его	2	2
44	не есть	29	2
45	крайней мере	2	2
46	не в	4	2
47	всех этих	7	2
48	и для	4	2
49	но это	8	2
50	мы и	4	2
51	этом смысле	6	2
52	о чем	6	2
53	если бы	4	2
54	литературы и	4	2
55	нас в	2	2
56	только в	7	2
57	и с	2	2
58	тем что	7	2
59	сих пор	3	2
60	могут быть	2	2
61	даже и	8	2
62	именно как	4	2
63	что он	7	2
64	вопроса о	2	2
65	мы получаем	3	2
66	в себе	15	2
67	как раз	13	2
68	до сих	3	2
69	что мы	13	2
70	же самое	9	2
71	в конце	6	2
72	этого термина	4	2
73	что все	3	2
74	если не	4	2
75	в самом	6	2
76	не могут	2	2
77	сколько угодно	3	2
78	или иных	2	2
79	по себе	15	2
80	в буквальном	3	2
81	ничего не	10	2
82	самом деле	6	2
83	по крайней	2	2
84	что она	5	2
85	и является	7	2
86	в его	6	2
87	между тем	2	2
88	на первый	2	2
89	конце концов	4	2
90	таким образом	6	2
91	это было	2	2
