N	2gram	Trubetskoy_1	KFilosof
1	может быть	16	43
2	в его	5	39
3	в нем	3	31
4	не может	17	27
5	и не	8	26
6	по отношению	9	25
7	и в	23	22
8	в котором	2	21
9	отношению к	9	21
10	в себе	5	21
11	для меня	4	20
12	не есть	2	19
13	только в	6	16
14	точки зрения	13	13
15	в этом	12	13
16	для него	2	12
17	но не	2	12
18	и это	3	12
19	все эти	19	11
20	не в	8	11
21	к нему	2	11
22	из себя	10	10
23	в своем	10	10
24	это не	3	10
25	все это	11	10
26	от себя	2	10
27	во всех	10	10
28	с точки	8	10
29	в целом	5	9
30	но и	9	9
31	в их	4	9
32	как бы	10	9
33	и все	7	9
34	и для	6	9
35	не было	2	8
36	лишь в	5	8
37	если бы	8	8
38	было бы	3	8
39	жизни и	2	8
40	во всем	3	7
41	вовсе не	2	7
42	конечно не	3	7
43	что и	7	7
44	то что	18	7
45	в себя	2	7
46	я не	2	6
47	в том	30	6
48	отношение к	4	6
49	и только	2	6
50	в мире	6	6
51	отнюдь не	2	6
52	совершенно не	3	6
53	и их	5	6
54	он не	3	6
55	никогда не	4	5
56	хотя бы	4	5
57	ее и	3	5
58	то же	4	5
59	но все	5	5
60	именно в	5	5
61	от своей	2	5
62	должно быть	4	5
63	в основе	2	5
64	но как	2	5
65	его в	5	5
66	с ним	6	5
67	но в	4	5
68	не знает	2	5
69	как и	9	5
70	не только	7	5
71	для себя	2	5
72	все же	13	5
73	ко всему	2	5
74	что в	8	4
75	ни было	2	4
76	для нас	3	4
77	при этом	9	4
78	к ним	2	4
79	в своих	2	4
80	с ними	2	4
81	между тем	12	4
82	том что	19	4
83	ценности и	2	4
84	а в	3	4
85	тем самым	3	4
86	и т.д	4	4
87	а лишь	2	3
88	независимо от	2	3
89	должна быть	5	3
90	что это	5	3
91	не менее	7	3
92	из него	2	3
93	ближе к	3	3
94	лишь при	4	3
95	в свою	2	3
96	нет в	2	3
97	в виду	2	3
98	от того	3	3
99	того что	6	3
100	и на	6	3
101	в ней	3	3
102	в то	6	3
103	о том	7	3
104	всех этих	4	3
105	тогда когда	3	3
106	ясно что	8	3
107	данный момент	4	3
108	от него	3	3
109	по своему	5	3
110	еще не	5	3
111	быть и	5	3
112	на самом	7	3
113	культуры и	9	3
114	самом деле	12	3
115	для того	8	3
116	в другом	2	3
117	может не	3	2
118	а с	4	2
119	можно ли	2	2
120	то ни	3	2
121	та же	3	2
122	прежде всего	3	2
123	вследствие этого	2	2
124	вопрос о	3	2
125	к которой	3	2
126	тем не	4	2
127	ценностей не	2	2
128	это есть	4	2
129	же время	2	2
130	но для	2	2
131	себя и	2	2
132	тому что	2	2
133	для этого	7	2
134	как к	5	2
135	что за	2	2
136	и других	2	2
137	потому что	9	2
138	говорить о	2	2
139	а это	2	2
140	в сознании	6	2
141	что только	2	2
142	и то	4	2
143	с тем	2	2
144	что эта	4	2
145	в жизни	3	2
146	к этому	5	2
147	самого факта	2	2
148	что он	7	2
149	конечно в	2	2
150	при условии	2	2
151	и того	3	2
152	культура в	2	2
153	не будет	5	2
154	бы то	2	2
155	тот же	3	2
156	и может	3	2
157	и потому	3	2
158	этого слова	2	2
159	в процессе	2	2
160	так и	10	2
161	в ту	2	2
162	в виде	4	2
163	сводится к	2	2
164	того чтобы	8	2
165	жизнь и	3	2
166	в данном	3	2
167	чтобы быть	2	2
168	в этой	6	2
169	ничего общего	3	2
170	не потому	2	2
171	в области	4	2
172	а для	2	2
