N	2gram	Berdyaev_M_1	Komedia
1	и в	28	22
2	и не	11	21
3	т е	2	16
4	том что	3	13
5	в том	6	12
6	так как	3	11
7	потому что	16	10
8	до сих	2	9
9	в самом	11	9
10	вместе с	6	9
11	сих пор	2	9
12	если бы	2	8
13	в своем	10	8
14	что он	10	8
15	к ней	4	8
16	в его	9	8
17	что и	4	8
18	в этом	20	8
19	о том	2	8
20	его в	3	8
21	о чем	2	7
22	в свою	2	7
23	а в	4	7
24	в конце	7	7
25	к этому	2	6
26	для того	2	6
27	к тому	3	6
28	может быть	30	6
29	и что	2	6
30	того чтобы	2	6
31	и его	9	6
32	в то	2	6
33	что в	10	5
34	прежде всего	10	5
35	не только	29	5
36	в своей	15	5
37	отношение к	4	5
38	не хочет	2	5
39	все это	6	5
40	по отношению	2	5
41	он не	24	5
42	тем что	4	5
43	любви к	7	5
44	к нему	7	5
45	в которых	4	5
46	с ним	2	5
47	но в	7	5
48	он знает	2	4
49	с тем	9	4
50	должен был	4	4
51	у него	17	4
52	нет и	5	4
53	он был	14	4
54	все же	2	4
55	не в	16	4
56	до конца	14	4
57	в ней	15	4
58	то что	5	4
59	когда он	3	4
60	но и	25	4
61	а не	25	4
62	и для	2	4
63	точки зрения	4	4
64	в себе	7	4
65	бы в	2	4
66	хотя бы	3	4
67	и с	3	4
68	с его	3	3
69	прежде чем	2	3
70	от нее	5	3
71	никогда не	14	3
72	в них	4	3
73	с этой	4	3
74	с этим	3	3
75	в нем	13	3
76	и к	2	3
77	и еще	3	3
78	в ее	3	3
79	как и	5	3
80	в начале	2	3
81	в этой	6	3
82	чем в	2	3
83	по своему	2	3
84	все что	2	3
85	было бы	10	3
86	и мы	2	3
87	конечно не	3	3
88	на этот	2	3
89	как бы	2	3
90	один из	4	3
91	отношению к	2	3
92	приводит к	2	3
93	не может	28	3
94	не имеет	3	3
95	не так	3	3
96	любовь к	2	3
97	но если	3	3
98	не знает	4	3
99	как он	2	3
100	в которой	6	3
101	ничего не	3	3
102	в основе	2	2
103	уже в	4	2
104	себя и	3	2
105	не как	4	2
106	как в	2	2
107	к концу	4	2
108	это не	5	2
109	и все	10	2
110	человека и	14	2
111	если он	5	2
112	и я	5	2
113	не могут	5	2
114	нет никаких	2	2
115	а как	2	2
116	такого отношения	3	2
117	она не	4	2
118	к человеку	9	2
119	то время	2	2
120	не мог	3	2
121	за пределы	4	2
122	одним из	2	2
123	которую он	2	2
124	конце концов	2	2
125	и он	12	2
126	в котором	8	2
127	был бы	10	2
128	только один	2	2
129	должен быть	2	2
130	человека не	4	2
131	по сравнению	2	2
132	в их	4	2
133	его не	3	2
134	бы не	2	2
135	отношения к	4	2
136	не было	18	2
137	человека в	13	2
138	время как	2	2
139	в мире	10	2
140	и на	6	2
141	людей и	2	2
142	и во	2	2
143	он и	2	2
144	и это	12	2
145	нет ничего	7	2
146	к этой	2	2
147	в виду	2	2
