N	2gram	Losev_Prob_3	OGranits
1	и в	44	13
2	и его	5	12
3	прежде всего	3	9
4	не может	7	8
5	и не	35	8
6	может быть	28	8
7	точки зрения	5	7
8	в его	9	7
9	таким образом	9	6
10	не только	14	6
11	то что	23	6
12	только в	19	6
13	мы должны	7	6
14	как бы	9	6
15	художественного произведения	14	5
16	все же	6	5
17	с точки	2	5
18	языка и	4	5
19	хотя бы	3	5
20	в процессе	2	5
21	то же	13	4
22	не является	11	4
23	в своей	5	4
24	все это	5	4
25	еще и	7	4
26	только и	8	4
27	мы не	7	4
28	мы можем	6	4
29	было бы	8	4
30	но в	12	4
31	что в	8	3
32	только путем	3	3
33	никогда не	6	3
34	но и	10	3
35	так и	10	3
36	что же	8	3
37	в их	2	3
38	и все	3	3
39	самом деле	3	3
40	в ее	4	3
41	да и	5	3
42	как и	10	3
43	не в	13	3
44	за пределы	5	3
45	в которой	2	3
46	и то	14	3
47	не столько	2	3
48	одно и	3	3
49	в себе	8	3
50	в искусстве	4	3
51	говорить о	3	3
52	ничего общего	7	3
53	с этим	2	3
54	и для	2	3
55	общего с	3	3
56	так как	9	3
57	не менее	10	2
58	для себя	2	2
59	уже в	3	2
60	с этой	3	2
61	а как	2	2
62	и тем	9	2
63	в нем	9	2
64	может иметь	3	2
65	он только	2	2
66	во всей	3	2
67	в целом	6	2
68	данном случае	7	2
69	а не	18	2
70	художественное произведение	8	2
71	в отношении	2	2
72	другой стороны	5	2
73	с другой	7	2
74	в связи	7	2
75	собственно говоря	5	2
76	а в	5	2
77	с одной	2	2
78	все эти	7	2
79	вовсе не	37	2
80	или иного	3	2
81	есть не	5	2
82	в тех	3	2
83	к тому	3	2
84	и к	6	2
85	как в	5	2
86	если бы	3	2
87	в чем	4	2
88	не имеет	9	2
89	в том	21	2
90	что иное	4	2
91	так же	5	2
92	том что	12	2
93	в данном	9	2
94	что они	5	2
95	в этом	17	2
96	тем что	4	2
97	и следовательно	2	2
98	могут быть	2	2
99	при этом	4	2
100	чем же	4	2
101	смысле слова	8	2
102	и ее	3	2
103	не что	4	2
104	для него	3	2
105	в другом	2	2
106	и может	2	2
107	того или	6	2
108	мы уже	4	2
109	слова и	3	2
110	нет ничего	6	2
111	в самом	3	2
112	и при	2	2
113	которое мы	5	2
114	бы в	2	2
115	между собою	2	2
116	в ней	5	2
117	иное как	4	2
118	и является	4	2
119	а также	4	2
