N	2gram	Ircho_Kome_3	FransuaR
1	и в	22	41
2	во всех	2	17
3	таким образом	12	17
4	в нем	3	16
5	и с	4	16
6	и его	6	13
7	но и	4	13
8	как мы	2	12
9	в этом	8	12
10	все это	5	11
11	прежде всего	5	10
12	в самом	9	10
13	не только	5	10
14	так как	11	10
15	то что	4	10
16	во время	6	9
17	и на	2	9
18	и все	2	9
19	о том	8	9
20	никогда не	3	8
21	в сущности	2	8
22	здесь и	2	8
23	в этой	3	8
24	но в	5	8
25	у него	4	7
26	в них	3	7
27	вовсе не	4	7
28	том что	13	7
29	как бы	3	7
30	как и	3	7
31	что в	5	7
32	в его	8	7
33	в образе	2	6
34	что он	8	6
35	один из	3	6
36	вместе с	9	6
37	в эпоху	2	6
38	с помощью	4	6
39	в то	6	6
40	то же	7	5
41	с его	3	5
42	в одном	2	5
43	в ее	3	5
44	так же	4	5
45	же время	5	5
46	и он	2	5
47	а также	2	5
48	из них	5	5
49	так и	4	5
50	до нас	4	5
51	в своем	8	5
52	и что	6	5
53	тем что	5	5
54	в себе	4	5
55	уже в	2	4
56	все время	2	4
57	с другой	4	4
58	нового времени	2	4
59	роль в	2	4
60	он был	4	4
61	а затем	2	4
62	не в	4	4
63	все что	3	4
64	тот же	2	4
65	одной стороны	3	4
66	в ней	4	4
67	в котором	2	4
68	все же	4	4
69	не может	3	4
70	с одной	3	4
71	как в	2	4
72	самом деле	6	4
73	того чтобы	6	4
74	и даже	3	4
75	одним из	2	4
76	а в	7	4
77	в результате	2	4
78	в основе	2	4
79	в другом	2	4
80	того же	6	4
81	с ним	5	4
82	из этого	2	4
83	до того	2	3
84	с этой	3	3
85	с этим	3	3
86	одной из	3	3
87	до сих	9	3
88	было бы	3	3
89	и сам	5	3
90	в начале	3	3
91	конечно не	3	3
92	не мог	2	3
93	и особенно	2	3
94	сих пор	9	3
95	и для	4	3
96	этом отношении	2	3
97	при этом	7	3
98	и не	21	3
99	что не	3	3
100	между ними	2	3
101	к нему	5	3
102	с другими	2	3
103	людей и	2	3
104	потому что	10	3
105	что их	2	2
106	не могут	2	2
107	отрывок из	2	2
108	в частности	3	2
109	и во	2	2
110	себе в	3	2
111	в конце	7	2
112	человека и	2	2
113	представление о	2	2
114	стороны и	2	2
115	если мы	2	2
116	в том	12	2
117	раз в	2	2
118	так что	6	2
119	тем более	4	2
120	связи с	5	2
121	что они	2	2
122	а на	2	2
123	до конца	4	2
124	и тот	3	2
125	может быть	6	2
126	за пределы	2	2
127	в своей	5	2
128	хотя и	5	2
129	он не	5	2
130	но если	3	2
131	был бы	2	2
132	должен быть	2	2
133	в развитии	2	2
134	другой стороны	2	2
135	как раз	6	2
136	как это	5	2
137	из того	3	2
138	возможно что	3	2
139	а не	4	2
140	с точки	3	2
141	мы не	2	2
142	к себе	5	2
143	их в	3	2
144	между тем	2	2
145	точки зрения	4	2
146	на его	2	2
147	говорить о	3	2
148	что мы	2	2
149	как он	3	2
150	и этим	3	2
151	бы в	4	2
152	в области	2	2
