N	2gram	Losev_Dial_3	Formalny
1	т е	48	34
2	и в	24	24
3	в его	2	23
4	прежде всего	8	22
5	и не	27	20
6	так и	5	18
7	и пр	6	17
8	не может	19	16
9	точки зрения	25	16
10	в этом	8	15
11	в нем	3	14
12	может быть	13	14
13	с точки	14	13
14	таким образом	13	13
15	и т	24	12
16	именно как	3	12
17	в своем	3	11
18	не менее	11	11
19	как и	7	11
20	должно быть	3	11
21	в их	2	11
22	вовсе не	13	10
23	и ее	3	10
24	то же	6	10
25	в ней	2	10
26	а не	26	10
27	и его	5	10
28	и потому	2	9
29	все это	6	9
30	в то	5	9
31	же время	3	8
32	именно в	2	8
33	то что	14	8
34	т д	23	8
35	и на	3	8
36	не в	3	8
37	и с	6	8
38	должна быть	6	7
39	и от	3	7
40	не только	23	7
41	жизни и	5	7
42	но и	9	7
43	отнюдь не	10	6
44	и все	6	6
45	и здесь	2	6
46	было бы	5	6
47	как таковой	2	6
48	в том	5	6
49	самом деле	6	6
50	она не	3	6
51	еще не	2	6
52	как бы	3	6
53	а в	2	6
54	все эти	3	6
55	как это	5	6
56	хотя бы	4	5
57	по себе	20	5
58	у нас	4	5
59	лишь как	2	5
60	при этом	2	5
61	только на	7	5
62	в самом	7	5
63	со стороны	2	5
64	как мы	2	5
65	того что	12	5
66	должны быть	3	5
67	с другой	4	5
68	но в	2	5
69	с его	2	4
70	в частности	2	4
71	никогда не	7	4
72	и к	5	4
73	для этого	2	4
74	учение о	8	4
75	одной стороны	3	4
76	если бы	6	4
77	конечно не	4	4
78	всяком случае	2	4
79	оно не	6	4
80	быть и	3	4
81	так же	4	4
82	что в	7	4
83	с одной	3	4
84	только и	2	4
85	друг друга	3	4
86	как на	5	4
87	с этой	5	4
88	во всяком	2	4
89	в истории	4	4
90	как о	4	4
91	к этой	2	4
92	но не	2	3
93	вещей и	6	3
94	она должна	2	3
95	перестает быть	2	3
96	в них	5	3
97	он должен	3	3
98	бы то	2	3
99	ясно что	7	3
100	или иного	2	3
101	что он	13	3
102	к тому	4	3
103	его как	3	3
104	для него	4	3
105	это и	7	3
106	и как	8	3
107	но это	5	3
108	зависимости от	3	3
109	ни на	3	3
110	со всеми	2	3
111	но для	2	3
112	не о	2	3
113	он не	5	3
114	все же	3	3
115	же в	2	3
116	отличается от	8	3
117	бытия в	2	3
118	в особенности	7	3
119	или же	3	3
120	не было	3	3
121	мы не	5	3
122	тем самым	3	3
123	и даже	13	3
124	целый ряд	2	3
125	жизнь и	4	3
126	ничем не	7	3
127	в основе	3	3
128	они не	2	3
129	в себе	2	3
130	думать что	2	3
131	бы в	2	3
132	того или	3	2
133	сама по	4	2
134	же как	2	2
135	в зависимости	2	2
136	учения о	2	2
137	сами по	3	2
138	это не	4	2
139	с этим	3	2
140	она есть	10	2
141	вопрос о	5	2
142	вопрос об	3	2
143	же они	2	2
144	не можем	2	2
145	все время	3	2
146	ни в	9	2
147	уже не	5	2
148	природы или	2	2
149	по существу	2	2
150	от чего	5	2
151	тот или	2	2
152	и всякий	3	2
153	одна из	3	2
154	и позитивизм	2	2
155	и чисто	2	2
156	только в	5	2
157	только как	5	2
158	и если	2	2
159	как таковое	3	2
160	фактов и	2	2
161	от того	4	2
162	как раз	7	2
163	и является	2	2
164	только не	10	2
165	за пределы	3	2
166	была бы	3	2
167	однако не	2	2
168	нет и	4	2
169	точка зрения	5	2
170	что и	6	2
171	не есть	54	2
172	она была	2	2
173	не на	6	2
174	всего этого	2	2
175	может и	2	2
176	и вот	2	2
177	и что	15	2
178	во что	4	2
179	раз и	3	2
180	его не	2	2
181	следовательно и	2	2
182	или иначе	2	2
183	даже и	7	2
184	в своих	2	2
185	вещах и	3	2
186	ничего не	17	2
187	если же	8	2
188	и это	4	2
189	бы быть	2	2
190	во всем	3	2
191	как с	2	2
192	ее от	2	2
193	что такое	21	2
