N	2gram	Bakhtin_Pr_3	Myshleni
1	в том	14	33
2	том что	5	27
3	точки зрения	4	26
4	в развитии	3	26
5	то что	9	20
6	в этом	8	19
7	с точки	2	18
8	и в	53	15
9	не только	4	15
10	что в	2	14
11	таким образом	6	14
12	что он	4	12
13	и т.д	2	12
14	в самом	2	11
15	но и	7	10
16	было бы	5	10
17	мы не	4	10
18	мы можем	5	10
19	может быть	12	9
20	не может	2	9
21	о том	2	9
22	в сущности	10	9
23	так и	6	8
24	казалось бы	3	8
25	никогда не	2	8
26	не в	2	8
27	и не	15	7
28	на основе	2	7
29	потому что	5	7
30	как бы	14	7
31	тот же	2	7
32	он не	3	7
33	и т.п	31	7
34	что это	2	6
35	как мы	5	6
36	мы уже	5	6
37	мы видели	2	6
38	по отношению	2	6
39	в связи	2	6
40	мы находим	2	6
41	с другой	2	6
42	сказать что	10	6
43	в истории	3	6
44	мы должны	4	6
45	как он	2	6
46	как это	2	6
47	но в	5	6
48	в зависимости	2	6
49	вовсе не	3	6
50	и к	5	6
51	как и	11	6
52	зависимости от	2	6
53	по своей	9	6
54	вместе с	2	6
55	это не	6	5
56	уже в	2	5
57	и др	14	5
58	и их	2	5
59	и даже	2	5
60	видели что	2	5
61	сравнению с	4	5
62	по существу	5	5
63	по сравнению	4	5
64	то же	6	5
65	во всей	4	5
66	связана с	2	4
67	прежде всего	15	4
68	несмотря на	2	4
69	все это	8	4
70	в них	2	4
71	а в	2	4
72	их в	2	4
73	и с	6	4
74	в начале	2	4
75	так как	7	4
76	с его	2	4
77	для всех	2	4
78	к этому	4	4
79	мы видим	2	4
80	в своей	3	4
81	как в	7	4
82	хотя бы	2	4
83	и его	10	4
84	значение для	2	4
85	только в	4	4
86	в которой	2	4
87	в эту	3	4
88	том числе	11	3
89	он сам	4	3
90	человека и	7	3
91	в собственном	2	3
92	что именно	2	3
93	числе и	10	3
94	и человека	4	3
95	при этом	3	3
96	смысле этого	2	3
97	из них	4	3
98	и до	5	3
99	все эти	9	3
100	они не	3	3
101	и по	3	3
102	с другими	3	3
103	в основе	5	3
104	и мышления	2	3
105	с ним	2	3
106	и все	10	3
107	здесь и	4	3
108	и особенно	3	3
109	с этим	2	3
110	тем более	2	3
111	уже говорили	2	3
112	но не	5	3
113	того же	2	3
114	действительности и	2	3
115	одной из	4	3
116	в заключение	2	3
117	собственном смысле	2	3
118	а не	11	3
119	значение в	4	3
120	он в	2	3
121	и ее	6	3
122	и это	3	3
123	ничего не	6	3
124	в этих	5	2
125	перед нами	5	2
126	на все	2	2
127	можно сказать	8	2
128	живет в	2	2
129	которую можно	3	2
130	и более	2	2
131	человека к	3	2
132	как у	5	2
133	и идеи	4	2
134	и той	2	2
135	очень хорошо	3	2
136	на язык	4	2
137	и тем	2	2
138	могут быть	4	2
139	в некоторых	4	2
140	в их	2	2
141	и других	9	2
142	в более	4	2
143	к себе	6	2
144	говорить о	2	2
145	во все	5	2
146	также и	4	2
147	во всем	2	2
148	мира и	2	2
149	а также	4	2
150	которые не	2	2
151	этих двух	2	2
152	связь с	2	2
153	именно в	2	2
154	и другой	3	2
155	с их	2	2
156	и из	3	2
157	наряду с	5	2
158	в один	2	2
159	в его	8	2
160	линии развития	3	2
161	что и	3	2
162	ее в	3	2
163	во всех	12	2
164	с ней	3	2
165	или менее	3	2
166	и самый	5	2
167	нас интересует	4	2
168	и для	4	2
169	все равно	4	2
170	в себя	6	2
171	вообще в	2	2
172	представлен в	2	2
173	которой мы	2	2
174	той же	5	2
175	тем что	2	2
176	в себе	5	2
177	на протяжении	5	2
178	и вообще	3	2
179	более или	3	2
180	не то	3	2
