N	2gram	Vygotskiy__4	VrazhdaK
1	не только	15	9
2	в этом	24	8
3	и что	8	8
4	и в	20	8
5	но и	9	7
6	что в	19	7
7	то что	15	7
8	в нем	2	6
9	все же	5	6
10	как и	9	6
11	в начале	2	6
12	но в	3	6
13	и с	4	6
14	то же	16	5
15	и не	8	5
16	у него	2	5
17	между тем	9	5
18	уже в	6	4
19	для нас	4	4
20	как бы	7	4
21	целый ряд	5	4
22	это не	5	4
23	что он	6	4
24	так же	11	4
25	может быть	12	4
26	при этом	12	4
27	в истории	10	4
28	о том	5	4
29	в ней	2	4
30	в виду	3	4
31	речь идет	5	3
32	связи с	3	3
33	в своем	4	3
34	и во	3	3
35	в связи	3	3
36	к этому	4	3
37	на то	5	3
38	и у	2	3
39	в том	42	3
40	раз в	2	3
41	и его	5	3
42	том что	35	3
43	и как	9	3
44	тем что	7	3
45	в его	11	3
46	далеко не	2	3
47	его в	6	3
48	наряду с	3	3
49	в чем	3	3
50	одним из	2	3
51	по нашему	2	3
52	и т.п	2	2
53	место в	2	2
54	а с	2	2
55	в известном	2	2
56	в своей	7	2
57	и это	2	2
58	из них	4	2
59	не менее	3	2
60	никогда не	5	2
61	вместе с	8	2
62	отнюдь не	3	2
63	столь же	3	2
64	не может	6	2
65	по мнению	2	2
66	а в	2	2
67	тогда как	2	2
68	таким образом	25	2
69	это в	2	2
70	на место	3	2
71	в той	2	2
72	на первый	4	2
73	с которым	2	2
74	и он	2	2
75	же не	2	2
76	с точки	11	2
77	на основе	10	2
78	в этой	3	2
79	и то	10	2
80	же как	6	2
81	их в	2	2
82	но как	2	2
83	точки зрения	24	2
84	в свою	2	2
85	в себе	10	2
86	для него	2	2
87	в нашей	2	2
88	еще не	2	2
89	том же	2	2
90	а также	2	2
91	в него	2	2
