N	2gram	Voloshinov_2	Mirosoze
1	может быть	28	30
2	не только	13	29
3	и в	19	28
4	не может	18	28
5	но и	10	25
6	а не	9	25
7	он не	3	24
8	в этом	15	20
9	не было	3	18
10	у него	2	17
11	не в	10	16
12	это –	9	16
13	в ней	3	15
14	в своей	3	15
15	никогда не	7	14
16	он был	2	14
17	до конца	2	14
18	в нем	11	13
19	и он	2	12
20	и это	3	12
21	для него	9	11
22	в самом	6	11
23	и не	19	11
24	что в	2	10
25	в своем	2	10
26	прежде всего	7	10
27	и все	6	10
28	что он	4	10
29	было бы	4	10
30	и потому	2	10
31	в его	5	9
32	не есть	3	9
33	и его	16	9
34	но не	2	8
35	в котором	3	8
36	того что	4	7
37	но в	7	7
38	менее всего	3	7
39	к нему	5	7
40	в себе	4	7
41	должна быть	4	6
42	в том	7	6
43	в этой	3	6
44	лишь в	14	6
45	и на	5	6
46	вместе с	2	6
47	только в	8	6
48	это не	4	5
49	– не	6	5
50	у нас	3	5
51	как и	9	5
52	то что	4	5
53	уже в	2	4
54	в этих	3	4
55	не знает	2	4
56	смысле слова	5	4
57	не к	3	4
58	в их	5	4
59	отношения к	2	4
60	а в	3	4
61	точки зрения	17	4
62	не как	3	4
63	xix века	2	4
64	от него	2	4
65	за пределы	3	4
66	что и	3	4
67	тем что	2	4
68	к тому	6	3
69	– к	2	3
70	и их	4	3
71	не имеет	3	3
72	не так	2	3
73	должно быть	3	3
74	с этим	3	3
75	его в	7	3
76	так как	3	3
77	то есть	2	3
78	и с	2	3
79	с его	8	3
80	в жизни	2	3
81	– говорит	2	3
82	в ее	3	3
83	том что	10	3
84	учение о	3	3
85	ничего не	4	3
86	социальной среды	3	3
87	мы увидим	2	3
88	конечно не	4	3
89	себя в	2	3
90	ко всем	2	3
91	хотя бы	6	3
92	все его	2	3
93	место в	2	2
94	связана с	2	2
95	и от	3	2
96	вопрос о	2	2
97	высшей степени	3	2
98	в свою	6	2
99	о чем	2	2
100	для того	6	2
101	одним из	2	2
102	жизни и	2	2
103	могут быть	3	2
104	по отношению	8	2
105	все эти	3	2
106	сказать что	4	2
107	в более	2	2
108	даже и	2	2
109	он и	2	2
110	привела к	2	2
111	в начале	2	2
112	в истории	3	2
113	как бы	19	2
114	о том	3	2
115	бы в	4	2
116	не существует	3	2
117	в основе	9	2
118	одно только	2	2
119	а как	4	2
120	если бы	11	2
121	в высшей	3	2
122	к этому	5	2
123	различие между	2	2
124	отношению к	8	2
125	в то	8	2
126	ведь это	2	2
127	связано с	3	2
128	до сих	3	2
129	относится к	3	2
130	должен быть	2	2
131	все же	5	2
132	сих пор	3	2
133	все –	2	2
134	мысли и	3	2
135	приводит к	2	2
136	бы не	2	2
137	в той	5	2
138	того чтобы	6	2
139	и у	2	2
140	и как	6	2
141	и для	7	2
142	от этого	2	2
143	в каком	3	2
144	на протяжении	2	2
145	отношении к	5	2
