N	2gram	Berdyaev_M_1	Myslijsy
1	потому что	16	46
2	то есть	3	34
3	в том	6	32
4	и в	28	30
5	может быть	30	28
6	не только	29	21
7	только в	6	21
8	для нас	3	20
9	но и	25	19
10	том что	3	18
11	то что	5	18
12	того что	7	18
13	что в	10	17
14	не есть	9	17
15	в себе	7	16
16	не в	16	15
17	и не	11	15
18	а не	25	15
19	что и	4	13
20	так как	3	13
21	вместе с	6	12
22	а в	4	12
23	если бы	2	12
24	есть уже	4	11
25	как и	5	10
26	как в	2	10
27	и что	2	10
28	в этом	20	10
29	в то	2	10
30	для него	11	9
31	было бы	10	9
32	в нем	13	9
33	в самом	11	8
34	в ней	15	8
35	к тому	3	7
36	с тем	9	7
37	но не	8	7
38	есть не	4	7
39	тем что	4	7
40	что он	10	6
41	с этим	3	6
42	душевной жизни	2	6
43	не может	28	6
44	уже не	4	6
45	не имеет	3	6
46	образ и	2	6
47	с ним	2	6
48	уже в	4	5
49	одно из	3	5
50	не могут	5	5
51	в них	4	5
52	человека и	14	5
53	в каком	2	5
54	и как	2	5
55	в своем	10	5
56	отношению к	2	5
57	заключает в	3	5
58	по отношению	2	5
59	есть только	2	5
60	должно быть	3	5
61	сказать что	2	5
62	к ней	4	5
63	и от	2	4
64	все это	6	4
65	все что	2	4
66	то время	2	4
67	в его	9	4
68	относится к	2	4
69	себя и	3	4
70	в котором	8	4
71	не все	2	4
72	один из	4	4
73	не к	4	4
74	бы не	2	4
75	и его	9	4
76	он не	24	4
77	не было	18	4
78	для того	2	4
79	и по	4	4
80	для человека	3	4
81	и это	12	4
82	и потому	10	4
83	ли она	2	4
84	место в	2	3
85	не существует	2	3
86	одно только	2	3
87	быть может	7	3
88	в человеке	8	3
89	и есть	14	3
90	могут быть	2	3
91	прежде всего	10	3
92	и все	10	3
93	к этому	2	3
94	и вместе	4	3
95	в свою	2	3
96	до сих	2	3
97	как бы	2	3
98	никто не	2	3
99	в человеческой	4	3
100	человеческой жизни	2	3
101	том смысле	2	3
102	того чтобы	2	3
103	к нему	7	3
104	и на	6	3
105	в начале	2	3
106	самого себя	2	3
107	не знает	4	3
108	его в	3	3
109	в которой	6	3
110	сих пор	2	3
111	прежде чем	2	2
112	человеке и	8	2
113	на человека	2	2
114	от нее	5	2
115	его с	2	2
116	не как	4	2
117	человек может	2	2
118	а как	2	2
119	человек не	10	2
120	отношение к	4	2
121	все в	6	2
122	в ее	3	2
123	мы видим	2	2
124	в этой	6	2
125	от него	4	2
126	по своему	2	2
127	у него	17	2
128	она не	4	2
129	и мы	2	2
130	что человек	3	2
131	мысли о	2	2
132	за пределы	4	2
133	был бы	10	2
134	только один	2	2
135	под ним	2	2
136	все же	2	2
137	человека то	2	2
138	в свой	2	2
139	жизни и	2	2
140	в своей	15	2
141	есть одно	2	2
142	мысли и	2	2
143	в их	4	2
144	что есть	5	2
145	входит в	2	2
146	быть не	2	2
147	это и	4	2
148	ко всем	3	2
149	в которых	4	2
150	с этой	4	2
151	от этого	2	2
152	людей и	2	2
153	природы в	3	2
154	эти слова	2	2
155	точки зрения	4	2
156	бы в	2	2
157	отношении к	2	2
158	о том	2	2
159	когда мы	2	2
160	и с	3	2
161	смысле в	2	2
