N	2gram	Tiupa_Hudo_1	slovoVRo
1	и в	14	41
2	в нем	3	30
3	и т	11	28
4	т п	8	23
5	но и	5	16
6	и не	2	16
7	точки зрения	5	16
8	не только	12	16
9	а не	12	15
10	то же	9	14
11	в пределах	3	14
12	может быть	5	14
13	не может	7	14
14	и его	5	14
15	и на	3	14
16	в то	8	14
17	в его	8	13
18	же время	8	12
19	до конца	2	12
20	как бы	7	12
21	в этом	11	12
22	так и	13	11
23	все эти	3	9
24	себя в	4	9
25	слова в	2	8
26	прежде всего	11	8
27	на его	2	8
28	но в	5	8
29	как в	8	8
30	как мы	3	8
31	с точки	3	8
32	не в	7	7
33	с ним	4	7
34	на фоне	2	7
35	в своей	10	7
36	все же	3	7
37	это не	7	6
38	при этом	12	6
39	и даже	3	6
40	а в	7	6
41	слова как	2	6
42	к своему	2	6
43	только в	5	6
44	со своим	2	5
45	в самом	4	5
46	все это	2	5
47	т д	3	5
48	как его	3	5
49	и к	4	5
50	так сказать	2	5
51	перед нами	5	4
52	и от	4	4
53	в ней	4	4
54	один из	4	4
55	с ее	2	4
56	в их	2	4
57	лишь в	3	4
58	и с	4	4
59	и все	4	4
60	с его	5	4
61	как и	9	4
62	еще не	7	4
63	по преимуществу	3	4
64	и потому	2	4
65	о нем	3	4
66	и для	3	4
67	автора и	2	4
68	ничего не	8	4
69	никогда не	6	3
70	к тому	7	3
71	в том	12	3
72	для него	10	3
73	в него	2	3
74	из них	4	3
75	в своем	4	3
76	именно в	7	3
77	того что	4	3
78	друг друга	5	3
79	с ними	2	3
80	в результате	2	3
81	не было	4	3
82	о том	12	3
83	его в	3	3
84	которая не	2	3
85	поэтому и	2	3
86	у него	9	3
87	с этим	3	3
88	романа в	3	3
89	в себе	11	3
90	с этой	2	3
91	в качестве	9	3
92	она не	4	3
93	было бы	6	3
94	одной из	2	3
95	он не	4	3
96	же как	2	2
97	в частности	5	2
98	тому что	4	2
99	столь же	4	2
100	произведения не	2	2
101	можно сказать	4	2
102	так что	2	2
103	ему не	2	2
104	на этом	3	2
105	они в	2	2
106	например в	2	2
107	такого рода	3	2
108	хотя и	2	2
109	и по	3	2
110	в целом	2	2
111	в этих	5	2
112	на том	2	2
113	как к	3	2
114	уже не	7	2
115	одновременно и	5	2
116	должно быть	2	2
117	потому что	5	2
118	но он	3	2
119	того или	2	2
120	между тем	8	2
121	оно было	2	2
122	или напротив	2	2
123	в духе	4	2
124	или иного	2	2
125	интерес к	5	2
126	остановимся на	2	2
127	том что	16	2
128	то в	4	2
129	одна из	2	2
130	но не	3	2
131	по своему	3	2
132	до сих	2	2
133	мы уже	4	2
134	и о	4	2
135	а также	3	2
136	даже в	3	2
137	сих пор	2	2
138	слово не	2	2
139	в ее	3	2
140	как раз	4	2
141	так в	2	2
142	а с	2	2
143	на самом	2	2
144	только на	2	2
145	речь в	2	2
146	той же	2	2
147	мы не	2	2
148	можно было	5	2
149	эти слова	2	2
150	в другом	2	2
151	связи с	4	2
152	здесь не	2	2
