N	2gram	Losev_Vlad_2	PoTuStor
1	может быть	7	17
2	и в	30	16
3	прежде всего	6	9
4	таким образом	3	9
5	в этом	20	9
6	и его	6	8
7	и с	14	8
8	точки зрения	7	8
9	не может	9	8
10	с его	4	7
11	сказать что	11	7
12	не только	12	7
13	и это	3	6
14	и к	6	6
15	с точки	3	6
16	для него	9	6
17	при этом	5	6
18	конечно не	4	6
19	я и	2	6
20	отношение к	4	5
21	все эти	5	5
22	в чем	2	5
23	ни в	7	5
24	как бы	5	5
25	в нем	4	4
26	но и	8	4
27	так и	5	4
28	все это	5	4
29	хотя бы	3	4
30	и все	7	4
31	мысли и	2	4
32	так как	5	4
33	и не	18	4
34	как мы	11	4
35	можно сказать	4	4
36	и наконец	4	4
37	и даже	10	4
38	и на	4	4
39	в этой	4	4
40	и может	2	4
41	только в	6	4
42	его в	4	4
43	но в	8	4
44	в его	11	4
45	мы знаем	4	3
46	в этих	4	3
47	что в	12	3
48	жизни и	6	3
49	и есть	2	3
50	во всех	3	3
51	вместе с	8	3
52	отношения к	3	3
53	те же	3	3
54	и вот	3	3
55	и она	2	3
56	учение о	3	3
57	и притом	2	3
58	крайней мере	4	3
59	в том	18	3
60	а в	11	3
61	том что	12	3
62	и как	3	3
63	то что	20	3
64	их в	2	3
65	на этом	2	3
66	по крайней	4	3
67	в общем	2	3
68	едва ли	3	3
69	как это	7	3
70	в области	3	3
71	во всяком	6	3
72	в основном	5	3
73	и потому	2	3
74	всяком случае	6	3
75	не менее	7	2
76	что и	3	2
77	не есть	4	2
78	другими словами	5	2
79	в частности	2	2
80	никогда не	7	2
81	что не	2	2
82	в них	3	2
83	того же	5	2
84	с этой	4	2
85	из этих	3	2
86	с этим	5	2
87	то же	4	2
88	к этому	6	2
89	только и	3	2
90	нет никаких	2	2
91	что он	13	2
92	мы не	2	2
93	на этих	3	2
94	на первый	2	2
95	у него	19	2
96	и по	2	2
97	и для	3	2
98	нам кажется	3	2
99	для нас	7	2
100	как и	5	2
101	своей жизни	3	2
102	так же	4	2
103	но это	4	2
104	мы уже	2	2
105	совсем не	4	2
106	по своему	2	2
107	не на	2	2
108	он не	4	2
109	есть и	2	2
110	что можно	3	2
111	в начале	4	2
112	и вообще	10	2
113	было бы	9	2
114	что это	4	2
115	кажется что	2	2
116	и мы	4	2
117	о том	4	2
118	в самом	2	2
119	во сне	2	2
120	в своей	5	2
121	и о	4	2
122	с ним	5	2
123	можно назвать	2	2
124	всей жизни	2	2
125	для меня	4	2
