N	3gram	Ircho_Kome_3	KulturaY
1	и т п	3	18
2	в том что	9	15
3	для того чтобы	6	15
4	с точки зрения	3	9
5	по отношению к	3	8
6	то обстоятельство что	2	8
7	в самом деле	6	7
8	с другой стороны	2	6
9	в этом отношении	2	5
10	о том что	4	5
11	во всяком случае	3	5
12	до сих пор	9	4
13	тем не менее	3	4
14	состоит в том	2	3
15	в свою очередь	6	3
16	о том как	3	3
17	в связи с	3	3
18	вместе с тем	3	3
19	т е в	2	2
20	то же время	4	2
21	и в самом	3	2
22	в то же	4	2
23	речь идет о	3	2
24	так или иначе	2	2
25	но все же	2	2
26	в этом случае	2	2
