N	2gram	Tiupa_Hudo_1	Morfolog
1	может быть	14	52
2	таким образом	3	20
3	представляет собой	10	17
4	не может	7	17
5	в этих	3	16
6	могут быть	4	15
7	и в	19	13
8	в этом	11	13
9	и др	2	12
10	прежде всего	4	9
11	так и	11	9
12	то же	10	9
13	и не	15	9
14	а не	9	9
15	мы имеем	6	9
16	с другой	7	8
17	что и	2	8
18	в качестве	24	7
19	имеем в	3	7
20	это не	2	6
21	в том	18	6
22	но не	11	6
23	а также	5	6
24	в форме	4	6
25	а в	12	6
26	не менее	3	5
27	если мы	2	5
28	и другие	2	5
29	в ходе	5	5
30	во всех	3	5
31	далеко не	2	5
32	как бы	9	5
33	не все	2	5
34	один из	2	5
35	то что	4	5
36	или в	2	5
37	потому что	3	5
38	подобных случаях	2	4
39	что в	6	4
40	и как	3	4
41	вовсе не	2	4
42	об этом	2	4
43	тем не	3	4
44	отношению к	9	4
45	случае не	2	4
46	не только	16	4
47	как в	2	4
48	другой стороны	5	4
49	так же	2	4
50	по отношению	9	4
51	как и	2	4
52	хотя и	3	4
53	точки зрения	10	4
54	с точки	3	4
55	могла бы	2	4
56	его в	2	4
57	если бы	3	3
58	в нашем	2	3
59	между собой	2	3
60	в какой	2	3
61	он должен	3	3
62	к герою	2	3
63	том что	8	3
64	в целом	3	3
65	в пределах	3	3
66	того чтобы	2	3
67	во втором	4	3
68	он не	4	3
69	не является	4	3
70	ни в	5	3
71	но и	10	3
72	входит в	4	3
73	и по	2	3
74	к нему	3	3
75	и для	2	3
76	и ее	3	3
77	в то	6	3
78	быть названо	2	3
79	героя и	5	3
80	но в	7	3
81	ни к	2	2
82	и более	2	2
83	в частности	13	2
84	однако в	4	2
85	состоит в	16	2
86	как уже	2	2
87	таких случаях	2	2
88	что он	3	2
89	можно сказать	5	2
90	и к	3	2
91	не с	2	2
92	то в	2	2
93	только в	5	2
94	а на	5	2
95	для него	4	2
96	одной стороны	2	2
97	одной из	2	2
98	никто не	2	2
99	себя и	2	2
100	чем это	2	2
101	себя в	7	2
102	быть и	2	2
103	или менее	5	2
104	а с	2	2
105	с одной	2	2
106	все эти	2	2
107	и что	3	2
108	того что	4	2
109	для того	2	2
110	уже не	4	2
111	право на	2	2
112	и его	12	2
113	в каком	2	2
114	в другом	3	2
115	не знает	3	2
116	о том	2	2
117	здесь не	2	2
118	герой не	3	2
119	одна из	2	2
120	сказать что	4	2
121	как это	5	2
122	более или	5	2
