N	2gram	Nazirov_Tv_2	UchenyiS
1	и в	20	14
2	а не	6	10
3	не только	13	10
4	и не	9	8
5	прежде всего	8	8
6	то что	3	7
7	в этом	8	7
8	не может	7	7
9	в искусстве	2	6
10	может быть	8	6
11	все это	6	5
12	и только	2	5
13	то же	7	5
14	но и	8	4
15	в этой	5	4
16	в их	3	4
17	в россии	2	4
18	с другой	2	4
19	но в	4	3
20	как и	6	3
21	все же	5	3
22	в своей	6	3
23	в частности	2	3
24	по нашему	4	3
25	же время	7	3
26	другой стороны	2	3
27	для него	3	3
28	это не	7	3
29	в то	10	3
30	нашему мнению	4	3
31	у нас	2	3
32	том что	4	2
33	но не	5	2
34	в том	8	2
35	мы не	4	2
36	думается что	2	2
37	крайней мере	2	2
38	не в	4	2
39	но это	5	2
40	не столько	2	2
41	если бы	4	2
42	не случайно	2	2
43	это уже	2	2
44	только в	2	2
45	и с	8	2
46	тем что	3	2
47	сих пор	3	2
48	могут быть	2	2
49	его и	2	2
50	что он	6	2
51	и у	2	2
52	в себе	3	2
53	до сих	3	2
54	в конце	6	2
55	и через	3	2
56	если не	4	2
57	в самом	3	2
58	превращается в	3	2
59	сводится к	2	2
60	одним из	3	2
61	ничего не	4	2
62	самом деле	2	2
63	по крайней	2	2
64	что она	4	2
65	в его	10	2
66	между тем	3	2
67	таким образом	10	2
68	же не	2	2
