N	2gram	Losev_Vlad_2	VeschiIm
1	не есть	4	49
2	не может	9	33
3	не только	12	31
4	может быть	7	29
5	и не	18	28
6	и в	30	26
7	то что	20	24
8	и есть	2	23
9	это значит	2	22
10	а не	7	20
11	что я	3	16
12	только в	6	14
13	и что	5	13
14	того что	5	13
15	по себе	5	13
16	что это	4	12
17	было бы	9	12
18	но и	8	12
19	сказать что	11	12
20	все же	9	12
21	и то	5	12
22	что же	8	11
23	таким образом	3	11
24	то же	4	10
25	уже не	3	10
26	в ней	4	10
27	как бы	5	10
28	и больше	3	10
29	потому что	9	10
30	есть нечто	2	10
31	в том	18	9
32	в самом	2	9
33	и с	14	9
34	прежде всего	6	9
35	что не	2	9
36	еще и	6	9
37	на то	2	8
38	но это	4	8
39	в себе	6	8
40	и это	3	8
41	ничего не	2	8
42	также и	6	7
43	в то	9	7
44	его в	4	7
45	так как	5	7
46	том что	12	7
47	есть и	2	7
48	себя в	2	7
49	в этом	20	7
50	так что	5	6
51	и как	3	6
52	но что	5	6
53	что в	12	6
54	для него	9	6
55	жизни и	6	6
56	ни с	2	6
57	со стороны	4	6
58	должно быть	3	6
59	в результате	5	6
60	точки зрения	7	6
61	когда мы	3	6
62	но в	8	6
63	по крайней	4	6
64	она не	2	6
65	крайней мере	4	6
66	с ним	5	6
67	можно было	2	6
68	не менее	7	5
69	содержит в	4	5
70	в отношении	3	5
71	это не	2	5
72	с этой	4	5
73	тем не	6	5
74	не в	9	5
75	свою очередь	2	5
76	и до	2	5
77	только и	3	5
78	а в	11	5
79	что для	2	5
80	и бытия	2	5
81	есть просто	2	5
82	как к	2	5
83	с тем	2	5
84	в свою	3	5
85	у нас	6	5
86	но не	3	5
87	того же	5	5
88	же это	2	5
89	другими словами	5	5
90	в сущности	2	5
91	для себя	5	5
92	и для	3	5
93	в чем	2	5
94	я не	4	4
95	в своем	8	4
96	же время	3	4
97	и мы	4	4
98	с а	4	4
99	в их	2	4
100	и даже	10	4
101	с этим	5	4
102	о том	4	4
103	и все	7	4
104	бытия и	2	4
105	то это	4	4
106	как и	5	4
107	во всех	3	4
108	и о	4	4
109	его на	3	4
110	и потому	2	4
111	что и	3	4
112	собственно говоря	2	4
113	как я	2	4
114	с точки	3	4
115	мы не	2	4
116	в данном	3	4
117	никогда не	7	3
118	можно сказать	4	3
119	к тому	2	3
120	несмотря на	4	3
121	без всякого	2	3
122	более или	3	3
123	на этом	2	3
124	и сам	2	3
125	в нем	4	3
126	сам по	2	3
127	отношение к	4	3
128	все это	5	3
129	отношения к	3	3
130	никакого отношения	3	3
131	мы находим	2	3
132	их в	2	3
133	а это	3	3
134	в чисто	2	3
135	тогда когда	2	3
136	или как	2	3
137	нисколько не	2	3
138	само по	2	3
139	даже и	3	3
140	что он	13	3
141	и притом	2	3
142	тот же	5	3
143	между прочим	7	3
144	к ней	3	3
145	можно и	2	3
146	в своей	5	3
147	вместе с	8	3
148	так и	5	3
149	или менее	3	3
150	да и	3	3
151	но то	2	3
152	в той	2	3
153	того чтобы	2	3
154	хотя бы	3	3
155	тем более	3	3
156	с в	4	3
157	не то	3	3
158	и вообще	10	3
159	я в	3	3
160	мы будем	3	2
161	казалось бы	2	2
162	в частности	2	2
163	его и	2	2
164	же они	2	2
165	на все	2	2
166	и можно	2	2
167	ни в	7	2
168	но все	2	2
169	кроме того	9	2
170	и если	4	2
171	мы уже	2	2
172	исходить из	2	2
173	в виду	2	2
174	так или	3	2
175	только одно	3	2
176	данном случае	2	2
177	а а	3	2
178	и вот	3	2
179	заключается в	2	2
180	не мог	8	2
181	так же	4	2
182	прочим и	2	2
183	в своих	2	2
184	в более	2	2
185	говорится о	2	2
186	как это	7	2
187	то есть	7	2
188	с которой	2	2
189	о чем	6	2
190	жизни в	2	2
191	и во	2	2
192	это тоже	2	2
193	то в	5	2
194	и может	2	2
195	себе и	2	2
196	наряду с	2	2
197	никак не	3	2
198	об этом	6	2
199	он не	4	2
200	но уже	2	2
201	как в	3	2
202	мысли и	2	2
203	здравого смысла	2	2
204	если не	2	2
205	еще более	3	2
206	в с	10	2
207	как мы	11	2
208	можно говорить	3	2
209	для того	2	2
210	я должен	2	2
211	и его	6	2
212	той же	4	2
213	или иначе	3	2
214	из его	2	2
215	тут же	2	2
216	во всяком	6	2
217	дело в	3	2
218	это было	4	2
