N	2gram	Medvedev_F_2	RusskieA
1	и в	38	36
2	не только	9	22
3	что в	7	19
4	том что	2	19
5	в том	11	17
6	т е	26	17
7	но и	13	16
8	так как	4	15
9	и другие	2	13
10	в этом	27	12
11	в других	7	11
12	это не	2	10
13	как мы	7	10
14	как и	9	10
15	и т	14	10
16	вместе с	6	10
17	и на	3	10
18	потому что	2	10
19	т д	5	9
20	а в	6	9
21	с тем	11	8
22	состоит в	2	8
23	из них	4	8
24	может быть	23	8
25	один из	2	8
26	и по	2	8
27	как это	2	8
28	что они	4	7
29	что и	8	7
30	так и	8	7
31	и других	2	7
32	между тем	2	7
33	и не	20	6
34	при этом	9	6
35	уже не	7	6
36	таким образом	20	6
37	мы не	3	6
38	все это	3	6
39	не имеет	2	6
40	то что	6	6
41	все же	8	5
42	как бы	4	5
43	с ними	2	5
44	как в	4	5
45	тому что	2	4
46	из этих	3	4
47	к этому	4	4
48	в первый	5	4
49	в тех	2	4
50	к тому	4	4
51	что на	2	4
52	по существу	7	4
53	связи с	13	4
54	и др	3	4
55	его с	3	4
56	во всех	5	4
57	в некоторых	4	4
58	и их	3	4
59	в их	6	4
60	так в	3	4
61	не может	14	4
62	в связи	10	4
63	входит в	4	4
64	того что	3	4
65	но это	2	4
66	тем что	8	4
67	только в	6	4
68	слова в	3	3
69	для них	3	3
70	что это	3	3
71	по этому	2	3
72	в этих	2	3
73	в качестве	2	3
74	но все	3	3
75	представление о	2	3
76	и к	4	3
77	на этом	2	3
78	в целях	2	3
79	только на	3	3
80	если в	3	3
81	приводит к	2	3
82	то же	6	3
83	с точки	7	3
84	ничего не	4	3
85	их в	2	3
86	точки зрения	8	3
87	как например	2	3
88	в области	3	3
89	и многие	2	2
90	борьбы с	2	2
91	не было	6	2
92	всех этих	3	2
93	они были	2	2
94	и более	2	2
95	независимо от	4	2
96	могут быть	6	2
97	к другому	2	2
98	та же	2	2
99	с этим	5	2
100	не просто	2	2
101	главным образом	3	2
102	значение и	3	2
103	что именно	2	2
104	в нем	13	2
105	и нового	2	2
106	в в	2	2
107	его от	4	2
108	он был	2	2
109	и как	3	2
110	в дальнейшем	4	2
111	такой же	3	2
112	их к	3	2
113	но не	2	2
114	тем и	2	2
115	быть и	3	2
116	в большинстве	4	2
117	до конца	2	2
118	она не	2	2
119	отнюдь не	8	2
120	например в	3	2
121	как они	4	2
122	в ней	6	2
123	должно было	3	2
124	в его	10	2
125	подойти к	2	2
126	и с	9	2
127	в целом	3	2
128	его как	2	2
129	значения и	2	2
130	и до	3	2
131	разница между	2	2
132	находится в	2	2
133	за счет	4	2
134	для этого	2	2
135	в особенности	4	2
136	должны были	2	2
137	все эти	6	2
138	в какой	3	2
139	на самом	3	2
140	можно говорить	2	2
141	а не	6	2
142	и пр	21	2
143	и для	5	2
144	с ним	2	2
145	или в	3	2
146	этот вопрос	2	2
147	хотя и	3	2
148	между двумя	2	2
149	должна была	2	2
150	это время	2	2
151	и здесь	3	2
152	но в	4	2
153	там где	4	2
154	большинстве случаев	3	2
