N	3gram	Losev_Prob_5	Dialekti
1	по крайней мере	4	9
2	с точки зрения	8	8
3	в том что	8	6
4	о том что	9	4
5	с другой стороны	5	4
6	только тогда когда	3	4
7	в связи с	7	4
8	как будто бы	3	3
9	в то время	3	3
10	в таком случае	2	3
11	что иное как	3	3
12	можно сказать что	3	3
13	не что иное	3	3
14	не может быть	2	3
15	то время как	3	3
16	и в частности	3	2
17	в данном случае	2	2
18	тем не менее	5	2
19	может быть только	3	2
20	до сих пор	2	2
21	во всяком случае	2	2
22	потому что они	2	2
23	потому что он	2	2
